ticker	interval	score	signal_date	signal_price	breakthrough_date
ETH-USD	5m	1.03	2025-11-30 03:30:00	2992.26	2025-11-30 03:40:00
SOL-USD	5m	1.01	2025-11-29 20:20:00	135.65	2025-11-29 21:35:00
SH	10m	1.62	2025-11-28 12:10:00	36.38	
GOOGL	15m	2.17	2025-11-28 12:00:00	319.03	2025-11-28 12:45:00
GOOGL	10m	1.66	2025-11-28 11:50:00	318.23	2025-11-28 12:20:00
SH	10m	1.56	2025-11-28 11:40:00	36.39	
SH	10m	1.71	2025-11-28 11:20:00	36.4	
SQQQ	10m	1.71	2025-11-28 11:20:00	69.23	
UNH	5m	1.31	2025-11-28 10:15:00	330.64	2025-11-28 10:15:00
BABA	30m	2.75	2025-11-28 10:00:00	157.48	
AREC	10m	2.08	2025-11-28 09:50:00	2.66	2025-11-28 09:50:00
AREC	5m	1.44	2025-11-28 09:45:00	2.62	2025-11-28 09:55:00
OXY	5m	1.51	2025-11-28 09:30:00	41.58	2025-11-28 09:35:00
ETH-USD	5m	1.01	2025-11-28 02:10:00	2999.62	2025-11-28 02:45:00
ETH-USD	5m	1.02	2025-11-28 02:00:00	3000.85	2025-11-28 02:45:00
ETH-USD	5m	1.0	2025-11-28 01:35:00	3006.72	2025-11-28 02:45:00
BTC-USD	5m	1.03	2025-11-27 23:00:00	91413.92	2025-11-27 23:10:00
SOL-USD	5m	1.18	2025-11-27 13:50:00	141.19	2025-11-27 14:25:00
SOL-USD	5m	1.03	2025-11-27 13:40:00	141.1	2025-11-27 14:25:00
SOL-USD	5m	1.59	2025-11-27 13:25:00	141.3	2025-11-27 14:25:00
SOL-USD	5m	1.03	2025-11-27 01:50:00	142.66	2025-11-27 01:55:00
TEM	5m	1.58	2025-11-26 15:50:00	77.19	2025-11-28 10:05:00
LUNR	5m	1.88	2025-11-26 15:50:00	9.31	2025-11-28 09:30:00
LI	5m	1.61	2025-11-26 15:45:00	18.56	2025-11-28 11:00:00
BABA	30m	2.72	2025-11-26 15:30:00	157.53	
SE	5m	1.24	2025-11-26 15:25:00	135.57	2025-11-28 09:30:00
TEM	5m	1.51	2025-11-26 15:20:00	77.42	2025-11-28 10:05:00
RDDT	5m	1.2	2025-11-26 14:35:00	208.62	2025-11-28 09:45:00
BABA	15m	2.14	2025-11-26 14:30:00	157.29	2025-11-28 11:00:00
XIACY	5m	1.0	2025-11-26 14:30:00	25.8	2025-11-28 09:30:00
AREC	5m	1.21	2025-11-26 14:00:00	2.6	2025-11-26 14:25:00
BABA	10m	1.81	2025-11-26 13:50:00	156.51	2025-11-28 10:00:00
JD	10m	1.59	2025-11-26 13:50:00	29.36	2025-11-26 14:00:00
UUUU	5m	1.49	2025-11-26 13:45:00	14.56	2025-11-28 09:30:00
BILI	5m	1.19	2025-11-26 13:45:00	26.46	2025-11-28 09:30:00
BILI	5m	1.09	2025-11-26 13:25:00	26.5	2025-11-28 09:30:00
BILI	10m	1.59	2025-11-26 13:20:00	26.5	2025-11-28 10:00:00
XPEV	10m	2.2	2025-11-26 13:20:00	21.22	2025-11-26 13:30:00
XIACY	5m	1.04	2025-11-26 13:15:00	25.84	2025-11-28 09:30:00
XPEV	5m	1.2	2025-11-26 13:15:00	21.15	2025-11-26 13:25:00
JD	10m	2.61	2025-11-26 13:10:00	29.38	2025-11-26 14:00:00
SOL-USD	5m	1.05	2025-11-26 13:05:00	135.9	2025-11-26 13:40:00
SQQQ	15m	2.18	2025-11-26 12:45:00	69.62	
BTC-USD	5m	1.03	2025-11-26 12:40:00	86635.3	2025-11-26 13:35:00
ETH-USD	5m	1.01	2025-11-26 12:35:00	2899.6	2025-11-26 13:15:00
RKLB	5m	1.16	2025-11-26 12:30:00	41.6	2025-11-26 12:55:00
ETH-USD	5m	1.17	2025-11-26 12:25:00	2900.42	2025-11-26 13:15:00
OPEN	5m	1.5	2025-11-26 12:25:00	7.53	2025-11-26 12:35:00
OPEN	10m	1.95	2025-11-26 12:20:00	7.53	2025-11-26 13:10:00
OPEN	5m	1.17	2025-11-26 12:05:00	7.51	2025-11-26 12:35:00
SQQQ	15m	2.22	2025-11-26 12:00:00	69.74	
SQQQ	10m	1.71	2025-11-26 12:00:00	69.75	
SH	5m	1.08	2025-11-26 11:50:00	36.43	2025-11-26 13:05:00
SQQQ	5m	1.27	2025-11-26 11:45:00	69.56	2025-11-26 13:40:00
SMR	10m	1.8	2025-11-26 10:50:00	18.54	2025-11-26 12:30:00
SMR	5m	1.12	2025-11-26 10:50:00	18.45	2025-11-26 11:00:00
SMR	10m	1.81	2025-11-26 10:30:00	18.51	2025-11-26 12:30:00
SMR	5m	1.23	2025-11-26 10:30:00	18.49	2025-11-26 11:00:00
AAPL	5m	1.14	2025-11-26 10:20:00	277.68	2025-11-26 10:50:00
AAPL	5m	1.23	2025-11-26 10:05:00	277.41	2025-11-26 10:50:00
MSTR	30m	2.93	2025-11-26 10:00:00	171.61	2025-11-26 12:00:00
ETH-USD	5m	1.46	2025-11-26 10:00:00	2913.78	2025-11-26 11:10:00
GOOGL	5m	1.37	2025-11-26 09:45:00	322.56	2025-11-26 13:20:00
ETH-USD	5m	1.02	2025-11-26 09:40:00	2909.39	2025-11-26 11:10:00
PYPL	5m	1.36	2025-11-26 09:35:00	61.47	2025-11-26 09:45:00
AAL	5m	1.26	2025-11-26 09:30:00	13.51	2025-11-26 09:35:00
FCX	5m	1.84	2025-11-26 09:30:00	41.64	2025-11-26 09:30:00
ETH-USD	5m	1.02	2025-11-26 09:25:00	2913.4	2025-11-26 11:10:00
ETH-USD	5m	1.78	2025-11-26 09:10:00	2914.84	2025-11-26 11:10:00
SQQQ	5m	1.87	2025-11-25 15:55:00	71.81	2025-11-26 13:40:00
