ticker	interval	score	signal_date	signal_price	breakthrough_date
中国电信 (601728.SS)	15m	2.24	2025-09-25 13:00:00	6.68	
中远海控 (601919.SS)	15m	2.13	2025-09-25 13:00:00	14.37	
美锦能源 (000723.SZ)	15m	2.0	2025-09-25 12:00:00	4.68	
农业银行 (601288.SS)	15m	2.0	2025-09-25 11:30:00	6.46	
农业银行 (601288.SS)	10m	1.5	2025-09-25 11:30:00	6.46	
伊利股份 (600887.SS)	10m	1.64	2025-09-25 11:20:00	27.15	
海尔智家 (600690.SS)	10m	1.58	2025-09-25 11:20:00	25.35	
中国船舶 (600150.SS)	15m	2.2	2025-09-25 11:15:00	34.98	
长江电力 (600900.SS)	15m	2.12	2025-09-25 11:15:00	27.23	
中国建筑 (601668.SS)	5m	1.18	2025-09-25 10:55:00	5.49	
中国中车 (601766.SS)	5m	1.06	2025-09-25 10:55:00	7.42	
中国中免 (601888.SS)	10m	1.66	2025-09-25 10:50:00	69.98	
中国平安 (601318.SS)	15m	2.18	2025-09-25 10:45:00	55.21	2025-09-25 11:00:00
中远海控 (601919.SS)	15m	2.17	2025-09-25 10:45:00	14.39	
中国中车 (601766.SS)	5m	1.08	2025-09-25 10:45:00	7.42	
陕西煤业 (601225.SS)	5m	1.15	2025-09-25 10:35:00	20.38	2025-09-25 10:55:00
中国中车 (601766.SS)	5m	1.16	2025-09-25 10:35:00	7.42	
贵州茅台 (600519.SS)	5m	1.18	2025-09-25 10:30:00	1437.9	2025-09-25 10:45:00
贵州茅台 (600519.SS)	5m	1.18	2025-09-25 10:30:00	1437.9	2025-09-25 10:45:00
贵州茅台 (600519.SS)	15m	2.24	2025-09-25 10:30:00	1439.5	
贵州茅台 (600519.SS)	15m	2.24	2025-09-25 10:30:00	1439.5	
兴业银行 (601166.SS)	15m	2.2	2025-09-25 10:30:00	20.24	
贵州茅台 (600519.SS)	10m	1.73	2025-09-25 10:30:00	1438.87	
贵州茅台 (600519.SS)	10m	1.73	2025-09-25 10:30:00	1438.87	
中远海控 (601919.SS)	10m	1.69	2025-09-25 10:30:00	14.38	
中国建筑 (601668.SS)	5m	1.04	2025-09-25 10:30:00	5.5	
中国石化 (600028.SS)	5m	1.13	2025-09-25 10:20:00	5.35	2025-09-25 11:10:00
海天味业 (603288.SS)	5m	1.25	2025-09-25 10:15:00	38.72	2025-09-25 10:35:00
中国石化 (600028.SS)	5m	1.24	2025-09-25 10:10:00	5.35	2025-09-25 11:10:00
贵州茅台 (600519.SS)	5m	1.14	2025-09-25 10:10:00	1437.84	2025-09-25 10:45:00
贵州茅台 (600519.SS)	5m	1.14	2025-09-25 10:10:00	1437.84	2025-09-25 10:45:00
中国人寿 (601628.SS)	5m	1.18	2025-09-25 10:10:00	37.92	2025-09-25 10:15:00
中国人寿 (601628.SS)	10m	1.8	2025-09-25 10:10:00	38.02	2025-09-25 10:10:00
中国石化 (600028.SS)	5m	1.21	2025-09-25 09:55:00	5.35	2025-09-25 11:10:00
海天味业 (603288.SS)	5m	1.23	2025-09-25 09:55:00	38.72	2025-09-25 10:35:00
中国人寿 (601628.SS)	5m	1.5	2025-09-25 09:50:00	37.98	2025-09-25 09:50:00
中远海控 (601919.SS)	5m	1.28	2025-09-25 09:45:00	14.41	2025-09-25 11:00:00
陕西煤业 (601225.SS)	5m	1.37	2025-09-25 09:45:00	20.48	2025-09-25 10:55:00
海天味业 (603288.SS)	5m	1.29	2025-09-25 09:45:00	38.74	2025-09-25 10:35:00
兴业银行 (601166.SS)	5m	1.7	2025-09-25 09:45:00	20.3	2025-09-25 09:45:00
中国石化 (600028.SS)	5m	1.55	2025-09-25 09:45:00	5.36	2025-09-25 09:45:00
中国建筑 (601668.SS)	5m	1.51	2025-09-25 09:45:00	5.53	2025-09-25 09:45:00
兴业银行 (601166.SS)	15m	2.64	2025-09-25 09:45:00	20.29	
长江电力 (600900.SS)	15m	2.51	2025-09-25 09:45:00	27.29	
农业银行 (601288.SS)	5m	1.58	2025-09-25 09:45:00	6.54	
贵州茅台 (600519.SS)	5m	1.18	2025-09-24 14:55:00	1442.36	2025-09-25 10:45:00
贵州茅台 (600519.SS)	5m	1.18	2025-09-24 14:55:00	1442.36	2025-09-25 10:45:00
贵州茅台 (600519.SS)	5m	1.21	2025-09-24 14:35:00	1443.08	2025-09-25 10:45:00
贵州茅台 (600519.SS)	5m	1.21	2025-09-24 14:35:00	1443.08	2025-09-25 10:45:00
中国石油 (601857.SS)	15m	2.18	2025-09-24 13:45:00	8.12	2025-09-25 11:15:00
海天味业 (603288.SS)	10m	1.78	2025-09-24 13:30:00	38.81	
中远海控 (601919.SS)	10m	1.68	2025-09-24 13:00:00	14.43	2025-09-24 13:50:00
海天味业 (603288.SS)	10m	1.82	2025-09-24 13:00:00	38.86	
海天味业 (603288.SS)	5m	1.14	2025-09-24 11:25:00	38.82	2025-09-25 10:35:00
美锦能源 (000723.SZ)	10m	1.68	2025-09-24 11:20:00	4.69	2025-09-24 13:40:00
美锦能源 (000723.SZ)	5m	1.21	2025-09-24 11:10:00	4.69	2025-09-24 13:00:00
美锦能源 (000723.SZ)	5m	1.29	2025-09-24 10:55:00	4.7	2025-09-24 13:00:00
美锦能源 (000723.SZ)	10m	1.72	2025-09-24 10:50:00	4.7	2025-09-24 13:40:00
中国中免 (601888.SS)	5m	1.3	2025-09-24 10:30:00	70.1	2025-09-24 11:25:00
中国太保 (601601.SS)	15m	2.52	2025-09-24 09:45:00	34.85	2025-09-24 13:45:00
中国太保 (601601.SS)	10m	2.48	2025-09-24 09:40:00	34.89	2025-09-24 09:40:00
中国电信 (601728.SS)	5m	1.6	2025-09-24 09:40:00	6.69	2025-09-24 09:40:00
寒武纪 (688256.SS)	30m	2.98	2025-09-23 14:30:00	1351.49	2025-09-24 11:00:00
寒武纪 (688256.SS)	30m	2.98	2025-09-23 14:30:00	1351.49	2025-09-24 11:00:00
寒武纪 (688256.SS)	15m	2.2	2025-09-23 14:15:00	1336.58	2025-09-24 11:15:00
寒武纪 (688256.SS)	15m	2.2	2025-09-23 14:15:00	1336.58	2025-09-24 11:15:00
财达证券 (600906.SS)	15m	2.38	2025-09-23 14:15:00	7.05	2025-09-24 09:30:00
洛阳钼业 (603993.SS)	15m	2.33	2025-09-23 14:15:00	12.47	2025-09-23 14:45:00
洛阳钼业 (603993.SS)	15m	2.33	2025-09-23 14:15:00	12.47	2025-09-23 14:45:00
中芯国际 (688981.SS)	5m	1.45	2025-09-23 14:15:00	124.29	2025-09-23 14:25:00
中文在线 (300364.SZ)	5m	1.25	2025-09-23 14:15:00	25.74	2025-09-23 14:25:00
神剑股份 (002361.SZ)	5m	1.23	2025-09-23 14:15:00	6.18	2025-09-23 14:25:00
山东矿机 (002526.SZ)	5m	1.21	2025-09-23 14:15:00	3.87	2025-09-23 14:25:00
中国电信 (601728.SS)	10m	1.91	2025-09-23 14:10:00	6.68	2025-09-24 09:40:00
洛阳钼业 (603993.SS)	30m	2.77	2025-09-23 14:00:00	12.47	2025-09-24 13:00:00
洛阳钼业 (603993.SS)	30m	2.77	2025-09-23 14:00:00	12.47	2025-09-24 13:00:00
伊利股份 (600887.SS)	10m	1.6	2025-09-23 13:50:00	27.27	2025-09-24 09:40:00
寒武纪 (688256.SS)	10m	1.72	2025-09-23 13:50:00	1331.8	2025-09-23 14:40:00
寒武纪 (688256.SS)	10m	1.72	2025-09-23 13:50:00	1331.8	2025-09-23 14:40:00
财达证券 (600906.SS)	10m	1.57	2025-09-23 13:50:00	7.03	2025-09-23 14:40:00
伊利股份 (600887.SS)	15m	2.18	2025-09-23 13:45:00	27.27	2025-09-24 13:45:00
洛阳钼业 (603993.SS)	15m	2.29	2025-09-23 13:45:00	12.41	2025-09-23 14:45:00
洛阳钼业 (603993.SS)	15m	2.29	2025-09-23 13:45:00	12.41	2025-09-23 14:45:00
中国电信 (601728.SS)	10m	1.68	2025-09-23 13:20:00	6.68	2025-09-24 09:40:00
伊利股份 (600887.SS)	10m	1.66	2025-09-23 13:20:00	27.29	2025-09-24 09:40:00
隆基绿能 (601012.SS)	10m	1.71	2025-09-23 13:20:00	16.2	2025-09-24 09:30:00
寒武纪 (688256.SS)	10m	1.75	2025-09-23 13:20:00	1335.58	2025-09-23 14:40:00
寒武纪 (688256.SS)	10m	1.75	2025-09-23 13:20:00	1335.58	2025-09-23 14:40:00
中国电信 (601728.SS)	5m	1.15	2025-09-23 13:20:00	6.68	2025-09-23 14:20:00
通威股份 (600438.SS)	5m	1.23	2025-09-23 13:20:00	20.43	2025-09-23 13:55:00
中国电信 (601728.SS)	15m	2.2	2025-09-23 13:15:00	6.68	2025-09-24 09:45:00
洛阳钼业 (603993.SS)	15m	2.15	2025-09-23 13:15:00	12.4	2025-09-23 14:45:00
洛阳钼业 (603993.SS)	15m	2.15	2025-09-23 13:15:00	12.4	2025-09-23 14:45:00
中国电信 (601728.SS)	5m	1.3	2025-09-23 13:10:00	6.67	2025-09-23 14:20:00
隆基绿能 (601012.SS)	5m	1.17	2025-09-23 13:10:00	16.14	2025-09-23 14:15:00
三一重工 (600031.SS)	5m	1.24	2025-09-23 13:10:00	21.3	2025-09-23 13:25:00
海尔智家 (600690.SS)	5m	1.15	2025-09-23 13:05:00	25.37	2025-09-23 14:00:00
万华化学 (600309.SS)	15m	2.21	2025-09-23 13:00:00	62.85	2025-09-24 13:45:00
申万宏源 (000166.SZ)	30m	3.67	2025-09-23 13:00:00	5.12	2025-09-24 09:30:00
博苑股份 (301617.SZ)	30m	4.04	2025-09-23 13:00:00	75.02	2025-09-23 14:30:00
军信股份 (301109.SZ)	30m	3.84	2025-09-23 13:00:00	14.08	2025-09-23 14:00:00
中国中车 (601766.SS)	30m	2.76	2025-09-23 13:00:00	7.43	
神剑股份 (002361.SZ)	15m	2.0	2025-09-23 12:30:00	6.21	2025-09-23 14:45:00
申万宏源 (000166.SZ)	15m	2.0	2025-09-23 12:30:00	5.11	2025-09-23 14:30:00
神剑股份 (002361.SZ)	10m	1.5	2025-09-23 12:10:00	6.21	2025-09-23 14:40:00
山东矿机 (002526.SZ)	15m	2.0	2025-09-23 12:00:00	3.88	2025-09-24 13:30:00
爱朋医疗 (300753.SZ)	15m	2.0	2025-09-23 12:00:00	28.19	2025-09-24 11:15:00
军信股份 (301109.SZ)	15m	2.0	2025-09-23 12:00:00	13.99	2025-09-23 13:45:00
盐湖股份 (000792.SZ)	5m	1.0	2025-09-23 11:40:00	19.07	2025-09-23 13:25:00
万华化学 (600309.SS)	10m	1.5	2025-09-23 11:30:00	62.79	2025-09-24 09:30:00
山东矿机 (002526.SZ)	10m	1.5	2025-09-23 11:30:00	3.88	2025-09-23 14:40:00
中国中车 (601766.SS)	15m	2.0	2025-09-23 11:30:00	7.42	2025-09-23 14:15:00
海尔智家 (600690.SS)	5m	1.0	2025-09-23 11:30:00	25.38	2025-09-23 14:00:00
隆基绿能 (601012.SS)	5m	1.17	2025-09-23 11:15:00	16.23	2025-09-23 14:15:00
海尔智家 (600690.SS)	5m	1.12	2025-09-23 11:15:00	25.41	2025-09-23 14:00:00
财达证券 (600906.SS)	10m	1.75	2025-09-23 11:10:00	7.09	2025-09-23 14:40:00
隆基绿能 (601012.SS)	5m	1.06	2025-09-23 11:05:00	16.21	2025-09-23 14:15:00
山西汾酒 (600809.SS)	15m	2.11	2025-09-23 11:00:00	192.83	2025-09-24 09:30:00
万华化学 (600309.SS)	10m	1.66	2025-09-23 11:00:00	62.94	2025-09-24 09:30:00
中国中铁 (601390.SS)	15m	2.2	2025-09-23 11:00:00	5.49	2025-09-23 14:15:00
中国电信 (601728.SS)	10m	1.61	2025-09-23 10:50:00	6.69	2025-09-24 09:40:00
山西汾酒 (600809.SS)	10m	1.64	2025-09-23 10:50:00	192.88	2025-09-24 09:30:00
通威股份 (600438.SS)	5m	1.32	2025-09-23 10:50:00	20.67	2025-09-23 13:55:00
万华化学 (600309.SS)	5m	1.13	2025-09-23 10:50:00	62.85	2025-09-23 13:25:00
爱朋医疗 (300753.SZ)	15m	2.96	2025-09-23 10:45:00	28.72	2025-09-24 11:15:00
军信股份 (301109.SZ)	15m	2.33	2025-09-23 10:45:00	14.05	2025-09-23 13:45:00
海尔智家 (600690.SS)	5m	1.13	2025-09-23 10:40:00	25.51	2025-09-23 14:00:00
中远海控 (601919.SS)	5m	1.2	2025-09-23 10:40:00	14.44	2025-09-23 10:55:00
山西汾酒 (600809.SS)	10m	1.9	2025-09-23 09:50:00	195.15	2025-09-24 09:30:00
中国中车 (601766.SS)	10m	1.96	2025-09-23 09:50:00	7.48	2025-09-23 14:10:00
山西汾酒 (600809.SS)	15m	2.75	2025-09-23 09:45:00	195.15	2025-09-24 09:30:00
山西汾酒 (600809.SS)	5m	1.77	2025-09-23 09:45:00	195.04	2025-09-23 14:40:00
中国中车 (601766.SS)	15m	2.49	2025-09-23 09:45:00	7.48	2025-09-23 14:15:00
中国中车 (601766.SS)	5m	1.32	2025-09-23 09:45:00	7.47	2025-09-23 09:50:00
中国平安 (601318.SS)	5m	1.95	2025-09-23 09:45:00	55.61	2025-09-23 09:45:00
中国中铁 (601390.SS)	5m	1.94	2025-09-23 09:45:00	5.53	2025-09-23 09:45:00
贵州茅台 (600519.SS)	5m	1.53	2025-09-23 09:45:00	1454.93	2025-09-23 09:45:00
贵州茅台 (600519.SS)	5m	1.53	2025-09-23 09:45:00	1454.93	2025-09-23 09:45:00
伊利股份 (600887.SS)	5m	1.51	2025-09-23 09:45:00	27.55	2025-09-23 09:45:00
中国石化 (600028.SS)	5m	1.67	2025-09-23 09:40:00	5.32	2025-09-23 09:45:00
中国建筑 (601668.SS)	5m	1.53	2025-09-23 09:40:00	5.51	2025-09-23 09:45:00
中国银行 (601988.SS)	10m	2.93	2025-09-23 09:40:00	5.28	2025-09-23 09:40:00
兴业银行 (601166.SS)	10m	2.75	2025-09-23 09:40:00	20.36	2025-09-23 09:40:00
邮储银行 (601658.SS)	10m	2.61	2025-09-23 09:40:00	6.03	2025-09-23 09:40:00
中国移动 (600941.SS)	10m	1.93	2025-09-23 09:40:00	105.3	2025-09-23 09:40:00
中国银行 (601988.SS)	5m	1.85	2025-09-23 09:40:00	5.25	2025-09-23 09:40:00
兴业银行 (601166.SS)	5m	1.74	2025-09-23 09:40:00	20.21	2025-09-23 09:40:00
邮储银行 (601658.SS)	5m	1.68	2025-09-23 09:40:00	5.99	2025-09-23 09:40:00
中国石油 (601857.SS)	5m	1.65	2025-09-23 09:40:00	8.12	2025-09-23 09:40:00
工商银行 (601398.SS)	10m	2.46	2025-09-23 09:30:00	7.21	2025-09-23 09:40:00
中国银行 (601988.SS)	10m	1.8	2025-09-22 14:50:00	5.22	2025-09-23 09:40:00
邮储银行 (601658.SS)	10m	1.75	2025-09-22 14:50:00	5.96	2025-09-23 09:40:00
中国银行 (601988.SS)	5m	1.36	2025-09-22 14:50:00	5.22	2025-09-23 09:40:00
中国移动 (600941.SS)	15m	2.18	2025-09-22 14:45:00	104.98	2025-09-23 10:00:00
邮储银行 (601658.SS)	15m	2.35	2025-09-22 14:45:00	5.96	2025-09-23 09:45:00
兴业银行 (601166.SS)	15m	2.27	2025-09-22 14:45:00	20.16	2025-09-23 09:45:00
农业银行 (601288.SS)	15m	2.24	2025-09-22 14:45:00	6.48	2025-09-23 09:45:00
中国移动 (600941.SS)	5m	1.17	2025-09-22 14:45:00	104.97	2025-09-23 09:40:00
中国移动 (600941.SS)	10m	2.01	2025-09-22 14:40:00	104.97	2025-09-23 09:40:00
兴业银行 (601166.SS)	10m	1.77	2025-09-22 14:40:00	20.14	2025-09-23 09:40:00
通威股份 (600438.SS)	30m	2.76	2025-09-22 14:30:00	21.28	2025-09-24 13:30:00
爱朋医疗 (300753.SZ)	15m	2.17	2025-09-22 14:30:00	29.43	2025-09-24 11:15:00
中文在线 (300364.SZ)	30m	2.97	2025-09-22 14:30:00	26.93	2025-09-24 11:00:00
中国联通 (600050.SS)	15m	2.22	2025-09-22 14:30:00	5.45	2025-09-24 09:45:00
中国联通 (600050.SS)	30m	2.83	2025-09-22 14:30:00	5.47	2025-09-24 09:30:00
贵州茅台 (600519.SS)	10m	1.7	2025-09-22 14:30:00	1454.18	2025-09-23 14:50:00
贵州茅台 (600519.SS)	10m	1.7	2025-09-22 14:30:00	1454.18	2025-09-23 14:50:00
中国中车 (601766.SS)	15m	2.2	2025-09-22 14:30:00	7.47	2025-09-23 14:15:00
农业银行 (601288.SS)	10m	1.79	2025-09-22 14:30:00	6.48	2025-09-23 09:40:00
长江电力 (600900.SS)	10m	1.72	2025-09-22 14:30:00	27.11	2025-09-23 09:40:00
中国移动 (600941.SS)	5m	1.28	2025-09-22 14:30:00	105.0	2025-09-23 09:40:00
海天味业 (603288.SS)	15m	2.17	2025-09-22 14:30:00	39.65	2025-09-23 09:30:00
