ticker	interval	score	signal_date	signal_price	breakthrough_date
中国电信 (601728.SS)	15m	2.05	2025-09-25 13:15:00	6.68	
中国银行 (601988.SS)	15m	2.01	2025-09-25 13:15:00	5.22	
航发动力 (600893.SS)	15m	2.0	2025-09-25 13:15:00	37.83	
云铝股份 (000807.SZ)	5m	1.1	2025-09-25 13:10:00	19.22	
温氏股份 (300498.SZ)	30m	3.65	2025-09-25 13:00:00	18.73	
华域汽车 (600741.SS)	30m	2.92	2025-09-25 13:00:00	20.01	
四川路桥 (600039.SS)	30m	2.87	2025-09-25 13:00:00	8.39	
农业银行 (601288.SS)	30m	2.7	2025-09-25 13:00:00	6.48	
四川路桥 (600039.SS)	15m	2.59	2025-09-25 13:00:00	8.39	
圆通速递 (600233.SS)	15m	2.47	2025-09-25 13:00:00	18.68	
中远海控 (601919.SS)	15m	2.18	2025-09-25 13:00:00	14.37	
洋河股份 (002304.SZ)	30m	2.5	2025-09-25 12:30:00	68.76	
古井贡酒 (000596.SZ)	15m	2.0	2025-09-25 12:30:00	155.97	
古井贡酒 (000596.SZ)	10m	1.5	2025-09-25 12:20:00	155.97	
美的集团 (000333.SZ)	15m	2.0	2025-09-25 12:15:00	72.79	
招商公路 (001965.SZ)	5m	1.0	2025-09-25 11:55:00	9.72	2025-09-25 13:10:00
泸州老窖 (000568.SZ)	15m	2.0	2025-09-25 11:45:00	130.5	
洋河股份 (002304.SZ)	15m	2.0	2025-09-25 11:45:00	68.76	
洋河股份 (002304.SZ)	10m	3.17	2025-09-25 11:30:00	68.76	
农业银行 (601288.SS)	15m	2.0	2025-09-25 11:30:00	6.46	
中信银行 (601998.SS)	15m	2.0	2025-09-25 11:30:00	7.31	
农业银行 (601288.SS)	10m	1.5	2025-09-25 11:30:00	6.46	
招商公路 (001965.SZ)	5m	1.06	2025-09-25 11:20:00	9.74	2025-09-25 13:10:00
伊利股份 (600887.SS)	10m	1.64	2025-09-25 11:20:00	27.15	
海尔智家 (600690.SS)	10m	1.58	2025-09-25 11:20:00	25.35	
中国船舶 (600150.SS)	15m	2.2	2025-09-25 11:15:00	34.98	
牧原股份 (002714.SZ)	15m	2.12	2025-09-25 11:15:00	52.97	
长江电力 (600900.SS)	15m	2.12	2025-09-25 11:15:00	27.23	
光大银行 (601818.SS)	15m	2.06	2025-09-25 11:15:00	3.44	
中国交建 (601800.SS)	5m	1.04	2025-09-25 11:15:00	8.71	
中国交建 (601800.SS)	10m	1.55	2025-09-25 11:10:00	8.71	
招商轮船 (601872.SS)	10m	1.55	2025-09-25 11:10:00	8.71	
中国铁建 (601186.SS)	5m	1.11	2025-09-25 11:10:00	7.82	
民生银行 (600016.SS)	30m	2.79	2025-09-25 11:00:00	4.06	
圆通速递 (600233.SS)	10m	1.68	2025-09-25 11:00:00	18.66	
平安银行 (000001.SZ)	10m	1.63	2025-09-25 11:00:00	11.4	
浙商银行 (601916.SS)	5m	1.13	2025-09-25 11:00:00	3.01	
中国建筑 (601668.SS)	5m	1.18	2025-09-25 10:55:00	5.49	
中国交建 (601800.SS)	5m	1.14	2025-09-25 10:55:00	8.71	
中国中车 (601766.SS)	5m	1.06	2025-09-25 10:55:00	7.42	
徐工机械 (000425.SZ)	10m	1.89	2025-09-25 10:50:00	10.25	2025-09-25 13:10:00
恒力石化 (600346.SS)	10m	1.79	2025-09-25 10:50:00	16.21	2025-09-25 11:00:00
东方盛虹 (000301.SZ)	10m	1.64	2025-09-25 10:50:00	9.2	2025-09-25 11:00:00
宁波银行 (002142.SZ)	10m	1.69	2025-09-25 10:50:00	26.52	2025-09-25 10:50:00
中国中免 (601888.SS)	10m	1.66	2025-09-25 10:50:00	69.98	
中国人保 (601319.SS)	10m	1.63	2025-09-25 10:50:00	7.73	
中国铁建 (601186.SS)	5m	1.19	2025-09-25 10:50:00	7.83	
宁波银行 (002142.SZ)	15m	2.22	2025-09-25 10:45:00	26.52	2025-09-25 11:00:00
中国平安 (601318.SS)	15m	2.18	2025-09-25 10:45:00	55.21	2025-09-25 11:00:00
东方盛虹 (000301.SZ)	5m	1.05	2025-09-25 10:45:00	9.19	2025-09-25 11:00:00
徐工机械 (000425.SZ)	15m	2.53	2025-09-25 10:45:00	10.25	
中远海控 (601919.SS)	15m	2.17	2025-09-25 10:45:00	14.39	
中国中车 (601766.SS)	5m	1.08	2025-09-25 10:45:00	7.42	
山西焦煤 (000983.SZ)	10m	1.67	2025-09-25 10:40:00	7.17	2025-09-25 11:00:00
中国交建 (601800.SS)	5m	1.13	2025-09-25 10:40:00	8.71	
陕西煤业 (601225.SS)	5m	1.15	2025-09-25 10:35:00	20.38	2025-09-25 10:55:00
中国中车 (601766.SS)	5m	1.16	2025-09-25 10:35:00	7.42	
中国人保 (601319.SS)	5m	1.17	2025-09-25 10:30:00	7.72	2025-09-25 11:20:00
宁波银行 (002142.SZ)	10m	1.67	2025-09-25 10:30:00	26.45	2025-09-25 10:50:00
贵州茅台 (600519.SS)	5m	1.18	2025-09-25 10:30:00	1437.9	2025-09-25 10:45:00
华域汽车 (600741.SS)	30m	2.9	2025-09-25 10:30:00	20.01	
海大集团 (002311.SZ)	30m	2.79	2025-09-25 10:30:00	62.31	
宝钢股份 (600019.SS)	30m	2.78	2025-09-25 10:30:00	6.84	
航发动力 (600893.SS)	15m	2.45	2025-09-25 10:30:00	37.81	
洋河股份 (002304.SZ)	15m	2.25	2025-09-25 10:30:00	68.88	
贵州茅台 (600519.SS)	15m	2.24	2025-09-25 10:30:00	1439.5	
中国人保 (601319.SS)	15m	2.23	2025-09-25 10:30:00	7.72	
兴业银行 (601166.SS)	15m	2.2	2025-09-25 10:30:00	20.24	
中国人保 (601319.SS)	10m	1.82	2025-09-25 10:30:00	7.73	
贵州茅台 (600519.SS)	10m	1.73	2025-09-25 10:30:00	1438.87	
洋河股份 (002304.SZ)	10m	1.72	2025-09-25 10:30:00	68.88	
中远海控 (601919.SS)	10m	1.69	2025-09-25 10:30:00	14.38	
平安银行 (000001.SZ)	10m	1.63	2025-09-25 10:30:00	11.41	
中国铁建 (601186.SS)	5m	1.14	2025-09-25 10:30:00	7.83	
平安银行 (000001.SZ)	5m	1.13	2025-09-25 10:30:00	11.41	
中国建筑 (601668.SS)	5m	1.04	2025-09-25 10:30:00	5.5	
东方盛虹 (000301.SZ)	5m	1.13	2025-09-25 10:25:00	9.2	2025-09-25 11:00:00
三花智控 (002050.SZ)	5m	1.25	2025-09-25 10:25:00	43.91	2025-09-25 10:40:00
中国石化 (600028.SS)	5m	1.13	2025-09-25 10:20:00	5.35	2025-09-25 11:10:00
三花智控 (002050.SZ)	10m	1.66	2025-09-25 10:20:00	43.91	2025-09-25 10:40:00
招商轮船 (601872.SS)	10m	1.93	2025-09-25 10:20:00	8.76	
海天味业 (603288.SS)	5m	1.25	2025-09-25 10:15:00	38.72	2025-09-25 10:35:00
平安银行 (000001.SZ)	5m	1.12	2025-09-25 10:15:00	11.41	
中国石化 (600028.SS)	5m	1.24	2025-09-25 10:10:00	5.35	2025-09-25 11:10:00
贵州茅台 (600519.SS)	5m	1.14	2025-09-25 10:10:00	1437.84	2025-09-25 10:45:00
三花智控 (002050.SZ)	5m	1.32	2025-09-25 10:10:00	43.87	2025-09-25 10:40:00
深南电路 (002916.SZ)	10m	1.82	2025-09-25 10:10:00	207.77	2025-09-25 10:30:00
工业富联 (601138.SS)	10m	2.03	2025-09-25 10:10:00	68.22	2025-09-25 10:20:00
中国人寿 (601628.SS)	5m	1.18	2025-09-25 10:10:00	37.92	2025-09-25 10:15:00
中国人寿 (601628.SS)	10m	1.8	2025-09-25 10:10:00	38.02	2025-09-25 10:10:00
生益科技 (600183.SS)	5m	1.68	2025-09-25 10:10:00	56.5	2025-09-25 10:10:00
深南电路 (002916.SZ)	5m	1.21	2025-09-25 10:05:00	206.42	2025-09-25 10:30:00
卓胜微 (300782.SZ)	5m	1.14	2025-09-25 10:00:00	82.19	2025-09-25 10:35:00
古井贡酒 (000596.SZ)	10m	1.73	2025-09-25 10:00:00	156.42	2025-09-25 10:30:00
古井贡酒 (000596.SZ)	5m	1.26	2025-09-25 10:00:00	156.4	2025-09-25 10:30:00
天孚通信 (300394.SZ)	10m	2.19	2025-09-25 10:00:00	180.17	2025-09-25 10:20:00
生益科技 (600183.SS)	5m	1.47	2025-09-25 10:00:00	55.92	2025-09-25 10:10:00
工业富联 (601138.SS)	5m	1.34	2025-09-25 10:00:00	67.83	2025-09-25 10:10:00
天孚通信 (300394.SZ)	15m	3.43	2025-09-25 10:00:00	184.33	2025-09-25 10:00:00
古井贡酒 (000596.SZ)	15m	2.29	2025-09-25 10:00:00	156.43	
中国石化 (600028.SS)	5m	1.21	2025-09-25 09:55:00	5.35	2025-09-25 11:10:00
海天味业 (603288.SS)	5m	1.23	2025-09-25 09:55:00	38.72	2025-09-25 10:35:00
沪电股份 (002463.SZ)	5m	1.29	2025-09-25 09:55:00	74.0	2025-09-25 10:10:00
平安银行 (000001.SZ)	5m	1.11	2025-09-25 09:55:00	11.42	
沪电股份 (002463.SZ)	10m	2.1	2025-09-25 09:50:00	74.0	2025-09-25 10:20:00
中国人寿 (601628.SS)	5m	1.5	2025-09-25 09:50:00	37.98	2025-09-25 09:50:00
圆通速递 (600233.SS)	5m	1.24	2025-09-25 09:45:00	18.78	2025-09-25 13:10:00
中煤能源 (601898.SS)	5m	1.74	2025-09-25 09:45:00	11.73	2025-09-25 11:20:00
中远海控 (601919.SS)	5m	1.28	2025-09-25 09:45:00	14.41	2025-09-25 11:00:00
陕西煤业 (601225.SS)	5m	1.37	2025-09-25 09:45:00	20.48	2025-09-25 10:55:00
海天味业 (603288.SS)	5m	1.29	2025-09-25 09:45:00	38.74	2025-09-25 10:35:00
兴业银行 (601166.SS)	5m	1.7	2025-09-25 09:45:00	20.3	2025-09-25 09:45:00
华能水电 (600025.SS)	5m	1.59	2025-09-25 09:45:00	9.27	2025-09-25 09:45:00
中国石化 (600028.SS)	5m	1.55	2025-09-25 09:45:00	5.36	2025-09-25 09:45:00
中国建筑 (601668.SS)	5m	1.51	2025-09-25 09:45:00	5.53	2025-09-25 09:45:00
兴业银行 (601166.SS)	15m	2.64	2025-09-25 09:45:00	20.29	
长江电力 (600900.SS)	15m	2.51	2025-09-25 09:45:00	27.29	
农业银行 (601288.SS)	5m	1.58	2025-09-25 09:45:00	6.54	
中国交建 (601800.SS)	5m	1.4	2025-09-25 09:45:00	8.74	
平安银行 (000001.SZ)	5m	1.37	2025-09-25 09:45:00	11.44	
东方盛虹 (000301.SZ)	5m	1.65	2025-09-25 09:40:00	9.22	2025-09-25 09:45:00
贵州茅台 (600519.SS)	5m	1.18	2025-09-24 14:55:00	1442.36	2025-09-25 10:45:00
古井贡酒 (000596.SZ)	10m	1.64	2025-09-24 14:50:00	156.7	2025-09-25 10:30:00
洋河股份 (002304.SZ)	10m	1.74	2025-09-24 14:50:00	69.12	
圆通速递 (600233.SS)	15m	2.29	2025-09-24 14:45:00	18.88	
洋河股份 (002304.SZ)	15m	2.27	2025-09-24 14:45:00	69.12	
古井贡酒 (000596.SZ)	15m	2.18	2025-09-24 14:45:00	156.7	
中信银行 (601998.SS)	5m	1.24	2025-09-24 14:45:00	7.38	
华利集团 (300979.SZ)	5m	1.53	2025-09-24 14:40:00	54.33	2025-09-24 14:45:00
宁波银行 (002142.SZ)	5m	1.46	2025-09-24 14:40:00	26.52	2025-09-24 14:40:00
圆通速递 (600233.SS)	10m	1.83	2025-09-24 14:40:00	18.86	
