ticker	date	intervals	signal_price	current_price	current_time	nx_1d_signal	nx_30m_signal	nx_1d	nx_1h	nx_30m
ORCL	2025-11-26	2,3,4	206.05	201.95	2025-11-28 00:00:00	False	False	False	False	False
NVDA	2025-11-25	1,2,3	177.8	177.0	2025-11-28 00:00:00	True	False	True	False	False
BABA	2025-11-24	1,2,4	160.29	157.3	2025-11-28 00:00:00	True	True	True	False	False
DXYZ	2025-11-24	1,2,3,4	21.24	22.51	2025-11-28 00:00:00	False	False	False	False	True
ETHA	2025-11-24	1,2,3	21.55	22.95	2025-11-28 00:00:00	False	False	False	False	True
IONQ	2025-11-24	1,2,3	44.54	49.3	2025-11-28 00:00:00	False	False	False	False	True
IREN	2025-11-24	1,2,3	47.06	47.81	2025-11-28 00:00:00	True	False	True	False	True
NVDA	2025-11-24	1,2,3	182.09	177.0	2025-11-28 00:00:00	True	False	True	False	False
RDDT	2025-11-24	1,2,3,4	191.64	216.47	2025-11-28 00:00:00	False	True	True	True	True
TSM	2025-11-24	1,2,3	282.88	291.51	2025-11-28 00:00:00	True	False	True	True	True
USAR	2025-11-24	1,2,3,4	12.37	13.45	2025-11-28 00:00:00	False	False	False	False	False
UUUU	2025-11-24	2,3,4	13.41	14.4	2025-11-28 00:00:00	True	False	True	False	True
VRT	2025-11-24	1,2,3	170.8	179.73	2025-11-28 00:00:00	True	False	True	False	True
VST	2025-11-24	1,2,3,4	175.13	178.86	2025-11-28 00:00:00	False	False	False	False	True
SOL-USD	2025-11-22	2,3,4	128.13	136.37	2025-11-30 00:00:00	False	False	False	False	True
ADBE	2025-11-21	1,2,3	316.24	320.13	2025-11-28 00:00:00	False	False	False	False	False
DUO	2025-11-21	1,2,3	1.69	1.81	2025-11-28 00:00:00	False	False	False	False	True
DXYZ	2025-11-21	1,2,3	20.8	22.51	2025-11-28 00:00:00	False	False	False	False	True
GME	2025-11-21	2,3,4	20.29	22.53	2025-11-28 00:00:00	False	False	False	True	True
INTC	2025-11-21	1,2,3	34.74	40.56	2025-11-28 00:00:00	True	False	True	True	True
JOBY	2025-11-21	1,2,3	13.09	14.43	2025-11-28 00:00:00	True	False	True	False	True
LUNR	2025-11-21	1,2,3,4	8.62	9.5	2025-11-28 00:00:00	False	False	False	False	True
MLGO	2025-11-21	1,2,3	6.26	6.82	2025-11-28 00:00:00	False	False	False	False	True
PGY	2025-11-21	1,2,4	21.52	24.95	2025-11-28 00:00:00	False	False	False	True	True
QBTS	2025-11-21	1,2,3	20.39	22.67	2025-11-28 00:00:00	True	False	True	False	False
RDDT	2025-11-21	1,2,3	187.38	216.47	2025-11-28 00:00:00	False	False	True	True	True
UNH	2025-11-21	1,2,3,4	321.28	329.77	2025-11-28 00:00:00	False	False	False	True	True
BMNR	2025-11-20	1,2,3	29.64	33.12	2025-11-28 00:00:00	False	False	False	False	True
ETH-USD	2025-11-20	2,3,4	2999.4	2998.38	2025-11-30 00:00:00	False	False	False	True	True
ETHA	2025-11-20	1,2,3,4	21.52	22.95	2025-11-28 00:00:00	False	False	False	False	True
UNH	2025-11-20	1,2,3,4	313.4	329.77	2025-11-28 00:00:00	False	False	False	True	True
ALAB	2025-11-19	2,3,4	142.0	157.57	2025-11-28 00:00:00	False	False	False	False	True
ASML	2025-11-19	1,2,3	1023.74	1060.0	2025-11-28 00:00:00	True	True	True	True	True
ETHA	2025-11-19	1,2,3,4	22.24	22.95	2025-11-28 00:00:00	False	False	False	False	True
GME	2025-11-19	1,2,3,4	20.42	22.53	2025-11-28 00:00:00	False	False	False	True	True
CRML	2025-11-18	1,2,3,4	8.48	8.23	2025-11-28 00:00:00	True	False	True	False	False
ETH-USD	2025-11-18	1,2,3,4	3150.58	2998.38	2025-11-30 00:00:00	False	False	False	True	True
ETHA	2025-11-18	1,2,3,4	23.85	22.95	2025-11-28 00:00:00	False	False	False	False	True
GME	2025-11-18	1,2,3	20.61	22.53	2025-11-28 00:00:00	False	False	False	True	True
OKLO	2025-11-18	1,2,3	97.34	91.38	2025-11-28 00:00:00	True	False	True	False	False
RKLB	2025-11-18	1,2,3	43.11	42.14	2025-11-28 00:00:00	True	False	False	False	False
SBET	2025-11-18	2,3,4	10.55	10.62	2025-11-28 00:00:00	False	False	False	False	True
SERV	2025-11-18	1,2,3	9.06	10.26	2025-11-28 00:00:00	False	False	False	False	True
SOL-USD	2025-11-18	1,2,3,4	138.06	136.37	2025-11-30 00:00:00	False	False	False	False	True
ETH-USD	2025-11-17	1,2,3,4	3131.53	2998.38	2025-11-30 00:00:00	False	False	False	True	True
SOL-USD	2025-11-17	1,2,3	141.8	136.37	2025-11-30 00:00:00	False	False	False	False	True
ASTS	2025-11-14	1,2,3	64.38	56.2	2025-11-28 00:00:00	True	False	True	False	False
DUO	2025-11-14	1,2,3	1.84	1.81	2025-11-28 00:00:00	False	False	False	False	True
LUNR	2025-11-14	1,2,3	9.42	9.5	2025-11-28 00:00:00	False	False	False	False	True
QMCO	2025-11-14	1,2,3	8.23	7.85	2025-11-28 00:00:00	False	False	False	False	True
SE	2025-11-14	1,2,3	140.98	139.01	2025-11-28 00:00:00	False	False	False	False	False
SMCI	2025-11-14	1,2,3	35.91	33.85	2025-11-28 00:00:00	False	False	False	False	False
JD	2025-11-11	1,2,3	31.58	29.83	2025-11-28 00:00:00	False	False	False	False	True
GME	2025-11-10	1,3,4	21.65	22.53	2025-11-28 00:00:00	False	False	False	True	True
JD	2025-11-10	1,2,3	31.38	29.83	2025-11-28 00:00:00	False	False	False	False	True
XIACY	2025-11-10	1,2,3	27.2	26.64	2025-11-28 00:00:00	False	False	False	False	True
BTC-USD	2025-11-08	1,2,3,4	101922.3	90908.02	2025-11-30 00:00:00	False	False	False	True	True
AFRM	2025-11-07	1,2,4	71.48	70.95	2025-11-28 00:00:00	True	False	False	False	True
ASTS	2025-11-07	1,2,3	68.73	56.2	2025-11-28 00:00:00	True	False	True	False	False
BTC-USD	2025-11-07	1,2,3	100971.84	90908.02	2025-11-30 00:00:00	False	False	False	True	True
COIN	2025-11-07	1,2,3	297.84	272.82	2025-11-28 00:00:00	True	False	False	False	True
GME	2025-11-07	1,2,3,4	21.5	22.53	2025-11-28 00:00:00	False	False	False	True	True
JD	2025-11-07	1,2,3	31.81	29.83	2025-11-28 00:00:00	False	False	False	False	True
OKLO	2025-11-07	1,2,3	110.84	91.38	2025-11-28 00:00:00	True	False	True	False	False
PGY	2025-11-07	1,2,3,4	24.47	24.95	2025-11-28 00:00:00	False	False	False	True	True
PYPL	2025-11-07	1,2,3	66.22	62.69	2025-11-28 00:00:00	False	False	False	False	True
QMCO	2025-11-07	1,2,3	8.05	7.85	2025-11-28 00:00:00	False	False	False	False	True
RDDT	2025-11-07	1,3,4	194.64	216.47	2025-11-28 00:00:00	True	False	True	True	True
RKT	2025-11-07	1,2,3,4	16.16	19.98	2025-11-28 00:00:00	True	False	True	True	True
SBET	2025-11-07	1,2,3,4	11.97	10.62	2025-11-28 00:00:00	False	False	False	False	True
TLRY	2025-11-07	1,2,3	1.24	0.81	2025-11-28 00:00:00	True	False	False	False	False
OXY	2025-11-06	1,2,3,4	40.28	42.0	2025-11-28 00:00:00	False	False	False	True	True
GDX	2025-11-05	1,2,3,4	70.41	83.23	2025-11-28 00:00:00	True	False	True	True	True
GDXU	2025-11-05	1,2,3,4	139.31	223.83	2025-11-28 00:00:00	True	False	True	True	True
GME	2025-11-05	2,3,4	22.26	22.53	2025-11-28 00:00:00	False	False	False	True	True
MLGO	2025-11-05	1,2,3	9.06	6.82	2025-11-28 00:00:00	False	False	False	False	True
MSTR	2025-11-05	1,2,3	252.21	177.18	2025-11-28 00:00:00	False	False	False	False	False
