ticker	date	intervals	signal_price	current_price	current_time	nx_1d_signal	nx_30m_signal	nx_1d	nx_1h	nx_30m
申万宏源 (000166.SZ)	2025-09-24	1,2,3,4	5.19	5.18	2025-09-25 00:00:00	True	False	True	False	False
神剑股份 (002361.SZ)	2025-09-24	1,2,3,4	6.32	6.25	2025-09-25 00:00:00	True	False	True	False	False
银河电子 (002519.SZ)	2025-09-24	1,2,3,4	4.73	4.64	2025-09-25 00:00:00	False	False	False	False	False
中国中铁 (601390.SS)	2025-09-24	2,3,4	5.5	5.49	2025-09-25 00:00:00	False	False	False	False	False
金山办公 (688111.SS)	2025-09-24	2,3,4	308.25	322.21	2025-09-25 00:00:00	True	False	True	True	True
中国中铁 (601390.SS)	2025-09-23	2,3,4	5.53	5.49	2025-09-25 00:00:00	False	False	False	False	False
中远海控 (601919.SS)	2025-09-19	1,2,3,4	14.89	14.37	2025-09-25 00:00:00	True	False	False	False	False
中国人寿 (601628.SS)	2025-09-17	1,2,3	39.03	38.03	2025-09-25 00:00:00	True	False	False	False	False
中远海控 (601919.SS)	2025-09-17	1,2,3,4	14.96	14.37	2025-09-25 00:00:00	True	False	False	False	False
交通银行 (601328.SS)	2025-09-10	1,2,3,4	7.22	6.82	2025-09-25 00:00:00	False	False	False	False	False
兴业银行 (601166.SS)	2025-09-09	1,2,3,4	21.52	20.26	2025-09-25 00:00:00	False	False	False	False	False
交通银行 (601328.SS)	2025-09-09	1,2,4	7.17	6.82	2025-09-25 00:00:00	False	False	False	False	False
中国石化 (600028.SS)	2025-09-08	1,2,3	5.7	5.35	2025-09-25 00:00:00	True	False	False	False	False
中国移动 (600941.SS)	2025-09-08	1,2,3,4	107.62	106.07	2025-09-25 00:00:00	False	False	False	False	False
中国石化 (600028.SS)	2025-09-04	1,2,3	5.79	5.35	2025-09-25 00:00:00	True	False	False	False	False
兴业银行 (601166.SS)	2025-09-04	1,3,4	21.96	20.26	2025-09-25 00:00:00	True	False	False	False	False
交通银行 (601328.SS)	2025-09-04	2,3,4	7.34	6.82	2025-09-25 00:00:00	False	False	False	False	False
交通银行 (601328.SS)	2025-09-03	1,2,3,4	7.26	6.82	2025-09-25 00:00:00	False	False	False	False	False
交通银行 (601328.SS)	2025-09-02	1,2,3,4	7.32	6.82	2025-09-25 00:00:00	False	False	False	False	False
工商银行 (601398.SS)	2025-09-02	2,3,4	7.51	7.33	2025-09-25 00:00:00	True	False	True	False	False
保利发展 (600048.SS)	2025-08-22	2,3,4	7.96	7.63	2025-09-25 00:00:00	False	False	False	False	False
国电南瑞 (600406.SS)	2025-08-21	1,2,3,4	21.94	22.34	2025-09-25 00:00:00	False	False	False	True	True
中国建筑 (601668.SS)	2025-08-21	1,2,3,4	5.6	5.49	2025-09-25 00:00:00	True	False	False	False	False
招商银行 (600036.SS)	2025-08-20	1,3,4	43.5	40.85	2025-09-25 00:00:00	True	False	False	False	False
国电南瑞 (600406.SS)	2025-08-20	1,2,3	21.81	22.34	2025-09-25 00:00:00	False	False	False	True	True
伊利股份 (600887.SS)	2025-08-20	2,3,4	27.29	27.06	2025-09-25 00:00:00	False	False	False	False	False
中国移动 (600941.SS)	2025-08-20	2,3,4	107.68	106.07	2025-09-25 00:00:00	False	False	False	False	False
兴业银行 (601166.SS)	2025-08-20	1,2,3,4	22.59	20.26	2025-09-25 00:00:00	True	False	False	False	False
中国中铁 (601390.SS)	2025-08-20	1,2,3,4	5.67	5.49	2025-09-25 00:00:00	True	False	False	False	False
中国建筑 (601668.SS)	2025-08-20	1,2,3,4	5.52	5.49	2025-09-25 00:00:00	True	False	False	False	False
中国核电 (601985.SS)	2025-08-20	1,2,3,4	9.06	8.5	2025-09-25 00:00:00	False	False	False	False	False
中微公司 (688012.SS)	2025-08-20	1,2,4	197.99	294.23	2025-09-25 00:00:00	True	False	True	True	True
伊利股份 (600887.SS)	2025-08-19	1,2,3,4	27.32	27.06	2025-09-25 00:00:00	False	False	False	False	False
交通银行 (601328.SS)	2025-08-19	1,2,3,4	7.51	6.82	2025-09-25 00:00:00	True	False	False	False	False
中国建筑 (601668.SS)	2025-08-19	1,2,3,4	5.53	5.49	2025-09-25 00:00:00	True	False	False	False	False
滨化股份 (601678.SS)	2025-08-19	1,2,3	4.37	4.07	2025-09-25 00:00:00	True	False	False	False	False
中国核电 (601985.SS)	2025-08-19	1,2,3	9.06	8.5	2025-09-25 00:00:00	False	False	False	False	False
中国银行 (601988.SS)	2025-08-19	2,3,4	5.56	5.22	2025-09-25 00:00:00	True	False	False	False	False
招商银行 (600036.SS)	2025-08-18	1,3,4	43.63	40.85	2025-09-25 00:00:00	True	False	False	False	False
伊利股份 (600887.SS)	2025-08-18	1,2,3,4	27.38	27.06	2025-09-25 00:00:00	False	False	False	False	False
兴业银行 (601166.SS)	2025-08-18	1,2,3,4	22.61	20.26	2025-09-25 00:00:00	True	False	False	False	False
中国建筑 (601668.SS)	2025-08-18	1,2,3,4	5.59	5.49	2025-09-25 00:00:00	True	False	False	False	False
中国核电 (601985.SS)	2025-08-18	1,2,3	9.11	8.5	2025-09-25 00:00:00	False	False	False	False	False
美锦能源 (000723.SZ)	2025-08-15	1,2,3,4	4.58	4.68	2025-09-25 00:00:00	True	False	True	False	False
隆基绿能 (601012.SS)	2025-08-15	1,2,3	15.77	17.75	2025-09-25 00:00:00	True	False	True	True	True
滨化股份 (601678.SS)	2025-08-15	1,2,3	4.39	4.07	2025-09-25 00:00:00	True	False	False	False	False
坤彩科技 (603826.SS)	2025-08-15	1,2,3,4	19.47	18.94	2025-09-25 00:00:00	False	False	False	False	False
伊利股份 (600887.SS)	2025-08-11	1,2,3,4	27.51	27.06	2025-09-25 00:00:00	False	False	False	False	False
中国石油 (601857.SS)	2025-08-06	1,3,4	8.64	8.15	2025-09-25 00:00:00	True	False	True	False	False
海天味业 (603288.SS)	2025-08-06	2,3,4	38.36	38.72	2025-09-25 00:00:00	False	False	False	False	False
中国石油 (601857.SS)	2025-08-05	1,3,4	8.6	8.15	2025-09-25 00:00:00	True	False	True	False	False
海天味业 (603288.SS)	2025-08-05	2,3,4	38.4	38.72	2025-09-25 00:00:00	False	False	False	False	False
银河电子 (002519.SZ)	2025-08-04	1,2,3,4	5.05	4.64	2025-09-25 00:00:00	True	False	False	False	False
赛力斯 (601127.SS)	2025-08-04	1,2,3,4	127.65	149.0	2025-09-25 00:00:00	True	False	True	True	True
赛力斯 (601127.SS)	2025-08-01	1,2,3,4	128.44	149.0	2025-09-25 00:00:00	True	False	True	True	True
招商银行 (600036.SS)	2025-07-31	1,2,3,4	44.46	40.85	2025-09-25 00:00:00	True	False	False	False	False
招商银行 (600036.SS)	2025-07-30	1,2,3,4	44.51	40.85	2025-09-25 00:00:00	True	False	False	False	False
海光信息 (688041.SS)	2025-07-24	2,3,4	136.84	273.88	2025-09-25 00:00:00	False	False	True	True	True
中国电信 (601728.SS)	2025-07-21	2,3,4	7.6	6.68	2025-09-25 00:00:00	True	False	False	False	False
陕西煤业 (601225.SS)	2025-07-18	2,3,4	19.15	20.38	2025-09-25 00:00:00	False	False	True	True	True
中国电信 (601728.SS)	2025-07-18	2,3,4	7.64	6.68	2025-09-25 00:00:00	True	False	False	False	False
韦尔股份 (603501.SS)	2025-07-18	1,2,3,4	125.29	151.82	2025-09-25 00:00:00	False	True	True	True	True
国电南瑞 (600406.SS)	2025-07-17	1,2,3,4	21.89	22.34	2025-09-25 00:00:00	False	False	False	True	True
中国电信 (601728.SS)	2025-07-16	1,2,3	7.65	6.68	2025-09-25 00:00:00	True	False	False	False	False
韦尔股份 (603501.SS)	2025-07-16	1,2,3,4	123.38	151.82	2025-09-25 00:00:00	False	False	True	True	True
寒武纪 (688256.SS)	2025-07-11	1,2,3,4	551.14	1397.89	2025-09-25 00:00:00	False	False	True	True	False
韦尔股份 (603501.SS)	2025-07-08	2,3,4	125.15	151.82	2025-09-25 00:00:00	True	True	True	True	True
中国移动 (600941.SS)	2025-07-04	1,2,3,4	111.92	106.07	2025-09-25 00:00:00	True	True	False	False	False
万华化学 (600309.SS)	2025-06-24	1,2,3,4	53.13	64.85	2025-09-25 00:00:00	False		True	False	False
隆基绿能 (601012.SS)	2025-06-24	2,3,4	14.45	17.75	2025-09-25 00:00:00	False		True	True	True
韦尔股份 (603501.SS)	2025-06-24	1,2,3,4	126.05	151.82	2025-09-25 00:00:00	True		True	True	True
金山办公 (688111.SS)	2025-06-24	1,3,4	268.58	322.21	2025-09-25 00:00:00	False		True	True	True
寒武纪 (688256.SS)	2025-06-24	1,2,3,4	606.0	1397.89	2025-09-25 00:00:00	False		True	True	False
三一重工 (600031.SS)	2025-06-23	1,2,3,4	17.51	22.16	2025-09-25 00:00:00	False		True	True	True
中国联通 (600050.SS)	2025-06-23	1,2,3,4	5.25	5.46	2025-09-25 00:00:00	False		True	False	False
海光信息 (688041.SS)	2025-06-23	1,2,3,4	133.69	273.88	2025-09-25 00:00:00	False		True	True	True
寒武纪 (688256.SS)	2025-06-19	2,3,4	584.02	1397.89	2025-09-25 00:00:00	False		True	True	False
海尔智家 (600690.SS)	2025-06-17	1,2,3,4	24.84	25.33	2025-09-25 00:00:00	False		True	False	False
山西汾酒 (600809.SS)	2025-06-16	1,2,3,4	172.15	193.92	2025-09-25 00:00:00	False		True	False	False
中国中铁 (601390.SS)	2025-06-13	1,2,3,4	5.56	5.49	2025-09-25 00:00:00	False		False	False	False
海光信息 (688041.SS)	2025-06-13	1,2,3	137.01	273.88	2025-09-25 00:00:00	False		True	True	True
中芯国际 (688981.SS)	2025-06-13	1,2,3	82.57	135.85	2025-09-25 00:00:00	False		True	True	True
通威股份 (600438.SS)	2025-06-12	1,3,4	16.0	22.17	2025-09-25 00:00:00	False		True	False	False
长城汽车 (601633.SS)	2025-06-12	1,2,4	22.16	24.48	2025-09-25 00:00:00	False		True	False	False
中国中铁 (601390.SS)	2025-06-11	1,2,3,4	5.6	5.49	2025-09-25 00:00:00	False		False	False	False
长城汽车 (601633.SS)	2025-06-11	1,2,4	22.27	24.48	2025-09-25 00:00:00	False		True	False	False
三一重工 (600031.SS)	2025-06-06	1,2,4	18.48	22.16	2025-09-25 00:00:00	True		True	True	True
长城汽车 (601633.SS)	2025-06-05	1,3,4	22.54	24.48	2025-09-25 00:00:00	False		True	False	False
盐湖股份 (000792.SZ)	2025-06-04	2,3,4	15.96	19.7	2025-09-25 00:00:00	False		True	False	False
国电南瑞 (600406.SS)	2025-06-04	1,2,3,4	21.87	22.34	2025-09-25 00:00:00	False		False	True	True
国电南瑞 (600406.SS)	2025-05-30	2,3,4	22.27	22.34	2025-09-25 00:00:00	False		False	True	True
中微公司 (688012.SS)	2025-05-29	1,2,3,4	175.8	294.23	2025-09-25 00:00:00	False		True	True	True
金山办公 (688111.SS)	2025-05-29	1,3,4	284.45	322.21	2025-09-25 00:00:00	False		True	True	True
中芯国际 (688981.SS)	2025-05-29	1,2,4	82.98	135.85	2025-09-25 00:00:00	False		True	True	True
保利发展 (600048.SS)	2025-05-27	1,2,3,4	8.1	7.63	2025-09-25 00:00:00	False		False	False	False
