ticker	date	intervals	signal_price	current_price	current_time	nx_1h_signal	nx_5m_signal	nx_1d	nx_1h	nx_30m
BABA	2025-11-28	10,15,30	157.48	157.3	2025-11-28 00:00:00	False	False	True	False	False
GOOGL	2025-11-28	5,10,15	319.03	320.18	2025-11-28 00:00:00	True	False	True	True	True
SQQQ	2025-11-28	5,10,15	69.23	68.41	2025-11-28 00:00:00	False	False	False	False	False
AREC	2025-11-26	5,10,15	2.6	2.78	2025-11-28 00:00:00	False	False	True	False	False
BABA	2025-11-26	5,10,15,30	157.53	157.3	2025-11-28 00:00:00	False	False	True	False	False
SH	2025-11-26	5,10,15	36.43	36.35	2025-11-28 00:00:00	False	False	False	False	False
SQQQ	2025-11-26	5,10,15,30	69.62	68.41	2025-11-28 00:00:00	False	False	False	False	False
DIS	2025-11-25	5,10,15,30	102.96	104.47	2025-11-28 00:00:00	False	True	False	False	False
MSFT	2025-11-25	5,10,15,30	472.15	492.01	2025-11-28 00:00:00	False	True	False	False	True
NVDA	2025-11-25	5,15,30	175.17	177.0	2025-11-28 00:00:00	False	False	True	False	False
ORCL	2025-11-25	5,15,30	196.05	201.95	2025-11-28 00:00:00	False	False	False	False	False
SH	2025-11-25	5,10,15	36.75	36.35	2025-11-28 00:00:00	True	False	False	False	False
SQQQ	2025-11-25	5,10,15,30	71.81	68.41	2025-11-28 00:00:00	True	False	False	False	False
WMT	2025-11-25	5,10,15	105.07	110.51	2025-11-28 00:00:00	True	True	True	True	True
AREC	2025-11-24	5,10,15	2.62	2.78	2025-11-28 00:00:00	False	True	True	False	False
BA	2025-11-24	5,10,15	179.28	189.0	2025-11-28 00:00:00	False	False	False	False	True
MSTR	2025-11-24	10,15,30	171.68	177.18	2025-11-28 00:00:00	False	True	False	False	False
SBUX	2025-11-24	5,10,15	83.42	87.11	2025-11-28 00:00:00	False	False	False	True	True
WMT	2025-11-24	5,10,15	105.08	110.51	2025-11-28 00:00:00	True	False	True	True	True
BTC-USD	2025-11-22	5,15,30	83970.63	90908.02	2025-11-30 00:00:00	False	True	False	True	True
ETH-USD	2025-11-22	5,10,15,30	2723.0	2998.38	2025-11-30 00:00:00	False	True	False	True	True
SOL-USD	2025-11-22	5,10,15,30	125.99	136.37	2025-11-30 00:00:00	False	True	False	False	True
AAOI	2025-11-21	5,10,15	18.94	26.78	2025-11-28 00:00:00	False	True	False	True	True
ACHR	2025-11-21	5,10,30	6.84	7.79	2025-11-28 00:00:00	False	True	False	False	True
