ticker	date	intervals	signal_price	current_price	current_time	nx_1h_signal	nx_5m_signal	nx_1d	nx_1h	nx_30m
美锦能源 (000723.SZ)	2025-09-25	5,10,15	4.68	4.68	2025-09-25 00:00:00	False	False	True	False	False
贵州茅台 (600519.SS)	2025-09-25	5,10,15	1437.9	1439.56	2025-09-25 00:00:00	False	False	True	False	False
伊利股份 (600887.SS)	2025-09-25	5,10,15	27.15	27.06	2025-09-25 00:00:00	False	False	False	False	False
兴业银行 (601166.SS)	2025-09-25	5,10,15	20.24	20.26	2025-09-25 00:00:00	False	False	False	False	False
农业银行 (601288.SS)	2025-09-25	5,10,15	6.46	6.46	2025-09-25 00:00:00	False	False	True	False	False
中国电信 (601728.SS)	2025-09-25	5,10,15	6.68	6.68	2025-09-25 00:00:00	False	False	False	False	False
中国中车 (601766.SS)	2025-09-25	5,10,15,30	7.42	7.4	2025-09-25 00:00:00	False	False	True	False	False
中远海控 (601919.SS)	2025-09-25	5,10,15	14.37	14.37	2025-09-25 00:00:00	False	False	False	False	False
美锦能源 (000723.SZ)	2025-09-24	5,10,15	4.69	4.68	2025-09-25 00:00:00	False	False	True	False	False
贵州茅台 (600519.SS)	2025-09-24	5,10,15,30	1442.36	1439.56	2025-09-25 00:00:00	False	False	True	False	False
中国电信 (601728.SS)	2025-09-24	5,10,15	6.69	6.68	2025-09-25 00:00:00	False	True	False	False	False
中国石油 (601857.SS)	2025-09-24	5,10,15	8.12	8.15	2025-09-25 00:00:00	False	False	True	False	False
海天味业 (603288.SS)	2025-09-24	5,10,15	38.81	38.72	2025-09-25 00:00:00	False	False	False	False	False
申万宏源 (000166.SZ)	2025-09-23	5,15,30	5.12	5.18	2025-09-25 00:00:00	False	False	True	False	False
盐湖股份 (000792.SZ)	2025-09-23	5,15,30	19.07	19.7	2025-09-25 00:00:00	False	False	True	False	False
神剑股份 (002361.SZ)	2025-09-23	5,10,15	6.18	6.25	2025-09-25 00:00:00	False	False	True	False	False
山东矿机 (002526.SZ)	2025-09-23	5,10,15	3.87	3.88	2025-09-25 00:00:00	False	False	True	False	False
中文在线 (300364.SZ)	2025-09-23	5,10,15,30	25.74	28.01	2025-09-25 00:00:00	False	False	True	False	True
爱朋医疗 (300753.SZ)	2025-09-23	5,10,15	28.19	29.09	2025-09-25 00:00:00	False	False	True	False	False
军信股份 (301109.SZ)	2025-09-23	5,10,15,30	14.08	14.27	2025-09-25 00:00:00	False	True	True	False	False
中国石化 (600028.SS)	2025-09-23	5,10,15	5.32	5.35	2025-09-25 00:00:00	False	True	False	False	False
万华化学 (600309.SS)	2025-09-23	5,10,15,30	62.85	64.85	2025-09-25 00:00:00	False	False	True	False	False
通威股份 (600438.SS)	2025-09-23	5,15,30	20.43	22.17	2025-09-25 00:00:00	False	False	True	False	False
贵州茅台 (600519.SS)	2025-09-23	5,10,15,30	1454.93	1439.56	2025-09-25 00:00:00	False	False	True	False	False
山西汾酒 (600809.SS)	2025-09-23	5,10,15,30	192.83	193.92	2025-09-25 00:00:00	False	False	True	False	False
伊利股份 (600887.SS)	2025-09-23	5,10,15,30	27.27	27.06	2025-09-25 00:00:00	False	False	False	False	False
财达证券 (600906.SS)	2025-09-23	5,10,15	7.05	7.13	2025-09-25 00:00:00	False	False	True	False	False
中国移动 (600941.SS)	2025-09-23	5,10,15	105.3	106.07	2025-09-25 00:00:00	False	True	False	False	False
隆基绿能 (601012.SS)	2025-09-23	5,10,30	16.2	17.75	2025-09-25 00:00:00	False	False	True	True	True
兴业银行 (601166.SS)	2025-09-23	5,10,15	20.36	20.26	2025-09-25 00:00:00	False	True	False	False	False
中国平安 (601318.SS)	2025-09-23	5,10,15	55.61	55.27	2025-09-25 00:00:00	False	False	True	False	False
中国中铁 (601390.SS)	2025-09-23	5,10,15	5.49	5.49	2025-09-25 00:00:00	False	True	False	False	False
邮储银行 (601658.SS)	2025-09-23	5,10,15	6.03	5.91	2025-09-25 00:00:00	False	True	True	False	False
中国建筑 (601668.SS)	2025-09-23	5,10,15	5.51	5.49	2025-09-25 00:00:00	False	True	False	False	False
中国电信 (601728.SS)	2025-09-23	5,10,15	6.68	6.68	2025-09-25 00:00:00	False	False	False	False	False
中国中车 (601766.SS)	2025-09-23	5,10,15,30	7.43	7.4	2025-09-25 00:00:00	False	False	True	False	False
洛阳钼业 (603993.SS)	2025-09-23	10,15,30	12.47	13.88	2025-09-25 00:00:00	False	False	True	True	True
寒武纪 (688256.SS)	2025-09-23	5,10,15,30	1351.49	1397.89	2025-09-25 00:00:00	True	False	True	True	False
美锦能源 (000723.SZ)	2025-09-22	5,10,15	4.82	4.68	2025-09-25 00:00:00	True	False	True	False	False
盐湖股份 (000792.SZ)	2025-09-22	5,15,30	19.49	19.7	2025-09-25 00:00:00	False	False	True	False	False
华明装备 (002270.SZ)	2025-09-22	5,10,15	18.99	19.52	2025-09-25 00:00:00	True	False	True	True	True
神剑股份 (002361.SZ)	2025-09-22	5,10,15	6.3	6.25	2025-09-25 00:00:00	False	False	True	False	False
中文在线 (300364.SZ)	2025-09-22	5,10,15,30	26.93	28.01	2025-09-25 00:00:00	False	False	True	False	True
爱朋医疗 (300753.SZ)	2025-09-22	5,10,15	29.43	29.09	2025-09-25 00:00:00	False	False	True	False	False
军信股份 (301109.SZ)	2025-09-22	5,10,15	14.21	14.27	2025-09-25 00:00:00	False	False	True	False	False
博苑股份 (301617.SZ)	2025-09-22	5,10,15,30	76.57	78.62	2025-09-25 00:00:00	True	True	True	True	True
中国石化 (600028.SS)	2025-09-22	5,10,15	5.32	5.35	2025-09-25 00:00:00	False	False	False	False	False
中国联通 (600050.SS)	2025-09-22	10,15,30	5.45	5.46	2025-09-25 00:00:00	False	False	True	False	False
中国船舶 (600150.SS)	2025-09-22	5,10,15	34.9	34.91	2025-09-25 00:00:00	False	True	True	False	False
通威股份 (600438.SS)	2025-09-22	5,15,30	21.28	22.17	2025-09-25 00:00:00	False	False	True	False	False
贵州茅台 (600519.SS)	2025-09-22	5,10,15,30	1454.18	1439.56	2025-09-25 00:00:00	False	False	True	False	False
山西汾酒 (600809.SS)	2025-09-22	5,10,15,30	196.16	193.92	2025-09-25 00:00:00	False	False	True	False	False
伊利股份 (600887.SS)	2025-09-22	5,10,15,30	27.52	27.06	2025-09-25 00:00:00	False	False	False	False	False
长江电力 (600900.SS)	2025-09-22	5,10,30	27.11	27.2	2025-09-25 00:00:00	False	False	False	False	False
中国移动 (600941.SS)	2025-09-22	5,10,15	104.98	106.07	2025-09-25 00:00:00	False	False	False	False	False
兴业银行 (601166.SS)	2025-09-22	5,10,15	20.16	20.26	2025-09-25 00:00:00	False	False	False	False	False
农业银行 (601288.SS)	2025-09-22	5,10,15	6.48	6.46	2025-09-25 00:00:00	False	False	True	False	False
中国平安 (601318.SS)	2025-09-22	5,10,15	55.13	55.27	2025-09-25 00:00:00	False	False	True	False	False
中国中铁 (601390.SS)	2025-09-22	5,10,15	5.5	5.49	2025-09-25 00:00:00	False	False	False	False	False
中国人寿 (601628.SS)	2025-09-22	5,10,15,30	37.79	38.03	2025-09-25 00:00:00	False	False	False	False	False
长城汽车 (601633.SS)	2025-09-22	5,10,30	24.66	24.48	2025-09-25 00:00:00	False	False	True	False	False
邮储银行 (601658.SS)	2025-09-22	5,10,15	5.96	5.91	2025-09-25 00:00:00	False	False	True	False	False
中国建筑 (601668.SS)	2025-09-22	5,10,15	5.51	5.49	2025-09-25 00:00:00	False	False	False	False	False
滨化股份 (601678.SS)	2025-09-22	5,10,15	4.14	4.07	2025-09-25 00:00:00	False	False	False	False	False
中国电信 (601728.SS)	2025-09-22	5,10,15	6.72	6.68	2025-09-25 00:00:00	False	False	False	False	False
中国中车 (601766.SS)	2025-09-22	5,10,15	7.47	7.4	2025-09-25 00:00:00	False	False	True	False	False
坤彩科技 (603826.SS)	2025-09-22	5,10,15,30	19.18	18.94	2025-09-25 00:00:00	False	False	False	False	False
盐湖股份 (000792.SZ)	2025-09-19	5,10,15,30	19.65	19.7	2025-09-25 00:00:00	False	False	True	False	False
中文在线 (300364.SZ)	2025-09-19	5,10,15	27.19	28.01	2025-09-25 00:00:00	False	False	True	False	True
中信证券 (600030.SS)	2025-09-19	5,10,15,30	28.51	28.73	2025-09-25 00:00:00	False	False	True	False	False
中国船舶 (600150.SS)	2025-09-19	5,10,15	35.17	34.91	2025-09-25 00:00:00	False	False	True	False	False
万华化学 (600309.SS)	2025-09-19	10,15,30	66.12	64.85	2025-09-25 00:00:00	False	False	True	False	False
通威股份 (600438.SS)	2025-09-19	5,15,30	21.95	22.17	2025-09-25 00:00:00	False	False	True	False	False
兴业银行 (601166.SS)	2025-09-19	5,10,15,30	20.16	20.26	2025-09-25 00:00:00	False	False	False	False	False
交通银行 (601328.SS)	2025-09-19	5,10,15	6.91	6.82	2025-09-25 00:00:00	False	False	False	False	False
中国太保 (601601.SS)	2025-09-19	5,10,15,30	34.91	34.72	2025-09-25 00:00:00	False	False	True	False	False
中国人寿 (601628.SS)	2025-09-19	10,15,30	38.33	38.03	2025-09-25 00:00:00	False	False	False	False	False
中国电信 (601728.SS)	2025-09-19	5,10,15,30	6.77	6.68	2025-09-25 00:00:00	False	False	False	False	False
坤彩科技 (603826.SS)	2025-09-19	10,15,30	19.22	18.94	2025-09-25 00:00:00	False	False	False	False	False
洛阳钼业 (603993.SS)	2025-09-19	5,10,15	12.57	13.88	2025-09-25 00:00:00	True	False	True	True	True
盐湖股份 (000792.SZ)	2025-09-18	5,10,15,30	19.87	19.7	2025-09-25 00:00:00	True	False	True	False	False
博苑股份 (301617.SZ)	2025-09-18	5,10,15,30	75.69	78.62	2025-09-25 00:00:00	True	False	True	True	True
中国石化 (600028.SS)	2025-09-18	5,10,15,30	5.44	5.35	2025-09-25 00:00:00	False	False	False	False	False
中信证券 (600030.SS)	2025-09-18	5,10,15,30	28.7	28.73	2025-09-25 00:00:00	False	False	True	False	False
招商银行 (600036.SS)	2025-09-18	5,10,15	41.26	40.85	2025-09-25 00:00:00	False	False	False	False	False
山西汾酒 (600809.SS)	2025-09-18	5,10,15	200.98	193.92	2025-09-25 00:00:00	True	False	True	False	False
伊利股份 (600887.SS)	2025-09-18	5,10,30	27.96	27.06	2025-09-25 00:00:00	False	False	False	False	False
长江电力 (600900.SS)	2025-09-18	5,10,15	27.64	27.2	2025-09-25 00:00:00	False	False	False	False	False
兴业银行 (601166.SS)	2025-09-18	5,10,15,30	20.24	20.26	2025-09-25 00:00:00	False	False	False	False	False
中国平安 (601318.SS)	2025-09-18	5,10,30	55.98	55.27	2025-09-25 00:00:00	False	False	True	False	False
交通银行 (601328.SS)	2025-09-18	5,10,15	6.97	6.82	2025-09-25 00:00:00	False	False	False	False	False
中国太保 (601601.SS)	2025-09-18	5,10,15,30	35.05	34.72	2025-09-25 00:00:00	False	False	True	False	False
中国人寿 (601628.SS)	2025-09-18	10,15,30	38.82	38.03	2025-09-25 00:00:00	False	False	False	False	False
中国电信 (601728.SS)	2025-09-18	5,10,15,30	6.89	6.68	2025-09-25 00:00:00	False	False	False	False	False
中国中车 (601766.SS)	2025-09-18	5,10,15	7.62	7.4	2025-09-25 00:00:00	True	False	True	False	False
中国石油 (601857.SS)	2025-09-18	5,10,15	8.22	8.15	2025-09-25 00:00:00	False	False	True	False	False
紫金矿业 (601899.SS)	2025-09-18	5,10,15	24.85	27.35	2025-09-25 00:00:00	True	False	True	True	True
中远海控 (601919.SS)	2025-09-18	5,10,30	14.84	14.37	2025-09-25 00:00:00	False	False	False	False	False
坤彩科技 (603826.SS)	2025-09-18	5,10,15	19.44	18.94	2025-09-25 00:00:00	False	False	False	False	False
洛阳钼业 (603993.SS)	2025-09-18	5,10,15	12.64	13.88	2025-09-25 00:00:00	True	False	True	True	True
军信股份 (301109.SZ)	2025-09-17	5,10,15	14.81	14.27	2025-09-25 00:00:00	False	False	True	False	False
博苑股份 (301617.SZ)	2025-09-17	5,10,15	77.12	78.62	2025-09-25 00:00:00	True	False	True	True	True
中信证券 (600030.SS)	2025-09-17	5,10,15,30	29.38	28.73	2025-09-25 00:00:00	False	False	True	False	False
招商银行 (600036.SS)	2025-09-17	5,10,15	41.82	40.85	2025-09-25 00:00:00	False	False	False	False	False
长江电力 (600900.SS)	2025-09-17	5,10,15	27.7	27.2	2025-09-25 00:00:00	False	False	False	False	False
中国移动 (600941.SS)	2025-09-17	5,10,15	106.93	106.07	2025-09-25 00:00:00	False	False	False	False	False
兴业银行 (601166.SS)	2025-09-17	5,10,30	20.61	20.26	2025-09-25 00:00:00	False	False	False	False	False
交通银行 (601328.SS)	2025-09-17	5,10,15	7.04	6.82	2025-09-25 00:00:00	False	False	False	False	False
中国太保 (601601.SS)	2025-09-17	5,10,30	35.9	34.72	2025-09-25 00:00:00	False	False	True	False	False
邮储银行 (601658.SS)	2025-09-17	5,10,15	6.17	5.91	2025-09-25 00:00:00	True	True	True	False	False
中国电信 (601728.SS)	2025-09-17	5,10,15,30	6.96	6.68	2025-09-25 00:00:00	False	False	False	False	False
中国中车 (601766.SS)	2025-09-17	5,10,15	7.63	7.4	2025-09-25 00:00:00	True	False	True	False	False
紫金矿业 (601899.SS)	2025-09-17	5,10,15	24.97	27.35	2025-09-25 00:00:00	True	False	True	True	True
洛阳钼业 (603993.SS)	2025-09-17	5,10,15	12.69	13.88	2025-09-25 00:00:00	True	False	True	True	True
军信股份 (301109.SZ)	2025-09-16	5,10,15	14.84	14.27	2025-09-25 00:00:00	False	False	True	False	False
博苑股份 (301617.SZ)	2025-09-16	5,10,15	77.01	78.62	2025-09-25 00:00:00	True	False	True	True	True
中国石化 (600028.SS)	2025-09-16	5,10,15,30	5.47	5.35	2025-09-25 00:00:00	False	False	False	False	False
