ticker	interval	score	signal_date	signal_price	breakthrough_date
QQQ	1h	3.21	2024-12-06 13:30:00	525.52	2024-12-10 09:30:00
QQQ	1h	3.38	2024-12-12 09:30:00	528.05	2024-12-13 09:30:00
QQQ	1h	3.19	2025-02-11 10:30:00	528.75	2025-02-11 14:30:00
QQQ	1h	3.45	2025-05-01 15:30:00	481.21	2025-05-08 09:30:00
QQQ	1h	3.26	2025-05-02 15:30:00	488.86	2025-05-08 09:30:00
QQQ	1h	3.43	2025-05-08 15:30:00	488.24	2025-05-09 14:30:00
QQQ	1h	3.26	2025-05-28 14:30:00	521.03	2025-05-29 09:30:00
QQQ	1h	3.37	2025-05-29 11:30:00	520.32	2025-06-02 11:30:00
QQQ	1h	3.17	2025-06-04 11:30:00	527.86	2025-06-06 09:30:00
QQQ	1h	3.22	2025-06-04 15:30:00	528.76	2025-06-06 09:30:00
QQQ	1h	3.36	2025-06-05 12:30:00	529.23	2025-06-06 09:30:00
QQQ	1h	3.29	2025-06-11 11:30:00	534.64	2025-06-12 09:30:00
QQQ	1h	3.52	2025-06-11 13:30:00	531.54	2025-06-12 09:30:00
QQQ	1h	3.27	2025-07-07 09:30:00	553.38	2025-07-07 15:30:00
QQQ	1h	3.31	2025-07-15 14:30:00	557.57	2025-07-16 14:30:00
QQQ	1h	3.37	2025-07-24 15:30:00	565.09	2025-07-30 09:30:00
QQQ	1h	3.15	2025-07-25 14:30:00	566.82	2025-07-30 09:30:00
QQQ	1h	3.16	2025-07-28 12:30:00	567.53	2025-07-30 09:30:00
QQQ	1h	3.38	2025-07-31 12:30:00	567.45	2025-08-04 12:30:00
QQQ	1h	3.35	2025-08-13 10:30:00	579.88	2025-08-22 09:30:00
QQQ	1h	3.26	2025-08-27 14:30:00	572.99	2025-09-03 09:30:00
QQQ	1h	3.18	2025-09-10 11:30:00	581.73	2025-09-10 15:30:00
QQQ	1h	3.19	2025-09-11 15:30:00	584.1	2025-09-17 14:30:00
QQQ	1h	3.23	2025-09-12 15:30:00	586.66	2025-09-17 14:30:00
QQQ	1h	3.22	2025-09-18 15:30:00	595.37	2025-09-29 09:30:00
QQQ	1h	3.33	2025-09-19 10:30:00	596.32	2025-09-29 09:30:00
QQQ	1h	3.43	2025-10-03 09:30:00	605.48	2025-10-03 13:30:00
QQQ	1h	3.36	2025-10-03 12:30:00	603.9	2025-10-03 13:30:00
QQQ	1h	3.32	2025-10-06 15:30:00	607.71	2025-10-08 09:30:00
QQQ	1h	3.55	2025-10-07 10:30:00	605.21	2025-10-08 09:30:00
QQQ	1h	3.43	2025-10-09 09:30:00	609.64	2025-10-09 13:30:00
QQQ	2h	3.75	2024-12-12 13:30:00	526.73	2024-12-24 09:30:00
QQQ	2h	3.74	2025-02-11 11:30:00	527.61	2025-02-12 11:30:00
QQQ	2h	3.85	2025-05-01 15:30:00	481.21	2025-05-07 11:30:00
QQQ	2h	3.83	2025-05-29 11:30:00	520.05	2025-05-29 15:30:00
QQQ	2h	3.91	2025-06-05 11:30:00	529.23	2025-06-06 09:30:00
QQQ	2h	4.03	2025-06-11 13:30:00	531.51	2025-06-11 15:30:00
QQQ	2h	3.78	2025-07-07 11:30:00	551.76	2025-07-16 11:30:00
QQQ	2h	3.75	2025-07-18 11:30:00	560.92	2025-07-22 11:30:00
QQQ	2h	3.64	2025-07-21 15:30:00	564.16	2025-07-22 11:30:00
QQQ	2h	3.62	2025-07-25 15:30:00	566.39	2025-07-30 15:30:00
QQQ	2h	3.65	2025-07-28 13:30:00	567.47	2025-07-30 15:30:00
QQQ	2h	4.07	2025-07-29 09:30:00	567.54	2025-07-30 15:30:00
QQQ	2h	3.71	2025-07-29 13:30:00	567.4	2025-07-30 15:30:00
QQQ	2h	3.77	2025-09-10 13:30:00	579.12	2025-09-29 09:30:00
QQQ	2h	3.91	2025-10-03 11:30:00	603.9	2025-10-08 09:30:00
QQQ	2h	4.15	2025-10-07 09:30:00	605.21	2025-10-08 09:30:00
QQQ	2h	3.94	2025-10-09 09:30:00	609.06	2025-10-15 09:30:00
QQQ	3h	4.27	2024-12-12 12:30:00	526.73	2024-12-24 09:30:00
QQQ	3h	4.12	2025-02-11 15:30:00	527.95	2025-03-24 09:30:00
QQQ	3h	4.09	2025-02-12 15:30:00	528.31	2025-03-24 09:30:00
QQQ	3h	4.67	2025-06-05 12:30:00	524.43	2025-06-06 09:30:00
QQQ	3h	4.12	2025-06-09 15:30:00	530.68	2025-06-16 09:30:00
QQQ	3h	4.46	2025-06-11 12:30:00	531.51	2025-06-16 09:30:00
QQQ	3h	4.3	2025-07-07 12:30:00	551.17	2025-07-16 12:30:00
QQQ	3h	4.28	2025-07-18 12:30:00	560.95	2025-07-22 12:30:00
QQQ	3h	4.55	2025-07-22 09:30:00	560.1	2025-07-22 12:30:00
QQQ	3h	4.09	2025-07-25 15:30:00	566.39	2025-07-30 15:30:00
QQQ	3h	4.56	2025-07-29 09:30:00	567.85	2025-07-30 15:30:00
QQQ	3h	4.13	2025-08-11 15:30:00	572.75	2025-08-22 12:30:00
QQQ	3h	4.3	2025-09-10 12:30:00	579.12	2025-09-24 15:30:00
QQQ	3h	4.56	2025-10-03 12:30:00	603.34	2025-10-17 12:30:00
QQQ	3h	4.83	2025-10-07 09:30:00	604.33	2025-10-17 12:30:00
QQQ	3h	5.23	2025-10-10 09:30:00	598.81	2025-10-17 12:30:00
QQQ	3h	4.61	2025-10-22 09:30:00	605.14	2025-10-23 09:30:00
QQQ	4h	4.95	2025-06-05 13:30:00	524.7	2025-06-16 09:30:00
QQQ	4h	4.87	2025-06-11 13:30:00	532.45	2025-06-16 09:30:00
QQQ	4h	4.88	2025-07-22 09:30:00	561.82	2025-08-06 09:30:00
QQQ	4h	4.97	2025-08-15 09:30:00	577.28	2025-08-22 09:30:00
QQQ	4h	4.92	2025-10-03 09:30:00	603.9	2025-10-20 09:30:00
QQQ	4h	5.17	2025-10-07 09:30:00	604.62	2025-10-20 09:30:00
QQQ	4h	4.99	2025-10-09 09:30:00	607.83	2025-10-20 09:30:00
QQQ	4h	5.79	2025-10-10 09:30:00	597.04	2025-10-20 09:30:00
QQQ	4h	5.2	2025-10-22 09:30:00	602.27	2025-10-23 09:30:00
SPY	1h	3.15	2024-12-06 11:30:00	607.7	2024-12-11 09:30:00
SPY	1h	3.32	2025-01-31 12:30:00	606.85	2025-02-05 11:30:00
SPY	1h	3.58	2025-02-20 09:30:00	609.11	2025-02-20 15:30:00
SPY	1h	3.32	2025-03-20 11:30:00	566.24	2025-03-24 09:30:00
SPY	1h	3.39	2025-04-25 09:30:00	544.56	2025-04-30 12:30:00
SPY	1h	3.44	2025-05-01 15:30:00	558.46	2025-05-08 09:30:00
SPY	1h	3.3	2025-05-02 15:30:00	566.62	2025-05-08 09:30:00
SPY	1h	3.54	2025-05-08 15:30:00	564.91	2025-05-12 09:30:00
SPY	1h	3.28	2025-05-28 14:30:00	589.52	2025-05-29 09:30:00
SPY	1h	3.3	2025-05-29 11:30:00	588.99	2025-05-29 15:30:00
SPY	1h	3.2	2025-06-04 11:30:00	595.92	2025-06-06 09:30:00
SPY	1h	3.18	2025-06-04 14:30:00	597.03	2025-06-06 09:30:00
SPY	1h	3.17	2025-06-09 10:30:00	599.22	2025-06-12 09:30:00
SPY	1h	3.28	2025-06-09 15:30:00	599.57	2025-06-12 09:30:00
SPY	1h	3.23	2025-06-10 13:30:00	600.92	2025-06-12 09:30:00
SPY	1h	3.2	2025-07-07 09:30:00	623.04	2025-07-07 15:30:00
SPY	1h	3.26	2025-07-10 15:30:00	625.83	2025-07-11 12:30:00
SPY	1h	3.17	2025-07-18 11:30:00	626.96	2025-07-22 12:30:00
SPY	1h	3.35	2025-07-21 14:30:00	629.45	2025-07-22 12:30:00
SPY	1h	3.1	2025-08-25 12:30:00	644.67	2025-08-26 11:30:00
SPY	1h	3.53	2025-08-28 09:30:00	645.96	2025-09-03 15:30:00
SPY	1h	3.63	2025-08-29 09:30:00	644.67	2025-09-03 15:30:00
SPY	1h	3.34	2025-09-05 10:30:00	646.21	2025-09-05 14:30:00
SPY	1h	3.11	2025-09-08 13:30:00	648.4	2025-09-17 13:30:00
SPY	1h	3.27	2025-09-09 09:30:00	648.76	2025-09-17 13:30:00
SPY	1h	3.19	2025-09-15 12:30:00	659.75	2025-09-17 13:30:00
SPY	1h	3.2	2025-09-18 14:30:00	662.71	2025-09-19 11:30:00
SPY	1h	3.14	2025-09-23 10:30:00	666.15	2025-09-26 12:30:00
SPY	1h	3.48	2025-10-09 09:30:00	671.22	2025-10-10 09:30:00
SPY	2h	3.64	2024-12-12 11:30:00	606.52	2024-12-16 09:30:00
SPY	2h	3.84	2025-05-01 15:30:00	558.46	2025-05-06 13:30:00
SPY	2h	3.74	2025-05-28 15:30:00	587.71	2025-05-29 09:30:00
SPY	2h	3.7	2025-05-29 13:30:00	588.89	2025-05-29 15:30:00
SPY	2h	3.74	2025-05-30 09:30:00	589.13	2025-05-30 13:30:00
SPY	2h	3.69	2025-06-04 15:30:00	595.89	2025-06-06 09:30:00
SPY	2h	3.82	2025-06-05 11:30:00	596.47	2025-06-06 09:30:00
SPY	2h	3.68	2025-06-09 15:30:00	599.57	2025-06-16 09:30:00
SPY	2h	3.79	2025-07-11 09:30:00	623.39	2025-07-16 13:30:00
SPY	2h	3.69	2025-07-18 11:30:00	626.94	2025-07-31 09:30:00
SPY	2h	3.69	2025-07-21 15:30:00	628.73	2025-07-31 09:30:00
SPY	2h	3.75	2025-07-24 15:30:00	634.45	2025-07-31 09:30:00
SPY	2h	3.67	2025-08-25 15:30:00	642.49	2025-08-26 11:30:00
SPY	2h	4.05	2025-08-29 09:30:00	644.41	2025-09-04 09:30:00
SPY	2h	3.68	2025-09-08 13:30:00	647.58	2025-09-23 15:30:00
SPY	2h	3.77	2025-09-10 13:30:00	650.84	2025-09-23 15:30:00
SPY	2h	3.76	2025-09-12 15:30:00	657.4	2025-09-23 15:30:00
SPY	2h	3.74	2025-09-23 09:30:00	666.15	2025-09-23 15:30:00
SPY	2h	3.82	2025-10-03 13:30:00	669.62	2025-10-08 09:30:00
SPY	2h	3.61	2025-10-06 15:30:00	671.58	2025-10-08 09:30:00
SPY	3h	4.35	2024-12-17 09:30:00	604.54	2024-12-24 09:30:00
SPY	3h	4.58	2025-06-05 12:30:00	592.46	2025-06-06 09:30:00
SPY	3h	4.42	2025-06-11 12:30:00	600.48	2025-06-16 09:30:00
SPY	3h	4.16	2025-07-21 15:30:00	628.73	2025-07-30 15:30:00
SPY	3h	4.24	2025-07-28 12:30:00	636.04	2025-07-30 15:30:00
SPY	3h	4.15	2025-08-25 15:30:00	642.49	2025-09-04 09:30:00
SPY	3h	4.51	2025-08-29 09:30:00	644.17	2025-09-04 09:30:00
SPY	3h	4.31	2025-09-23 09:30:00	665.24	2025-09-26 15:30:00
SPY	3h	4.4	2025-10-03 12:30:00	669.62	2025-10-07 12:30:00
SPY	3h	4.59	2025-10-07 09:30:00	668.4	2025-10-07 12:30:00
SPY	4h	4.93	2025-02-20 09:30:00	607.96	2025-03-24 09:30:00
SPY	4h	4.91	2025-06-05 13:30:00	593.0	2025-06-16 09:30:00
SPY	4h	4.86	2025-06-11 13:30:00	601.41	2025-06-16 09:30:00
SPY	4h	4.81	2025-06-13 09:30:00	599.53	2025-06-16 09:30:00
SPY	4h	4.78	2025-07-11 09:30:00	624.45	2025-08-06 09:30:00
SPY	4h	4.82	2025-07-29 09:30:00	636.18	2025-08-06 09:30:00
SPY	4h	4.71	2025-08-15 13:30:00	643.46	2025-08-22 09:30:00
SPY	4h	4.92	2025-08-29 09:30:00	644.0	2025-09-03 13:30:00
SPY	4h	4.96	2025-10-07 09:30:00	668.99	2025-10-20 09:30:00
SPY	4h	4.93	2025-10-09 09:30:00	669.47	2025-10-20 09:30:00
SH	1h	3.27	2024-12-16 09:30:00	41.69	2024-12-17 09:30:00
SH	1h	3.28	2024-12-18 09:30:00	41.78	2024-12-18 13:30:00
SH	1h	3.16	2025-01-13 12:30:00	42.93	2025-01-14 10:30:00
SH	1h	3.56	2025-02-12 11:30:00	41.43	2025-02-20 09:30:00
SH	1h	3.19	2025-02-12 15:30:00	41.46	2025-02-20 09:30:00
SH	1h	3.37	2025-02-28 14:30:00	42.56	2025-03-03 12:30:00
SH	1h	3.61	2025-03-07 12:30:00	43.87	2025-03-10 09:30:00
SH	1h	3.34	2025-03-14 09:30:00	45.11	2025-03-18 10:30:00
SH	1h	3.41	2025-11-21 11:30:00	37.58	2025-11-21 12:30:00
SH	2h	3.79	2024-12-18 09:30:00	41.76	2024-12-18 13:30:00
SH	2h	3.63	2025-01-13 15:30:00	42.8	2025-01-27 09:30:00
SH	2h	3.93	2025-02-13 09:30:00	41.24	2025-02-20 11:30:00
SH	2h	3.98	2025-03-14 09:30:00	44.76	2025-03-18 09:30:00
SH	3h	4.41	2025-09-03 15:30:00	38.58	2025-10-10 09:30:00
TQQQ	1h	3.57	2024-12-12 09:30:00	44.16	2024-12-13 09:30:00
TQQQ	1h	3.73	2025-05-01 15:30:00	28.4	2025-05-08 09:30:00
TQQQ	1h	3.25	2025-05-02 15:30:00	29.73	2025-05-08 09:30:00
TQQQ	1h	3.87	2025-05-08 15:30:00	29.56	2025-05-09 14:30:00
TQQQ	1h	3.26	2025-05-28 14:30:00	35.43	2025-05-29 09:30:00
TQQQ	1h	3.58	2025-05-29 11:30:00	35.28	2025-06-02 11:30:00
TQQQ	1h	3.29	2025-06-04 11:30:00	36.76	2025-06-06 09:30:00
TQQQ	1h	3.26	2025-06-04 15:30:00	36.94	2025-06-06 09:30:00
TQQQ	1h	3.63	2025-06-05 12:30:00	37.03	2025-06-06 09:30:00
TQQQ	1h	3.41	2025-06-11 11:30:00	38.08	2025-06-12 11:30:00
TQQQ	1h	3.98	2025-06-11 13:30:00	37.43	2025-06-12 11:30:00
TQQQ	1h	3.4	2025-07-07 09:30:00	41.76	2025-07-08 11:30:00
TQQQ	1h	3.46	2025-07-15 14:30:00	42.61	2025-07-17 09:30:00
TQQQ	1h	3.15	2025-07-25 14:30:00	44.58	2025-07-30 09:30:00
TQQQ	1h	3.25	2025-07-28 12:30:00	44.75	2025-07-30 09:30:00
TQQQ	1h	3.76	2025-07-31 12:30:00	44.69	2025-08-04 15:30:00
TQQQ	1h	3.24	2025-09-10 11:30:00	47.24	2025-09-10 15:30:00
