ticker	interval	score	signal_date	signal_price	breakthrough_date
三一重工 (600031.SS)	30m	2.61	2025-09-25 13:00:00	22.16	
长城汽车 (601633.SS)	15m	2.18	2025-09-25 13:00:00	24.48	
三安光电 (600703.SS)	5m	1.42	2025-09-25 13:00:00	15.61	
药明康德 (603259.SS)	5m	1.0	2025-09-25 11:30:00	108.21	
博苑股份 (301617.SZ)	10m	1.74	2025-09-25 11:20:00	78.88	
海光信息 (688041.SS)	15m	2.12	2025-09-25 11:00:00	269.2	
海光信息 (688041.SS)	10m	1.62	2025-09-25 10:50:00	269.58	
中国中铁 (601390.SS)	10m	1.59	2025-09-25 10:50:00	5.5	
中信证券 (600030.SS)	5m	1.13	2025-09-25 10:40:00	28.75	2025-09-25 10:55:00
中国中铁 (601390.SS)	10m	1.84	2025-09-25 10:00:00	5.5	
中国中铁 (601390.SS)	5m	1.23	2025-09-25 10:00:00	5.51	
盐湖股份 (000792.SZ)	5m	1.34	2025-09-25 09:55:00	19.7	2025-09-25 10:30:00
药明康德 (603259.SS)	5m	1.47	2025-09-25 09:55:00	106.23	
申万宏源 (000166.SZ)	10m	1.71	2025-09-25 09:50:00	5.19	2025-09-25 11:10:00
中文在线 (300364.SZ)	5m	1.57	2025-09-25 09:45:00	26.82	
药明康德 (603259.SS)	5m	1.55	2025-09-25 09:45:00	106.01	
金山办公 (688111.SS)	5m	1.45	2025-09-25 09:45:00	313.47	
中国船舶 (600150.SS)	5m	1.45	2025-09-25 09:30:00	34.96	2025-09-25 11:25:00
申万宏源 (000166.SZ)	10m	1.71	2025-09-25 09:30:00	5.18	2025-09-25 09:40:00
韦尔股份 (603501.SS)	30m	3.16	2025-09-25 09:30:00	147.4	
三一重工 (600031.SS)	30m	3.08	2025-09-25 09:30:00	22.08	
中国神华 (601088.SS)	15m	2.79	2025-09-25 09:30:00	38.51	
中国神华 (601088.SS)	10m	2.4	2025-09-25 09:30:00	38.54	
银河电子 (002519.SZ)	5m	1.58	2025-09-25 09:30:00	4.69	
中国船舶 (600150.SS)	5m	1.25	2025-09-24 14:45:00	35.18	2025-09-25 11:25:00
三一重工 (600031.SS)	15m	2.19	2025-09-24 14:45:00	22.23	2025-09-25 10:45:00
中国移动 (600941.SS)	5m	1.39	2025-09-24 14:40:00	106.56	2025-09-25 13:05:00
中国移动 (600941.SS)	10m	1.83	2025-09-24 14:40:00	106.56	
银河电子 (002519.SZ)	5m	1.04	2025-09-24 14:35:00	4.72	2025-09-24 14:45:00
万华化学 (600309.SS)	5m	1.23	2025-09-24 14:30:00	63.49	2025-09-25 13:05:00
中国移动 (600941.SS)	5m	1.2	2025-09-24 14:30:00	106.57	2025-09-25 13:05:00
中国船舶 (600150.SS)	5m	1.16	2025-09-24 14:25:00	35.15	2025-09-24 14:30:00
