ticker	interval	score	signal_date	signal_price	breakthrough_date
工业富联 (601138.SS)	5m	1.02	2025-09-25 13:15:00	69.0	
海光信息 (688041.SS)	10m	1.89	2025-09-25 13:10:00	270.65	
中国海油 (600938.SS)	5m	1.21	2025-09-25 13:10:00	26.61	
广汽集团 (601238.SS)	5m	1.22	2025-09-25 13:05:00	7.6	2025-09-25 13:15:00
华润微 (688396.SS)	5m	1.41	2025-09-25 13:05:00	54.97	
红塔证券 (601236.SS)	5m	1.44	2025-09-25 13:00:00	8.72	2025-09-25 13:05:00
联影医疗 (688271.SS)	5m	1.29	2025-09-25 13:00:00	148.08	2025-09-25 13:05:00
宁德时代 (300750.SZ)	30m	4.08	2025-09-25 13:00:00	393.78	
恩捷股份 (002812.SZ)	30m	4.07	2025-09-25 13:00:00	46.88	
蓝思科技 (300433.SZ)	30m	4.06	2025-09-25 13:00:00	33.63	
德赛西威 (002920.SZ)	30m	3.48	2025-09-25 13:00:00	148.25	
大华股份 (002236.SZ)	30m	3.4	2025-09-25 13:00:00	21.12	
闻泰科技 (600745.SS)	30m	3.13	2025-09-25 13:00:00	49.6	
闻泰科技 (600745.SS)	15m	2.72	2025-09-25 13:00:00	49.6	
三一重工 (600031.SS)	30m	2.71	2025-09-25 13:00:00	22.11	
华润微 (688396.SS)	15m	2.61	2025-09-25 13:00:00	54.63	
海光信息 (688041.SS)	15m	2.55	2025-09-25 13:00:00	270.98	
长城汽车 (601633.SS)	15m	2.4	2025-09-25 13:00:00	24.38	
百利天恒 (688506.SS)	15m	2.23	2025-09-25 13:00:00	377.91	
华润微 (688396.SS)	10m	1.97	2025-09-25 13:00:00	54.97	
方正证券 (601901.SS)	10m	1.95	2025-09-25 13:00:00	8.03	
中国巨石 (600176.SS)	10m	1.75	2025-09-25 13:00:00	16.48	
方正证券 (601901.SS)	5m	1.67	2025-09-25 13:00:00	8.02	
璞泰来 (603659.SS)	5m	1.49	2025-09-25 13:00:00	28.25	
歌尔股份 (002241.SZ)	15m	2.0	2025-09-25 12:30:00	36.08	
汇川技术 (300124.SZ)	10m	1.5	2025-09-25 12:20:00	87.01	
卓胜微 (300782.SZ)	10m	1.5	2025-09-25 12:20:00	82.99	
阳光电源 (300274.SZ)	15m	2.0	2025-09-25 12:15:00	159.52	
纳思达 (002180.SZ)	10m	1.5	2025-09-25 12:10:00	23.03	
金龙鱼 (300999.SZ)	10m	1.5	2025-09-25 12:10:00	31.75	
立讯精密 (002475.SZ)	30m	2.5	2025-09-25 12:00:00	69.42	
纳思达 (002180.SZ)	5m	1.0	2025-09-25 12:00:00	23.03	
东方雨虹 (002271.SZ)	5m	1.0	2025-09-25 11:55:00	12.32	2025-09-25 13:05:00
紫光股份 (000938.SZ)	10m	1.5	2025-09-25 11:50:00	31.85	
歌尔股份 (002241.SZ)	10m	1.5	2025-09-25 11:50:00	36.08	
阳光电源 (300274.SZ)	10m	1.5	2025-09-25 11:50:00	159.52	
北新建材 (000786.SZ)	5m	1.0	2025-09-25 11:50:00	24.28	
芒果超媒 (300413.SZ)	5m	1.0	2025-09-25 11:45:00	34.16	2025-09-25 13:05:00
TCL科技 (000100.SZ)	5m	1.0	2025-09-25 11:40:00	4.48	
长春高新 (000661.SZ)	5m	1.0	2025-09-25 11:40:00	122.54	
新 和 成 (002001.SZ)	5m	1.0	2025-09-25 11:35:00	23.8	
华友钴业 (603799.SS)	10m	1.5	2025-09-25 11:30:00	56.23	
中国海油 (600938.SS)	5m	1.0	2025-09-25 11:30:00	26.63	
药明康德 (603259.SS)	5m	1.0	2025-09-25 11:30:00	108.21	
阳光电源 (300274.SZ)	5m	1.25	2025-09-25 11:25:00	159.5	2025-09-25 13:05:00
卫星化学 (002648.SZ)	5m	1.24	2025-09-25 11:25:00	19.02	
华友钴业 (603799.SS)	5m	1.24	2025-09-25 11:25:00	56.26	
爱美客 (300896.SZ)	10m	1.65	2025-09-25 11:20:00	180.85	
科大讯飞 (002230.SZ)	10m	1.57	2025-09-25 11:20:00	56.11	
江西铜业 (600362.SS)	5m	1.21	2025-09-25 11:20:00	30.51	
中际旭创 (300308.SZ)	15m	2.15	2025-09-25 11:15:00	428.0	2025-09-25 13:00:00
中金黄金 (600489.SS)	15m	2.36	2025-09-25 11:15:00	20.57	
欧派家居 (603833.SS)	5m	1.21	2025-09-25 11:15:00	54.41	
龙佰集团 (002601.SZ)	5m	1.09	2025-09-25 11:15:00	19.18	
中际旭创 (300308.SZ)	10m	1.94	2025-09-25 11:10:00	426.9	2025-09-25 13:00:00
天孚通信 (300394.SZ)	10m	1.84	2025-09-25 11:10:00	182.83	2025-09-25 13:00:00
金龙鱼 (300999.SZ)	10m	1.69	2025-09-25 11:10:00	31.69	
纳思达 (002180.SZ)	10m	1.67	2025-09-25 11:10:00	22.94	
中金黄金 (600489.SS)	5m	1.23	2025-09-25 11:10:00	20.7	
士兰微 (600460.SS)	5m	1.09	2025-09-25 11:10:00	31.48	
天孚通信 (300394.SZ)	5m	1.18	2025-09-25 11:05:00	184.49	2025-09-25 13:00:00
立讯精密 (002475.SZ)	15m	2.16	2025-09-25 11:00:00	69.13	
海光信息 (688041.SS)	15m	2.12	2025-09-25 11:00:00	269.2	
百利天恒 (688506.SS)	15m	2.11	2025-09-25 11:00:00	376.78	
长电科技 (600584.SS)	5m	1.08	2025-09-25 11:00:00	42.58	
紫光股份 (000938.SZ)	5m	1.18	2025-09-25 10:55:00	31.66	2025-09-25 13:05:00
闻泰科技 (600745.SS)	5m	1.13	2025-09-25 10:55:00	49.97	
国泰海通 (601211.SS)	5m	1.18	2025-09-25 10:50:00	18.83	2025-09-25 13:15:00
爱尔眼科 (300015.SZ)	5m	1.15	2025-09-25 10:50:00	12.49	2025-09-25 11:00:00
立讯精密 (002475.SZ)	10m	1.82	2025-09-25 10:50:00	69.35	
科大讯飞 (002230.SZ)	10m	1.71	2025-09-25 10:50:00	55.98	
智飞生物 (300122.SZ)	10m	1.69	2025-09-25 10:50:00	21.19	
中科曙光 (603019.SS)	10m	1.69	2025-09-25 10:50:00	122.02	
爱尔眼科 (300015.SZ)	10m	1.67	2025-09-25 10:50:00	12.49	
海光信息 (688041.SS)	10m	1.62	2025-09-25 10:50:00	269.58	
中国巨石 (600176.SS)	10m	1.6	2025-09-25 10:50:00	16.47	
中国中铁 (601390.SS)	10m	1.59	2025-09-25 10:50:00	5.5	
东方证券 (600958.SS)	5m	1.22	2025-09-25 10:50:00	10.66	
纳思达 (002180.SZ)	15m	2.11	2025-09-25 10:45:00	22.94	
科大讯飞 (002230.SZ)	15m	2.1	2025-09-25 10:45:00	55.98	
阳光电源 (300274.SZ)	5m	1.22	2025-09-25 10:40:00	156.13	2025-09-25 13:05:00
科大讯飞 (002230.SZ)	5m	1.28	2025-09-25 10:40:00	56.01	2025-09-25 11:10:00
纳思达 (002180.SZ)	5m	1.28	2025-09-25 10:40:00	22.94	2025-09-25 11:00:00
中信证券 (600030.SS)	5m	1.13	2025-09-25 10:40:00	28.75	2025-09-25 10:55:00
阳光电源 (300274.SZ)	10m	1.77	2025-09-25 10:40:00	155.7	
纳思达 (002180.SZ)	10m	1.68	2025-09-25 10:40:00	22.94	
三六零 (601360.SS)	10m	1.64	2025-09-25 10:40:00	11.62	
TCL科技 (000100.SZ)	5m	1.25	2025-09-25 10:40:00	4.45	
欧派家居 (603833.SS)	5m	1.14	2025-09-25 10:40:00	54.34	
东方财富 (300059.SZ)	5m	1.12	2025-09-25 10:40:00	26.68	
阿特斯 (688472.SS)	5m	1.1	2025-09-25 10:40:00	12.54	
中国动力 (600482.SS)	5m	1.14	2025-09-25 10:35:00	21.59	2025-09-25 11:25:00
三六零 (601360.SS)	5m	1.13	2025-09-25 10:35:00	11.64	2025-09-25 11:20:00
阳光电源 (300274.SZ)	5m	1.39	2025-09-25 10:30:00	155.81	2025-09-25 13:05:00
新华保险 (601336.SS)	15m	2.27	2025-09-25 10:30:00	59.36	
TCL科技 (000100.SZ)	5m	1.08	2025-09-25 10:30:00	4.45	
阿特斯 (688472.SS)	5m	1.28	2025-09-25 10:25:00	12.49	
东方证券 (600958.SS)	5m	1.13	2025-09-25 10:25:00	10.63	
泰格医药 (300347.SZ)	5m	1.19	2025-09-25 10:15:00	61.45	2025-09-25 10:35:00
长电科技 (600584.SS)	5m	1.26	2025-09-25 10:10:00	41.52	2025-09-25 10:20:00
立讯精密 (002475.SZ)	10m	1.7	2025-09-25 10:10:00	69.08	
先导智能 (300450.SZ)	5m	1.37	2025-09-25 10:05:00	68.16	2025-09-25 10:30:00
欧派家居 (603833.SS)	5m	1.11	2025-09-25 10:05:00	54.23	2025-09-25 10:10:00
赣锋锂业 (002460.SZ)	5m	1.34	2025-09-25 10:05:00	56.77	
闻泰科技 (600745.SS)	5m	1.19	2025-09-25 10:05:00	49.29	
阿特斯 (688472.SS)	5m	1.16	2025-09-25 10:05:00	12.46	
智飞生物 (300122.SZ)	10m	1.78	2025-09-25 10:00:00	21.18	2025-09-25 10:30:00
华利集团 (300979.SZ)	5m	1.16	2025-09-25 10:00:00	54.37	2025-09-25 10:30:00
中信特钢 (000708.SZ)	5m	1.35	2025-09-25 10:00:00	12.81	2025-09-25 10:25:00
国信证券 (002736.SZ)	10m	1.62	2025-09-25 10:00:00	13.29	2025-09-25 10:10:00
中国中铁 (601390.SS)	10m	1.84	2025-09-25 10:00:00	5.5	
中国化学 (601117.SS)	10m	1.82	2025-09-25 10:00:00	7.37	
巨化股份 (600160.SS)	10m	1.7	2025-09-25 10:00:00	36.71	
中国中铁 (601390.SS)	5m	1.23	2025-09-25 10:00:00	5.51	
北新建材 (000786.SZ)	5m	1.19	2025-09-25 09:55:00	24.21	2025-09-25 11:05:00
恒力石化 (600346.SS)	5m	1.17	2025-09-25 09:55:00	16.24	2025-09-25 11:05:00
春秋航空 (601021.SS)	5m	1.39	2025-09-25 09:55:00	52.31	2025-09-25 10:50:00
泰格医药 (300347.SZ)	5m	1.42	2025-09-25 09:55:00	61.39	2025-09-25 10:35:00
智飞生物 (300122.SZ)	5m	1.39	2025-09-25 09:55:00	21.23	2025-09-25 10:35:00
盐湖股份 (000792.SZ)	5m	1.34	2025-09-25 09:55:00	19.7	2025-09-25 10:30:00
中信建投 (601066.SS)	5m	1.2	2025-09-25 09:55:00	25.98	2025-09-25 10:10:00
巨化股份 (600160.SS)	5m	1.19	2025-09-25 09:55:00	36.75	2025-09-25 10:10:00
广发证券 (000776.SZ)	5m	1.15	2025-09-25 09:55:00	20.74	2025-09-25 10:10:00
药明康德 (603259.SS)	5m	1.47	2025-09-25 09:55:00	106.23	
TCL科技 (000100.SZ)	10m	1.76	2025-09-25 09:50:00	4.42	2025-09-25 13:10:00
芒果超媒 (300413.SZ)	5m	1.24	2025-09-25 09:50:00	32.6	2025-09-25 13:05:00
申万宏源 (000166.SZ)	10m	1.71	2025-09-25 09:50:00	5.19	2025-09-25 11:10:00
宝丰能源 (600989.SS)	10m	1.89	2025-09-25 09:50:00	16.7	2025-09-25 11:00:00
正泰电器 (601877.SS)	10m	1.86	2025-09-25 09:50:00	28.33	2025-09-25 10:10:00
新华保险 (601336.SS)	10m	1.74	2025-09-25 09:50:00	59.39	2025-09-25 10:10:00
立讯精密 (002475.SZ)	10m	2.14	2025-09-25 09:50:00	68.76	
中国巨石 (600176.SS)	10m	2.09	2025-09-25 09:50:00	16.28	
闻泰科技 (600745.SS)	10m	1.77	2025-09-25 09:50:00	49.13	
爱尔眼科 (300015.SZ)	10m	1.75	2025-09-25 09:50:00	12.47	
中国电建 (601669.SS)	5m	1.52	2025-09-25 09:50:00	5.56	
中兴通讯 (000063.SZ)	5m	2.08	2025-09-25 09:45:00	44.28	2025-09-25 13:05:00
阳光电源 (300274.SZ)	5m	1.53	2025-09-25 09:45:00	153.87	2025-09-25 13:05:00
东鹏饮料 (605499.SS)	5m	1.42	2025-09-25 09:45:00	290.11	2025-09-25 10:50:00
中油资本 (000617.SZ)	5m	1.38	2025-09-25 09:45:00	10.41	2025-09-25 10:25:00
