ticker	date	intervals	signal_price	current_price	current_time	nx_1d_signal	nx_30m_signal	nx_1d	nx_1h	nx_30m
韦尔股份 (603501.SS)	2025-09-23	2,3,4	140.13	151.82	2025-09-25 00:00:00	True	True	True	True	True
中国中免 (601888.SS)	2025-09-19	1,2,3	71.68	69.72	2025-09-25 00:00:00	True	True	True	True	False
韦尔股份 (603501.SS)	2025-09-19	2,3,4	142.5	151.82	2025-09-25 00:00:00	True	True	True	True	True
山西汾酒 (600809.SS)	2025-09-17	2,3,4	203.48	193.92	2025-09-25 00:00:00	True	True	True	False	False
山西汾酒 (600809.SS)	2025-09-16	2,3,4	206.9	193.92	2025-09-25 00:00:00	True	True	True	False	False
山西汾酒 (600809.SS)	2025-09-15	2,3,4	207.83	193.92	2025-09-25 00:00:00	True	True	True	False	False
海尔智家 (600690.SS)	2025-09-12	1,2,3	26.51	25.33	2025-09-25 00:00:00	True	True	True	False	False
山西汾酒 (600809.SS)	2025-09-12	2,3,4	206.28	193.92	2025-09-25 00:00:00	True	True	True	False	False
海尔智家 (600690.SS)	2025-09-11	1,2,3	26.4	25.33	2025-09-25 00:00:00	True	True	True	False	False
农业银行 (601288.SS)	2025-09-09	1,2,3,4	7.32	6.46	2025-09-25 00:00:00	True	True	True	False	False
中国船舶 (600150.SS)	2025-09-08	2,3,4	38.27	34.91	2025-09-25 00:00:00	True	True	True	False	False
农业银行 (601288.SS)	2025-09-08	1,2,3,4	7.28	6.46	2025-09-25 00:00:00	True	True	True	False	False
邮储银行 (601658.SS)	2025-09-05	2,3,4	6.2	5.91	2025-09-25 00:00:00	True	True	True	False	False
山东矿机 (002526.SZ)	2025-09-04	1,2,3,4	4.06	3.88	2025-09-25 00:00:00	True	True	True	False	False
通威股份 (600438.SS)	2025-09-03	1,2,3,4	21.95	22.17	2025-09-25 00:00:00	True	True	True	False	False
贵州茅台 (600519.SS)	2025-09-03	1,2,3,4	1472.32	1439.56	2025-09-25 00:00:00	False	True	True	False	False
盐湖股份 (000792.SZ)	2025-09-02	2,3,4	19.69	19.7	2025-09-25 00:00:00	True	True	True	False	False
通威股份 (600438.SS)	2025-09-02	1,2,3,4	21.75	22.17	2025-09-25 00:00:00	True	True	True	False	False
隆基绿能 (601012.SS)	2025-09-02	1,2,4	16.69	17.75	2025-09-25 00:00:00	True	True	True	True	True
通威股份 (600438.SS)	2025-09-01	1,2,3,4	21.35	22.17	2025-09-25 00:00:00	True	True	True	False	False
隆基绿能 (601012.SS)	2025-09-01	1,2,4	16.87	17.75	2025-09-25 00:00:00	True	True	True	True	True
金山办公 (688111.SS)	2025-09-01	2,3,4	330.62	322.21	2025-09-25 00:00:00	True	True	True	True	True
中微公司 (688012.SS)	2025-08-29	2,3,4	213.22	294.23	2025-09-25 00:00:00	True	True	True	True	True
金山办公 (688111.SS)	2025-08-29	2,3,4	331.03	322.21	2025-09-25 00:00:00	True	True	True	True	True
金山办公 (688111.SS)	2025-08-28	2,3,4	320.5	322.21	2025-09-25 00:00:00	True	True	True	True	True
盐湖股份 (000792.SZ)	2025-08-27	1,2,3,4	19.42	19.7	2025-09-25 00:00:00	True	True	True	False	False
三一重工 (600031.SS)	2025-08-27	1,2,3,4	21.3	22.16	2025-09-25 00:00:00	True	True	True	True	True
恒瑞医药 (600276.SS)	2025-08-27	2,3,4	64.51	72.54	2025-09-25 00:00:00	True	True	True	True	True
中国中免 (601888.SS)	2025-08-27	2,3,4	68.69	69.72	2025-09-25 00:00:00	True	True	True	True	False
药明康德 (603259.SS)	2025-08-27	2,3,4	95.5	108.11	2025-09-25 00:00:00	True	True	True	True	True
申万宏源 (000166.SZ)	2025-08-26	1,2,3,4	5.67	5.18	2025-09-25 00:00:00	True	True	True	False	False
财达证券 (600906.SS)	2025-08-26	1,2,3,4	7.84	7.13	2025-09-25 00:00:00	True	True	True	False	False
陕西煤业 (601225.SS)	2025-08-26	1,2,3,4	21.88	20.38	2025-09-25 00:00:00	True	True	True	True	True
邮储银行 (601658.SS)	2025-08-26	1,2,3	6.28	5.91	2025-09-25 00:00:00	True	True	True	False	False
申万宏源 (000166.SZ)	2025-08-25	1,3,4	5.66	5.18	2025-09-25 00:00:00	True	True	True	False	False
邮储银行 (601658.SS)	2025-08-25	1,2,3	6.17	5.91	2025-09-25 00:00:00	True	True	True	False	False
申万宏源 (000166.SZ)	2025-08-21	2,3,4	5.54	5.18	2025-09-25 00:00:00	True	True	True	False	False
山西汾酒 (600809.SS)	2025-08-21	2,3,4	194.41	193.92	2025-09-25 00:00:00	True	True	True	False	False
中国人寿 (601628.SS)	2025-08-21	2,3,4	42.07	38.03	2025-09-25 00:00:00	True	True	False	False	False
申万宏源 (000166.SZ)	2025-08-19	2,3,4	5.53	5.18	2025-09-25 00:00:00	True	True	True	False	False
中国人寿 (601628.SS)	2025-08-19	2,3,4	41.87	38.03	2025-09-25 00:00:00	True	True	False	False	False
紫金矿业 (601899.SS)	2025-08-18	2,3,4	21.12	27.35	2025-09-25 00:00:00	True	True	True	True	True
三安光电 (600703.SS)	2025-08-14	2,3,4	12.85	15.71	2025-09-25 00:00:00	True	True	True	True	True
盐湖股份 (000792.SZ)	2025-08-13	2,3,4	19.32	19.7	2025-09-25 00:00:00	True	True	True	False	False
陕西煤业 (601225.SS)	2025-08-12	1,2,4	21.84	20.38	2025-09-25 00:00:00	True	True	True	True	True
紫金矿业 (601899.SS)	2025-08-12	1,2,3,4	20.32	27.35	2025-09-25 00:00:00	True	True	True	True	True
华明装备 (002270.SZ)	2025-08-11	1,2,3,4	18.28	19.52	2025-09-25 00:00:00	True	True	True	True	True
陕西煤业 (601225.SS)	2025-08-11	1,2,4	21.53	20.38	2025-09-25 00:00:00	True	True	True	True	True
紫金矿业 (601899.SS)	2025-08-11	1,2,3,4	20.26	27.35	2025-09-25 00:00:00	True	True	True	True	True
华明装备 (002270.SZ)	2025-08-08	1,2,3,4	18.1	19.52	2025-09-25 00:00:00	True	True	True	True	True
三安光电 (600703.SS)	2025-08-08	1,2,3	12.63	15.71	2025-09-25 00:00:00	True	True	True	True	True
万华化学 (600309.SS)	2025-07-31	1,3,4	62.54	64.85	2025-09-25 00:00:00	True	True	True	False	False
中国人寿 (601628.SS)	2025-07-31	2,3,4	41.04	38.03	2025-09-25 00:00:00	True	True	False	False	False
财达证券 (600906.SS)	2025-07-29	1,2,3,4	7.28	7.13	2025-09-25 00:00:00	True	True	True	False	False
财达证券 (600906.SS)	2025-07-28	1,2,3,4	7.33	7.13	2025-09-25 00:00:00	True	True	True	False	False
财达证券 (600906.SS)	2025-07-25	1,2,4	7.35	7.13	2025-09-25 00:00:00	True	True	True	False	False
隆基绿能 (601012.SS)	2025-07-25	1,2,3,4	16.71	17.75	2025-09-25 00:00:00	True	True	True	True	True
中国平安 (601318.SS)	2025-07-25	1,2,4	58.09	55.27	2025-09-25 00:00:00	True	True	True	False	False
紫金矿业 (601899.SS)	2025-07-25	1,2,3,4	19.93	27.35	2025-09-25 00:00:00	True	True	True	True	True
中国核电 (601985.SS)	2025-07-25	2,3,4	9.35	8.5	2025-09-25 00:00:00	False	False	False	False	False
中国船舶 (600150.SS)	2025-07-16	2,3,4	33.8	34.91	2025-09-25 00:00:00	True	True	True	False	False
盐湖股份 (000792.SZ)	2025-07-15	1,2,4	17.43	19.7	2025-09-25 00:00:00	True	True	True	False	False
山东矿机 (002526.SZ)	2025-07-15	1,2,3,4	3.83	3.88	2025-09-25 00:00:00	True	False	True	False	False
中国平安 (601318.SS)	2025-07-15	1,3,4	57.27	55.27	2025-09-25 00:00:00	True	True	True	False	False
