ticker	date	intervals	signal_price	current_price	current_time	nx_1d_signal	nx_30m_signal	nx_1d	nx_1h	nx_30m
徐工机械 (000425.SZ)	2025-09-25	2,3,4	10.32	10.32	2025-09-25 00:00:00	True	True	True	True	True
宇通客车 (600066.SS)	2025-09-25	1,2,4	28.51	28.51	2025-09-25 00:00:00	True	True	True	True	True
兆易创新 (603986.SS)	2025-09-25	1,2,3	200.5	200.5	2025-09-25 00:00:00	True	True	True	True	True
徐工机械 (000425.SZ)	2025-09-24	2,3,4	10.34	10.32	2025-09-25 00:00:00	True	True	True	True	True
深南电路 (002916.SZ)	2025-09-24	2,3,4	210.95	210.61	2025-09-25 00:00:00	True	True	True	True	True
三环集团 (300408.SZ)	2025-09-24	2,3,4	48.05	47.47	2025-09-25 00:00:00	True	True	True	True	True
生益科技 (600183.SS)	2025-09-24	2,3,4	56.25	57.35	2025-09-25 00:00:00	True	True	True	True	True
兖矿能源 (600188.SS)	2025-09-24	1,2,3,4	13.63	13.71	2025-09-25 00:00:00	True	True	True	True	True
潞安环能 (601699.SS)	2025-09-24	1,3,4	14.4	14.47	2025-09-25 00:00:00	True	True	True	True	True
徐工机械 (000425.SZ)	2025-09-23	2,3,4	10.22	10.32	2025-09-25 00:00:00	True	True	True	True	True
紫光股份 (000938.SZ)	2025-09-23	2,3,4	29.02	31.84	2025-09-25 00:00:00	True	True	True	True	True
大华股份 (002236.SZ)	2025-09-23	2,3,4	19.48	21.12	2025-09-25 00:00:00	True	True	True	True	True
蓝思科技 (300433.SZ)	2025-09-23	1,2,3,4	31.91	33.63	2025-09-25 00:00:00	True	True	True	True	True
华勤技术 (603296.SS)	2025-09-23	1,2,3	96.26	109.35	2025-09-25 00:00:00	True	True	True	True	True
韦尔股份 (603501.SS)	2025-09-23	2,3,4	140.13	151.39	2025-09-25 00:00:00	True	True	True	True	True
澜起科技 (688008.SS)	2025-09-23	1,3,4	122.84	134.86	2025-09-25 00:00:00	True	True	True	True	True
赣锋锂业 (002460.SZ)	2025-09-22	1,2,3	51.35	57.35	2025-09-25 00:00:00	True	True	True	True	True
龙佰集团 (002601.SZ)	2025-09-22	2,3,4	19.17	18.99	2025-09-25 00:00:00	True	True	True	True	False
亿联网络 (300628.SZ)	2025-09-22	1,2,3,4	38.19	38.71	2025-09-25 00:00:00	True	False	True	True	True
兖矿能源 (600188.SS)	2025-09-22	2,3,4	13.43	13.71	2025-09-25 00:00:00	True	True	True	True	True
圆通速递 (600233.SS)	2025-09-22	1,3,4	19.3	18.68	2025-09-25 00:00:00	True	True	True	True	True
春秋航空 (601021.SS)	2025-09-22	1,2,3	53.58	52.22	2025-09-25 00:00:00	False	True	False	False	False
沪电股份 (002463.SZ)	2025-09-19	1,2,3,4	75.79	75.25	2025-09-25 00:00:00	True	True	True	True	True
恒立液压 (601100.SS)	2025-09-19	2,3,4	93.78	93.97	2025-09-25 00:00:00	True	True	True	True	True
中国中免 (601888.SS)	2025-09-19	1,2,3	71.68	69.69	2025-09-25 00:00:00	True	True	True	True	False
韦尔股份 (603501.SS)	2025-09-19	2,3,4	142.5	151.39	2025-09-25 00:00:00	True	True	True	True	True
铜陵有色 (000630.SZ)	2025-09-18	2,3,4	4.44	4.69	2025-09-25 00:00:00	True	False	True	True	True
思源电气 (002028.SZ)	2025-09-18	2,3,4	96.09	101.36	2025-09-25 00:00:00	True	True	True	True	True
三七互娱 (002555.SZ)	2025-09-18	1,3,4	23.2	23.4	2025-09-25 00:00:00	True	True	True	True	True
龙佰集团 (002601.SZ)	2025-09-18	2,3,4	19.37	18.99	2025-09-25 00:00:00	True	True	True	True	False
亿联网络 (300628.SZ)	2025-09-18	1,2,3,4	39.24	38.71	2025-09-25 00:00:00	True	True	True	True	True
南方航空 (600029.SS)	2025-09-18	1,2,3,4	6.05	5.94	2025-09-25 00:00:00	True	True	True	False	False
中国东航 (600115.SS)	2025-09-18	2,3,4	4.04	4.06	2025-09-25 00:00:00	True	True	True	False	False
兖矿能源 (600188.SS)	2025-09-18	1,2,3,4	13.17	13.71	2025-09-25 00:00:00	True	True	True	True	True
圆通速递 (600233.SS)	2025-09-18	2,3,4	18.72	18.68	2025-09-25 00:00:00	True	True	True	True	True
福耀玻璃 (600660.SS)	2025-09-18	1,2,3,4	73.06	72.43	2025-09-25 00:00:00	True	True	True	True	True
信达证券 (601059.SS)	2025-09-18	2,3,4	19.41	18.66	2025-09-25 00:00:00	True	True	True	False	False
工业富联 (601138.SS)	2025-09-18	1,3,4	64.34	69.0	2025-09-25 00:00:00	True	True	True	True	True
兆易创新 (603986.SS)	2025-09-18	2,3,4	190.88	200.5	2025-09-25 00:00:00	True	True	True	True	True
沪电股份 (002463.SZ)	2025-09-17	1,2,3,4	70.9	75.25	2025-09-25 00:00:00	True	True	True	True	True
山西汾酒 (600809.SS)	2025-09-17	2,3,4	203.48	193.32	2025-09-25 00:00:00	True	True	True	False	False
中国中冶 (601618.SS)	2025-09-17	1,2,3,4	3.47	3.45	2025-09-25 00:00:00	True	True	True	False	False
兆易创新 (603986.SS)	2025-09-17	2,3,4	186.41	200.5	2025-09-25 00:00:00	True	True	True	True	True
藏格矿业 (000408.SZ)	2025-09-16	1,2,3,4	55.17	55.38	2025-09-25 00:00:00	True	True	True	False	False
铜陵有色 (000630.SZ)	2025-09-16	2,3,4	4.55	4.69	2025-09-25 00:00:00	True	True	True	True	True
招商蛇口 (001979.SZ)	2025-09-16	1,3,4	9.54	9.58	2025-09-25 00:00:00	True	True	True	True	True
三七互娱 (002555.SZ)	2025-09-16	1,3,4	22.55	23.4	2025-09-25 00:00:00	True	True	True	True	True
牧原股份 (002714.SZ)	2025-09-16	1,2,3,4	56.81	52.88	2025-09-25 00:00:00	True	True	True	False	False
圆通速递 (600233.SS)	2025-09-16	2,3,4	19.18	18.68	2025-09-25 00:00:00	True	True	True	True	True
江西铜业 (600362.SS)	2025-09-16	1,2,3,4	29.99	30.44	2025-09-25 00:00:00	True	True	True	True	True
山西汾酒 (600809.SS)	2025-09-16	2,3,4	206.9	193.32	2025-09-25 00:00:00	True	True	True	False	False
工业富联 (601138.SS)	2025-09-16	1,2,3,4	58.92	69.0	2025-09-25 00:00:00	True	True	True	True	True
中国中冶 (601618.SS)	2025-09-16	1,2,3,4	3.47	3.45	2025-09-25 00:00:00	True	True	True	False	False
深南电路 (002916.SZ)	2025-09-15	1,2,3,4	189.12	210.61	2025-09-25 00:00:00	True	True	True	True	True
中际旭创 (300308.SZ)	2025-09-15	1,2,3,4	410.0	436.0	2025-09-25 00:00:00	True	True	True	True	True
山西汾酒 (600809.SS)	2025-09-15	2,3,4	207.83	193.32	2025-09-25 00:00:00	True	True	True	False	False
时代电气 (688187.SS)	2025-09-15	2,3,4	48.79	50.7	2025-09-25 00:00:00	True	True	True	True	True
泸州老窖 (000568.SZ)	2025-09-12	2,3,4	139.89	130.22	2025-09-25 00:00:00	True	True	True	False	False
古井贡酒 (000596.SZ)	2025-09-12	2,3,4	171.24	155.72	2025-09-25 00:00:00	True	True	True	False	False
爱美客 (300896.SZ)	2025-09-12	1,2,3,4	194.93	180.61	2025-09-25 00:00:00	True	True	True	False	False
浦发银行 (600000.SS)	2025-09-12	2,3,4	13.62	12.41	2025-09-25 00:00:00	True	True	True	False	False
南方航空 (600029.SS)	2025-09-12	2,3,4	6.06	5.94	2025-09-25 00:00:00	True	True	True	False	False
圆通速递 (600233.SS)	2025-09-12	2,3,4	18.41	18.68	2025-09-25 00:00:00	True	True	True	True	True
福耀玻璃 (600660.SS)	2025-09-12	1,2,3,4	71.28	72.43	2025-09-25 00:00:00	True	True	True	True	True
海尔智家 (600690.SS)	2025-09-12	1,2,3	26.51	25.28	2025-09-25 00:00:00	True	True	True	False	False
山西汾酒 (600809.SS)	2025-09-12	2,3,4	206.28	193.32	2025-09-25 00:00:00	True	True	True	False	False
联影医疗 (688271.SS)	2025-09-12	2,3,4	151.89	147.8	2025-09-25 00:00:00	True	True	True	False	False
泸州老窖 (000568.SZ)	2025-09-11	2,3,4	138.95	130.22	2025-09-25 00:00:00	True	True	True	False	False
南方航空 (600029.SS)	2025-09-11	2,3,4	6.03	5.94	2025-09-25 00:00:00	True	True	True	False	False
海尔智家 (600690.SS)	2025-09-11	1,2,3	26.4	25.28	2025-09-25 00:00:00	True	True	True	False	False
时代电气 (688187.SS)	2025-09-11	1,2,3	48.92	50.7	2025-09-25 00:00:00	True	True	True	True	True
东方盛虹 (000301.SZ)	2025-09-10	1,2,3,4	10.0	9.17	2025-09-25 00:00:00	True	True	True	False	False
立讯精密 (002475.SZ)	2025-09-10	1,2,3,4	48.08	68.93	2025-09-25 00:00:00	True	True	True	True	True
拓普集团 (601689.SS)	2025-09-10	1,2,4	69.19	76.85	2025-09-25 00:00:00	True	True	True	True	True
时代电气 (688187.SS)	2025-09-10	1,2,3	48.68	50.7	2025-09-25 00:00:00	True	True	True	True	True
联影医疗 (688271.SS)	2025-09-10	1,2,3,4	152.26	147.8	2025-09-25 00:00:00	True	True	True	False	False
立讯精密 (002475.SZ)	2025-09-09	1,2,3,4	47.71	68.93	2025-09-25 00:00:00	True	True	True	True	True
金龙鱼 (300999.SZ)	2025-09-09	2,3,4	33.61	31.6	2025-09-25 00:00:00	True	True	True	False	False
宝丰能源 (600989.SS)	2025-09-09	1,2,4	17.71	16.61	2025-09-25 00:00:00	True	True	True	False	False
农业银行 (601288.SS)	2025-09-09	1,2,3,4	7.32	6.48	2025-09-25 00:00:00	True	True	True	False	False
时代电气 (688187.SS)	2025-09-09	1,2,3	48.66	50.7	2025-09-25 00:00:00	True	True	True	True	True
中国船舶 (600150.SS)	2025-09-08	2,3,4	38.27	34.87	2025-09-25 00:00:00	True	True	True	False	False
农业银行 (601288.SS)	2025-09-08	1,2,3,4	7.28	6.48	2025-09-25 00:00:00	True	True	True	False	False
邮储银行 (601658.SS)	2025-09-05	2,3,4	6.2	5.91	2025-09-25 00:00:00	True	True	True	False	False
赣锋锂业 (002460.SZ)	2025-09-04	2,3,4	39.99	57.35	2025-09-25 00:00:00	True	True	True	True	True
工业富联 (601138.SS)	2025-09-04	2,3,4	51.15	69.0	2025-09-25 00:00:00	True	True	True	True	True
三花智控 (002050.SZ)	2025-09-03	1,2,3,4	31.15	44.13	2025-09-25 00:00:00	True	True	True	True	True
赣锋锂业 (002460.SZ)	2025-09-03	2,3,4	40.02	57.35	2025-09-25 00:00:00	True	True	True	True	True
昆仑万维 (300418.SZ)	2025-09-03	2,3,4	42.26	49.25	2025-09-25 00:00:00	True	True	True	True	True
中航机载 (600372.SS)	2025-09-03	1,2,3,4	12.21	12.02	2025-09-25 00:00:00	True	False	True	False	False
通威股份 (600438.SS)	2025-09-03	1,2,3,4	21.95	22.04	2025-09-25 00:00:00	True	True	True	False	False
贵州茅台 (600519.SS)	2025-09-03	1,2,3,4	1472.32	1437.3	2025-09-25 00:00:00	False	True	True	False	False
工业富联 (601138.SS)	2025-09-03	2,3,4	52.6	69.0	2025-09-25 00:00:00	True	True	True	True	True
拓普集团 (601689.SS)	2025-09-03	1,2,3,4	63.81	76.85	2025-09-25 00:00:00	True	True	True	True	True
铜陵有色 (000630.SZ)	2025-09-02	1,2,3,4	4.42	4.69	2025-09-25 00:00:00	True	True	True	True	True
盐湖股份 (000792.SZ)	2025-09-02	2,3,4	19.69	19.71	2025-09-25 00:00:00	True	True	True	False	False
赣锋锂业 (002460.SZ)	2025-09-02	2,3,4	39.87	57.35	2025-09-25 00:00:00	True	True	True	True	True
金龙鱼 (300999.SZ)	2025-09-02	2,3,4	33.23	31.6	2025-09-25 00:00:00	True	True	True	False	False
华大九天 (301269.SZ)	2025-09-02	1,2,3,4	124.06	127.67	2025-09-25 00:00:00	True	True	True	True	True
特变电工 (600089.SS)	2025-09-02	1,2,3,4	14.33	16.09	2025-09-25 00:00:00	True	True	True	True	True
中航机载 (600372.SS)	2025-09-02	1,2,3,4	12.71	12.02	2025-09-25 00:00:00	True	True	True	False	False
通威股份 (600438.SS)	2025-09-02	1,2,3,4	21.75	22.04	2025-09-25 00:00:00	True	True	True	False	False
隆基绿能 (601012.SS)	2025-09-02	1,2,4	16.69	17.69	2025-09-25 00:00:00	True	True	True	True	True
中信建投 (601066.SS)	2025-09-02	1,2,4	27.92	25.9	2025-09-25 00:00:00	True	True	True	False	False
华友钴业 (603799.SS)	2025-09-02	1,2,3	47.73	55.83	2025-09-25 00:00:00	True	True	True	True	True
三花智控 (002050.SZ)	2025-09-01	1,2,3,4	31.67	44.13	2025-09-25 00:00:00	True	True	True	True	True
通威股份 (600438.SS)	2025-09-01	1,2,3,4	21.35	22.04	2025-09-25 00:00:00	True	True	True	False	False
隆基绿能 (601012.SS)	2025-09-01	1,2,4	16.87	17.69	2025-09-25 00:00:00	True	True	True	True	True
中国人保 (601319.SS)	2025-09-01	1,2,3,4	8.85	7.7	2025-09-25 00:00:00	True	True	False	False	False
新华保险 (601336.SS)	2025-09-01	1,2,4	65.73	59.26	2025-09-25 00:00:00	True	True	True	False	False
拓普集团 (601689.SS)	2025-09-01	1,2,3,4	61.52	76.85	2025-09-25 00:00:00	True	True	True	True	True
福斯特 (603806.SS)	2025-09-01	2,3,4	14.69	15.53	2025-09-25 00:00:00	True	True	True	False	False
金山办公 (688111.SS)	2025-09-01	2,3,4	330.62	319.61	2025-09-25 00:00:00	True	True	True	True	True
晶澳科技 (002459.SZ)	2025-08-29	1,3,4	12.6	12.96	2025-09-25 00:00:00	True	True	True	False	False
圣邦股份 (300661.SZ)	2025-08-29	2,3,4	77.63	82.61	2025-09-25 00:00:00	True	True	True	True	True
中微公司 (688012.SS)	2025-08-29	2,3,4	213.22	290.8	2025-09-25 00:00:00	True	True	True	True	True
金山办公 (688111.SS)	2025-08-29	2,3,4	331.03	319.61	2025-09-25 00:00:00	True	True	True	True	True
传音控股 (688036.SS)	2025-08-28	1,2,3,4	82.7	101.56	2025-09-25 00:00:00	True	True	True	True	True
金山办公 (688111.SS)	2025-08-28	2,3,4	320.5	319.61	2025-09-25 00:00:00	True	True	True	True	True
铜陵有色 (000630.SZ)	2025-08-27	1,2,3,4	4.33	4.69	2025-09-25 00:00:00	True	True	True	True	True
盐湖股份 (000792.SZ)	2025-08-27	1,2,3,4	19.42	19.71	2025-09-25 00:00:00	True	True	True	False	False
龙源电力 (001289.SZ)	2025-08-27	1,2,4	16.7	16.79	2025-09-25 00:00:00	True	True	True	False	False
中航光电 (002179.SZ)	2025-08-27	1,3,4	41.31	40.67	2025-09-25 00:00:00	True	True	True	True	True
晶澳科技 (002459.SZ)	2025-08-27	1,3,4	12.11	12.96	2025-09-25 00:00:00	True	True	True	False	False
卫星化学 (002648.SZ)	2025-08-27	1,2,3,4	19.87	18.9	2025-09-25 00:00:00	True	True	True	False	False
天赐材料 (002709.SZ)	2025-08-27	1,2,3,4	20.31	33.44	2025-09-25 00:00:00	True	True	True	True	True
圣邦股份 (300661.SZ)	2025-08-27	2,3,4	78.61	82.61	2025-09-25 00:00:00	True	True	True	True	True
爱美客 (300896.SZ)	2025-08-27	2,3,4	190.03	180.61	2025-09-25 00:00:00	True	True	True	False	False
包钢股份 (600010.SS)	2025-08-27	2,3,4	2.79	2.31	2025-09-25 00:00:00	True	True	True	False	False
三一重工 (600031.SS)	2025-08-27	1,2,3,4	21.3	22.11	2025-09-25 00:00:00	True	True	True	True	True
宇通客车 (600066.SS)	2025-08-27	1,2,3,4	27.33	28.51	2025-09-25 00:00:00	True	True	True	True	True
复星医药 (600196.SS)	2025-08-27	1,2,3,4	28.57	30.32	2025-09-25 00:00:00	True	True	True	False	False
南山铝业 (600219.SS)	2025-08-27	2,3,4	4.22	3.8	2025-09-25 00:00:00	True	True	True	False	False
恒瑞医药 (600276.SS)	2025-08-27	2,3,4	64.51	72.4	2025-09-25 00:00:00	True	True	True	True	True
恒生电子 (600570.SS)	2025-08-27	1,2,3,4	37.16	34.5	2025-09-25 00:00:00	True	True	True	False	False
用友网络 (600588.SS)	2025-08-27	1,2,3,4	17.13	16.01	2025-09-25 00:00:00	True	True	True	False	True
恒立液压 (601100.SS)	2025-08-27	1,2,3,4	84.15	93.97	2025-09-25 00:00:00	True	True	True	True	True
国泰海通 (601211.SS)	2025-08-27	2,3,4	21.22	18.89	2025-09-25 00:00:00	True	True	True	False	False
兴业证券 (601377.SS)	2025-08-27	1,2,3,4	6.84	6.37	2025-09-25 00:00:00	True	True	True	False	False
中国铝业 (601600.SS)	2025-08-27	2,3,4	7.97	7.62	2025-09-25 00:00:00	True	True	True	False	False
中国中免 (601888.SS)	2025-08-27	2,3,4	68.69	69.69	2025-09-25 00:00:00	True	True	True	True	False
药明康德 (603259.SS)	2025-08-27	2,3,4	95.5	107.91	2025-09-25 00:00:00	True	True	True	True	False
华勤技术 (603296.SS)	2025-08-27	1,3,4	95.97	109.35	2025-09-25 00:00:00	True	True	True	True	True
阿特斯 (688472.SS)	2025-08-27	1,3,4	9.91	12.39	2025-09-25 00:00:00	True	True	True	True	True
天合光能 (688599.SS)	2025-08-27	1,3,4	16.17	16.7	2025-09-25 00:00:00	True	True	True	False	False
申万宏源 (000166.SZ)	2025-08-26	1,2,3,4	5.67	5.19	2025-09-25 00:00:00	True	True	True	False	False
广发证券 (000776.SZ)	2025-08-26	1,2,3,4	21.97	21.05	2025-09-25 00:00:00	True	True	True	False	True
招商蛇口 (001979.SZ)	2025-08-26	1,2,3	9.33	9.58	2025-09-25 00:00:00	True	True	True	True	True
中航光电 (002179.SZ)	2025-08-26	1,3,4	41.82	40.67	2025-09-25 00:00:00	True	True	True	True	True
科伦药业 (002422.SZ)	2025-08-26	2,3,4	38.2	37.43	2025-09-25 00:00:00	True	True	True	False	True
天赐材料 (002709.SZ)	2025-08-26	1,2,3,4	20.78	33.44	2025-09-25 00:00:00	True	True	True	True	True
阳光电源 (300274.SZ)	2025-08-26	1,2,3,4	97.57	158.38	2025-09-25 00:00:00	True	True	True	True	True
康龙化成 (300759.SZ)	2025-08-26	2,3,4	30.52	34.86	2025-09-25 00:00:00	True	True	True	True	True
包钢股份 (600010.SS)	2025-08-26	1,2,3,4	2.81	2.31	2025-09-25 00:00:00	True	True	True	False	False
