ticker	date	intervals	signal_price	current_price	current_time	nx_1h_signal	nx_5m_signal	nx_1d	nx_1h	nx_30m
三一重工 (600031.SS)	2025-09-25	5,10,15,30	22.16	22.16	2025-09-25 00:00:00	True	True	True	True	True
中国神华 (601088.SS)	2025-09-25	5,10,15	38.51	38.59	2025-09-25 00:00:00	True	False	True	True	True
海光信息 (688041.SS)	2025-09-25	10,15,30	269.2	273.88	2025-09-25 00:00:00	True	True	True	True	True
三一重工 (600031.SS)	2025-09-24	5,10,15	22.23	22.16	2025-09-25 00:00:00	True	True	True	True	True
紫金矿业 (601899.SS)	2025-09-24	5,10,15	25.81	27.35	2025-09-25 00:00:00	True	True	True	True	True
中芯国际 (688981.SS)	2025-09-24	5,10,15,30	136.11	135.85	2025-09-25 00:00:00	True	True	True	True	True
国电南瑞 (600406.SS)	2025-09-23	10,15,30	22.29	22.34	2025-09-25 00:00:00	True	False	False	True	True
中芯国际 (688981.SS)	2025-09-23	5,10,15,30	127.58	135.85	2025-09-25 00:00:00	True	True	True	True	True
海光信息 (688041.SS)	2025-09-22	10,15,30	259.56	273.88	2025-09-25 00:00:00	True	True	True	True	True
中芯国际 (688981.SS)	2025-09-22	5,10,15,30	126.3	135.85	2025-09-25 00:00:00	True	True	True	True	True
国电南瑞 (600406.SS)	2025-09-19	5,10,30	22.36	22.34	2025-09-25 00:00:00	True	True	False	True	True
三安光电 (600703.SS)	2025-09-19	5,10,15,30	15.8	15.71	2025-09-25 00:00:00	True	True	True	True	True
中芯国际 (688981.SS)	2025-09-19	5,10,15,30	124.87	135.85	2025-09-25 00:00:00	True	True	True	True	True
山东矿机 (002526.SZ)	2025-09-18	10,15,30	4.35	3.88	2025-09-25 00:00:00	True	False	True	False	False
保利发展 (600048.SS)	2025-09-18	10,15,30	7.92	7.63	2025-09-25 00:00:00	False	False	False	False	False
恒瑞医药 (600276.SS)	2025-09-18	5,10,15	70.88	72.54	2025-09-25 00:00:00	True	True	True	True	True
海光信息 (688041.SS)	2025-09-18	5,10,15,30	247.0	273.88	2025-09-25 00:00:00	True	False	True	True	True
保利发展 (600048.SS)	2025-09-17	10,15,30	7.99	7.63	2025-09-25 00:00:00	True	True	False	False	False
三安光电 (600703.SS)	2025-09-17	5,10,30	15.23	15.71	2025-09-25 00:00:00	True	True	True	True	True
药明康德 (603259.SS)	2025-09-17	5,10,15	108.77	108.11	2025-09-25 00:00:00	True	True	True	True	True
韦尔股份 (603501.SS)	2025-09-17	5,10,15,30	142.22	151.82	2025-09-25 00:00:00	True	True	True	True	True
金山办公 (688111.SS)	2025-09-17	5,10,30	310.94	322.21	2025-09-25 00:00:00	True	True	True	True	True
美锦能源 (000723.SZ)	2025-09-16	5,10,15	4.82	4.68	2025-09-25 00:00:00	True	True	True	False	False
爱朋医疗 (300753.SZ)	2025-09-16	5,10,15	30.82	29.09	2025-09-25 00:00:00	False	True	True	False	False
保利发展 (600048.SS)	2025-09-16	10,15,30	7.91	7.63	2025-09-25 00:00:00	True	True	False	False	False
韦尔股份 (603501.SS)	2025-09-16	5,10,15	140.56	151.82	2025-09-25 00:00:00	True	True	True	True	True
海光信息 (688041.SS)	2025-09-16	5,10,15,30	244.5	273.88	2025-09-25 00:00:00	True	True	True	True	True
寒武纪 (688256.SS)	2025-09-16	5,10,15	1459.76	1397.89	2025-09-25 00:00:00	True	True	True	True	False
美锦能源 (000723.SZ)	2025-09-15	5,10,15	4.81	4.68	2025-09-25 00:00:00	True	True	True	False	False
爱朋医疗 (300753.SZ)	2025-09-15	5,10,15	30.65	29.09	2025-09-25 00:00:00	False	False	True	False	False
国电南瑞 (600406.SS)	2025-09-15	10,15,30	22.47	22.34	2025-09-25 00:00:00	True	True	False	True	True
三安光电 (600703.SS)	2025-09-15	5,15,30	15.12	15.71	2025-09-25 00:00:00	True	True	True	True	True
陕西煤业 (601225.SS)	2025-09-15	5,10,15	20.2	20.38	2025-09-25 00:00:00	False	True	True	True	True
滨化股份 (601678.SS)	2025-09-15	5,10,15,30	4.37	4.07	2025-09-25 00:00:00	False	False	False	False	False
中微公司 (688012.SS)	2025-09-15	5,10,15	215.84	294.23	2025-09-25 00:00:00	True	True	True	True	True
海光信息 (688041.SS)	2025-09-15	5,10,15,30	234.62	273.88	2025-09-25 00:00:00	True	True	True	True	True
山东矿机 (002526.SZ)	2025-09-12	5,10,15,30	4.22	3.88	2025-09-25 00:00:00	True	False	True	False	False
招商银行 (600036.SS)	2025-09-12	5,10,15	43.15	40.85	2025-09-25 00:00:00	False	False	False	False	False
山西汾酒 (600809.SS)	2025-09-12	5,10,15	207.73	193.92	2025-09-25 00:00:00	True	False	True	False	False
中国移动 (600941.SS)	2025-09-12	5,10,15	108.18	106.07	2025-09-25 00:00:00	False	False	False	False	False
中国神华 (601088.SS)	2025-09-12	10,15,30	38.24	38.59	2025-09-25 00:00:00	False	False	True	True	True
滨化股份 (601678.SS)	2025-09-12	5,10,15	4.35	4.07	2025-09-25 00:00:00	False	True	False	False	False
紫金矿业 (601899.SS)	2025-09-12	5,15,30	25.89	27.35	2025-09-25 00:00:00	True	True	True	True	True
中微公司 (688012.SS)	2025-09-12	5,10,15	216.68	294.23	2025-09-25 00:00:00	True	True	True	True	True
寒武纪 (688256.SS)	2025-09-12	5,10,15	1480.08	1397.89	2025-09-25 00:00:00	True	True	True	True	False
博苑股份 (301617.SZ)	2025-09-11	5,10,15,30	88.08	78.62	2025-09-25 00:00:00	True	False	True	True	True
国电南瑞 (600406.SS)	2025-09-11	5,10,15	22.33	22.34	2025-09-25 00:00:00	True	True	False	True	True
伊利股份 (600887.SS)	2025-09-11	5,10,15	28.57	27.06	2025-09-25 00:00:00	True	True	False	False	False
中国移动 (600941.SS)	2025-09-10	5,10,15	108.52	106.07	2025-09-25 00:00:00	False	True	False	False	False
中国神华 (601088.SS)	2025-09-10	5,10,15,30	38.29	38.59	2025-09-25 00:00:00	False	True	True	True	True
中国建筑 (601668.SS)	2025-09-10	5,10,15	5.51	5.49	2025-09-25 00:00:00	False	True	False	False	False
美锦能源 (000723.SZ)	2025-09-09	5,10,15	4.85	4.68	2025-09-25 00:00:00	True	True	True	False	False
博苑股份 (301617.SZ)	2025-09-09	5,10,15	81.21	78.62	2025-09-25 00:00:00	True	True	True	True	True
恒瑞医药 (600276.SS)	2025-09-09	5,10,15	72.34	72.54	2025-09-25 00:00:00	True	False	True	True	True
海尔智家 (600690.SS)	2025-09-09	5,10,15	26.94	25.33	2025-09-25 00:00:00	True	True	True	False	False
长城汽车 (601633.SS)	2025-09-09	5,10,15	25.97	24.48	2025-09-25 00:00:00	True	True	True	False	False
紫金矿业 (601899.SS)	2025-09-09	5,10,15,30	25.24	27.35	2025-09-25 00:00:00	True	True	True	True	True
中国船舶 (600150.SS)	2025-09-08	5,15,30	38.87	34.91	2025-09-25 00:00:00	True	False	True	False	False
恒瑞医药 (600276.SS)	2025-09-08	5,10,15	72.23	72.54	2025-09-25 00:00:00	True	True	True	True	True
中国神华 (601088.SS)	2025-09-08	5,10,15	38.22	38.59	2025-09-25 00:00:00	False	True	True	True	True
紫金矿业 (601899.SS)	2025-09-08	5,15,30	25.0	27.35	2025-09-25 00:00:00	True	False	True	True	True
隆基绿能 (601012.SS)	2025-09-05	5,10,15	18.07	17.75	2025-09-25 00:00:00	True	True	True	True	True
紫金矿业 (601899.SS)	2025-09-05	5,10,15	24.95	27.35	2025-09-25 00:00:00	True	True	True	True	True
爱朋医疗 (300753.SZ)	2025-09-04	5,10,15,30	33.86	29.09	2025-09-25 00:00:00	False	True	True	False	False
隆基绿能 (601012.SS)	2025-09-03	5,10,15,30	17.06	17.75	2025-09-25 00:00:00	True	True	True	True	True
赛力斯 (601127.SS)	2025-09-03	5,10,15	149.44	149.0	2025-09-25 00:00:00	True	True	True	True	True
邮储银行 (601658.SS)	2025-09-03	5,10,15	6.24	5.91	2025-09-25 00:00:00	True	True	True	False	False
中国电信 (601728.SS)	2025-09-03	5,10,15,30	7.55	6.68	2025-09-25 00:00:00	True	False	False	False	False
紫金矿业 (601899.SS)	2025-09-03	5,10,15	24.75	27.35	2025-09-25 00:00:00	True	True	True	True	True
博苑股份 (301617.SZ)	2025-09-02	5,10,15,30	66.8	78.62	2025-09-25 00:00:00	True	False	True	True	True
恒瑞医药 (600276.SS)	2025-09-02	5,10,15	69.71	72.54	2025-09-25 00:00:00	True	True	True	True	True
隆基绿能 (601012.SS)	2025-09-02	5,10,15,30	16.86	17.75	2025-09-25 00:00:00	True	False	True	True	True
赛力斯 (601127.SS)	2025-09-02	5,10,15	146.38	149.0	2025-09-25 00:00:00	True	True	True	True	True
长城汽车 (601633.SS)	2025-09-02	5,10,30	26.31	24.48	2025-09-25 00:00:00	True	True	True	False	False
邮储银行 (601658.SS)	2025-09-02	5,10,15	6.2	5.91	2025-09-25 00:00:00	True	True	True	False	False
紫金矿业 (601899.SS)	2025-09-02	5,10,15	24.49	27.35	2025-09-25 00:00:00	True	True	True	True	True
药明康德 (603259.SS)	2025-09-02	5,10,15	111.59	108.11	2025-09-25 00:00:00	True	True	True	True	True
洛阳钼业 (603993.SS)	2025-09-02	5,10,15	13.7	13.88	2025-09-25 00:00:00	True	True	True	True	True
