ticker	date	intervals	signal_price	current_price	current_time	nx_1h_signal	nx_5m_signal	nx_1d	nx_1h	nx_30m
中联重科 (000157.SZ)	2025-09-25	5,10,15,30	7.82	7.79	2025-09-25 00:00:00	True	False	True	True	True
广发证券 (000776.SZ)	2025-09-25	5,10,15	20.74	21.05	2025-09-25 00:00:00	False	True	True	False	True
山金国际 (000975.SZ)	2025-09-25	5,10,15	21.28	21.18	2025-09-25 00:00:00	True	False	True	True	True
纳思达 (002180.SZ)	2025-09-25	5,10,15	23.03	23.13	2025-09-25 00:00:00	False	True	False	False	True
科大讯飞 (002230.SZ)	2025-09-25	5,10,15	56.11	56.04	2025-09-25 00:00:00	True	True	True	True	True
歌尔股份 (002241.SZ)	2025-09-25	5,10,15	36.08	35.91	2025-09-25 00:00:00	True	True	True	True	True
赣锋锂业 (002460.SZ)	2025-09-25	5,10,15	56.77	57.35	2025-09-25 00:00:00	True	True	True	True	True
立讯精密 (002475.SZ)	2025-09-25	10,15,30	69.42	68.93	2025-09-25 00:00:00	True	True	True	True	True
德赛西威 (002920.SZ)	2025-09-25	5,10,30	148.25	148.25	2025-09-25 00:00:00	True	True	True	True	True
汇川技术 (300124.SZ)	2025-09-25	5,10,15	87.01	86.22	2025-09-25 00:00:00	True	True	True	True	True
阳光电源 (300274.SZ)	2025-09-25	5,10,15	159.52	158.38	2025-09-25 00:00:00	True	True	True	True	True
天孚通信 (300394.SZ)	2025-09-25	5,10,15	182.83	184.94	2025-09-25 00:00:00	True	False	True	True	True
蓝思科技 (300433.SZ)	2025-09-25	5,10,15,30	33.63	33.63	2025-09-25 00:00:00	True	True	True	True	True
先导智能 (300450.SZ)	2025-09-25	5,10,15	68.16	67.45	2025-09-25 00:00:00	True	True	True	True	True
三一重工 (600031.SS)	2025-09-25	5,10,15,30	22.11	22.11	2025-09-25 00:00:00	True	True	True	True	True
中金黄金 (600489.SS)	2025-09-25	5,15,30	20.57	20.43	2025-09-25 00:00:00	True	True	True	True	True
闻泰科技 (600745.SS)	2025-09-25	5,10,15,30	49.6	49.6	2025-09-25 00:00:00	True	True	True	True	True
中国神华 (601088.SS)	2025-09-25	5,10,15	38.51	38.58	2025-09-25 00:00:00	True	False	True	True	True
工业富联 (601138.SS)	2025-09-25	5,10,30	69.0	69.0	2025-09-25 00:00:00	True	False	True	True	True
新华保险 (601336.SS)	2025-09-25	5,10,15	59.36	59.26	2025-09-25 00:00:00	False	False	True	False	False
中科曙光 (603019.SS)	2025-09-25	10,15,30	122.02	126.54	2025-09-25 00:00:00	True	True	True	True	True
华友钴业 (603799.SS)	2025-09-25	5,10,15	56.23	55.83	2025-09-25 00:00:00	True	True	True	True	True
海光信息 (688041.SS)	2025-09-25	10,15,30	270.65	270.65	2025-09-25 00:00:00	True	True	True	True	True
华润微 (688396.SS)	2025-09-25	5,10,15	54.97	54.64	2025-09-25 00:00:00	True	True	True	True	True
平安银行 (000001.SZ)	2025-09-24	5,10,15	11.49	11.4	2025-09-25 00:00:00	False	False	False	False	False
中联重科 (000157.SZ)	2025-09-24	5,10,15,30	7.93	7.79	2025-09-25 00:00:00	True	True	True	True	True
广发证券 (000776.SZ)	2025-09-24	5,10,15	20.45	21.05	2025-09-25 00:00:00	False	True	True	False	True
山金国际 (000975.SZ)	2025-09-24	5,10,15	21.68	21.18	2025-09-25 00:00:00	True	True	True	True	True
思源电气 (002028.SZ)	2025-09-24	5,15,30	102.92	101.36	2025-09-25 00:00:00	True	True	True	True	True
赣锋锂业 (002460.SZ)	2025-09-24	5,10,15	53.43	57.35	2025-09-25 00:00:00	True	True	True	True	True
汇川技术 (300124.SZ)	2025-09-24	5,10,15	86.17	86.22	2025-09-25 00:00:00	True	True	True	True	True
蓝思科技 (300433.SZ)	2025-09-24	5,10,15,30	32.63	33.63	2025-09-25 00:00:00	True	True	True	True	True
三一重工 (600031.SS)	2025-09-24	5,10,15	22.23	22.11	2025-09-25 00:00:00	True	True	True	True	True
宇通客车 (600066.SS)	2025-09-24	5,15,30	29.65	28.51	2025-09-25 00:00:00	True	True	True	True	True
中国巨石 (600176.SS)	2025-09-24	5,10,15	16.11	16.44	2025-09-25 00:00:00	True	True	True	True	True
兖矿能源 (600188.SS)	2025-09-24	5,10,15,30	13.61	13.71	2025-09-25 00:00:00	True	True	True	True	True
航发动力 (600893.SS)	2025-09-24	5,10,30	38.12	37.83	2025-09-25 00:00:00	False	True	True	False	True
中煤能源 (601898.SS)	2025-09-24	10,15,30	11.8	11.63	2025-09-25 00:00:00	True	True	True	True	True
紫金矿业 (601899.SS)	2025-09-24	5,10,15	25.81	27.3	2025-09-25 00:00:00	True	True	True	True	True
中科曙光 (603019.SS)	2025-09-24	5,10,15,30	117.54	126.54	2025-09-25 00:00:00	True	True	True	True	True
盛美上海 (688082.SS)	2025-09-24	5,10,15,30	190.5	184.42	2025-09-25 00:00:00	True	True	True	True	True
华润微 (688396.SS)	2025-09-24	5,10,15	52.6	54.64	2025-09-25 00:00:00	True	True	True	True	True
中芯国际 (688981.SS)	2025-09-24	5,10,15,30	136.11	135.1	2025-09-25 00:00:00	True	True	True	True	True
中联重科 (000157.SZ)	2025-09-23	5,10,15	7.7	7.79	2025-09-25 00:00:00	True	True	True	True	True
思源电气 (002028.SZ)	2025-09-23	5,10,15,30	100.0	101.36	2025-09-25 00:00:00	True	True	True	True	True
中航光电 (002179.SZ)	2025-09-23	5,10,15	41.5	40.67	2025-09-25 00:00:00	True	False	True	True	True
赣锋锂业 (002460.SZ)	2025-09-23	5,10,15	52.7	57.35	2025-09-25 00:00:00	True	True	True	True	True
沪电股份 (002463.SZ)	2025-09-23	5,10,15,30	80.24	75.25	2025-09-25 00:00:00	True	False	True	True	True
鹏鼎控股 (002938.SZ)	2025-09-23	5,10,15,30	63.95	59.62	2025-09-25 00:00:00	True	False	True	True	True
三环集团 (300408.SZ)	2025-09-23	5,10,15,30	50.29	47.47	2025-09-25 00:00:00	True	True	True	True	True
蓝思科技 (300433.SZ)	2025-09-23	5,15,30	32.73	33.63	2025-09-25 00:00:00	True	False	True	True	True
特变电工 (600089.SS)	2025-09-23	5,10,15,30	16.18	16.09	2025-09-25 00:00:00	True	True	True	True	True
生益科技 (600183.SS)	2025-09-23	5,10,30	59.9	57.35	2025-09-25 00:00:00	True	False	True	True	True
兖矿能源 (600188.SS)	2025-09-23	5,10,15,30	13.52	13.71	2025-09-25 00:00:00	True	True	True	True	True
国电南瑞 (600406.SS)	2025-09-23	10,15,30	22.29	22.33	2025-09-25 00:00:00	True	False	False	True	True
工业富联 (601138.SS)	2025-09-23	5,10,15,30	71.73	69.0	2025-09-25 00:00:00	True	True	True	True	True
中煤能源 (601898.SS)	2025-09-23	5,10,15,30	11.83	11.63	2025-09-25 00:00:00	True	True	True	True	True
中科曙光 (603019.SS)	2025-09-23	5,10,15,30	116.4	126.54	2025-09-25 00:00:00	True	False	True	True	True
华友钴业 (603799.SS)	2025-09-23	5,10,15	52.78	55.83	2025-09-25 00:00:00	True	False	True	True	True
