ticker	interval	score	signal_date	signal_price	breakthrough_date
中国中铁 (601390.SS)	4h	4.93	2025-06-13 13:30:00	5.56	
中微公司 (688012.SS)	4h	4.91	2025-06-13 13:30:00	171.28	
中国中铁 (601390.SS)	2h	4.02	2025-06-13 13:30:00	5.56	
三一重工 (600031.SS)	1h	3.5	2025-06-13 13:30:00	17.8	
陕西煤业 (601225.SS)	1h	3.2	2025-06-13 13:30:00	19.78	
中微公司 (688012.SS)	3h	4.6	2025-06-13 12:30:00	171.28	
中芯国际 (688981.SS)	3h	4.51	2025-06-13 12:30:00	82.57	
海光信息 (688041.SS)	3h	4.42	2025-06-13 12:30:00	137.01	
中芯国际 (688981.SS)	1h	3.43	2025-06-13 12:30:00	82.56	
中芯国际 (688981.SS)	2h	3.83	2025-06-13 11:30:00	82.56	
海光信息 (688041.SS)	2h	3.59	2025-06-13 11:30:00	136.2	
中国神华 (601088.SS)	1h	3.42	2025-06-13 10:30:00	39.33	
京沪高铁 (601816.SS)	1h	3.41	2025-06-13 10:30:00	5.74	
陕西煤业 (601225.SS)	1h	3.38	2025-06-13 10:30:00	19.87	
海光信息 (688041.SS)	1h	3.27	2025-06-13 10:30:00	136.02	
中国船舶 (600150.SS)	2h	4.15	2025-06-13 09:30:00	30.74	2025-06-13 11:30:00
通威股份 (600438.SS)	1h	3.19	2025-06-12 14:30:00	16.0	
赛力斯 (601127.SS)	1h	3.69	2025-06-12 13:30:00	134.3	2025-06-12 13:30:00
赛力斯 (601127.SS)	2h	4.34	2025-06-12 13:30:00	134.6	
神剑股份 (002361.SZ)	1h	3.53	2025-06-12 13:30:00	6.06	
京沪高铁 (601816.SS)	1h	3.31	2025-06-12 13:30:00	5.71	
长城汽车 (601633.SS)	1h	3.24	2025-06-12 13:30:00	22.16	
海光信息 (688041.SS)	1h	3.2	2025-06-12 13:30:00	136.09	
贵州茅台 (600519.SS)	1h	3.0	2025-06-12 11:30:00	1471.49	
贵州茅台 (600519.SS)	1h	3.0	2025-06-12 11:30:00	1471.49	
长城汽车 (601633.SS)	1h	3.17	2025-06-11 14:30:00	22.27	
中国联通 (600050.SS)	1h	3.12	2025-06-11 14:30:00	5.32	
长城汽车 (601633.SS)	4h	4.67	2025-06-11 13:30:00	22.27	
神剑股份 (002361.SZ)	1h	3.14	2025-06-11 13:30:00	6.1	
长城汽车 (601633.SS)	1h	3.13	2025-06-11 12:30:00	22.28	
长城汽车 (601633.SS)	2h	3.59	2025-06-11 11:30:00	22.28	
神剑股份 (002361.SZ)	1h	3.0	2025-06-11 11:30:00	6.1	
京沪高铁 (601816.SS)	1h	3.0	2025-06-11 11:30:00	5.75	
中国中车 (601766.SS)	2h	4.15	2025-06-11 09:30:00	7.18	2025-06-13 13:30:00
中国船舶 (600150.SS)	2h	4.26	2025-06-11 09:30:00	30.65	2025-06-13 11:30:00
中国船舶 (600150.SS)	1h	3.8	2025-06-11 09:30:00	30.59	2025-06-13 09:30:00
中国中铁 (601390.SS)	1h	3.93	2025-06-11 09:30:00	5.59	2025-06-11 10:30:00
隆基绿能 (601012.SS)	1h	4.45	2025-06-11 09:30:00	14.59	2025-06-11 09:30:00
中国中车 (601766.SS)	1h	3.92	2025-06-11 09:30:00	7.2	2025-06-11 09:30:00
中国中铁 (601390.SS)	4h	5.41	2025-06-11 09:30:00	5.6	
通威股份 (600438.SS)	4h	5.37	2025-06-11 09:30:00	16.13	
通威股份 (600438.SS)	3h	4.87	2025-06-11 09:30:00	16.15	
中国中铁 (601390.SS)	3h	4.85	2025-06-11 09:30:00	5.6	
中国中铁 (601390.SS)	2h	4.46	2025-06-11 09:30:00	5.6	
京沪高铁 (601816.SS)	1h	3.79	2025-06-11 09:30:00	5.76	
贵州茅台 (600519.SS)	1h	3.72	2025-06-11 09:30:00	1484.6	
