ticker	interval	score	signal_date	breakthrough_date
MSFT	3h	4.43	2025-02-28 15:30:00	
QMCO	3h	4.13	2025-02-28 15:30:00	
QMCO	2h	3.64	2025-02-28 15:30:00	
SPY	1h	3.43	2025-02-28 14:30:00	2025-02-28 15:30:00
GOOGL	1h	3.44	2025-02-28 14:30:00	
ABNB	1h	3.4	2025-02-28 14:30:00	
QQQ	1h	3.38	2025-02-28 14:30:00	
MSFT	1h	3.36	2025-02-28 14:30:00	
QMCO	1h	3.29	2025-02-28 14:30:00	
MSFT	4h	5.12	2025-02-28 13:30:00	
MSFT	2h	3.82	2025-02-28 13:30:00	
GOOGL	1h	3.23	2025-02-28 11:30:00	
GOOGL	1h	3.68	2025-02-28 09:30:00	
MSFT	2h	3.62	2025-02-26 15:30:00	
MSFT	3h	4.69	2025-02-26 09:30:00	
MSFT	2h	4.23	2025-02-26 09:30:00	
QMCO	3h	4.43	2025-02-25 12:30:00	
QMCO	2h	5.44	2025-02-25 11:30:00	
QMCO	1h	3.98	2025-02-25 11:30:00	
GOOGL	2h	3.67	2025-02-24 11:30:00	
GOOGL	1h	3.23	2025-02-24 10:30:00	
AMZN	1h	3.2	2025-02-20 15:30:00	2025-02-26 09:30:00
QMCO	3h	4.5	2025-02-19 15:30:00	
QMCO	2h	4.01	2025-02-19 15:30:00	
QMCO	4h	5.71	2025-02-19 13:30:00	
QMCO	2h	5.26	2025-02-19 09:30:00	
GOOGL	1h	3.43	2025-02-18 15:30:00	2025-02-19 15:30:00
AMZN	1h	3.26	2025-02-13 13:30:00	2025-02-26 09:30:00
MSFT	1h	3.26	2025-02-13 13:30:00	2025-02-18 15:30:00
MSFT	1h	3.28	2025-02-13 10:30:00	2025-02-18 15:30:00
MSFT	1h	3.2	2025-02-12 12:30:00	2025-02-18 15:30:00
TSLA	2h	4.63	2025-02-12 09:30:00	2025-02-19 09:30:00
QMCO	1h	3.37	2025-02-11 14:30:00	2025-02-12 11:30:00
MSFT	4h	4.68	2025-02-11 13:30:00	2025-02-20 09:30:00
QMCO	1h	3.39	2025-02-10 11:30:00	2025-02-12 11:30:00
MSFT	4h	4.72	2025-02-10 09:30:00	2025-02-20 09:30:00
MSFT	1h	3.36	2025-02-10 09:30:00	2025-02-10 10:30:00
QMCO	1h	3.96	2025-02-07 09:30:00	2025-02-12 11:30:00
TSLA	2h	3.96	2025-02-06 15:30:00	2025-02-19 09:30:00
MSFT	4h	4.77	2025-02-06 09:30:00	2025-02-20 09:30:00
QMCO	4h	5.29	2025-02-05 13:30:00	
TSLA	2h	3.86	2025-02-04 13:30:00	2025-02-19 09:30:00
TSLA	3h	4.67	2025-02-04 12:30:00	2025-02-19 09:30:00
TSLA	1h	3.39	2025-02-04 12:30:00	2025-02-13 09:30:00
NVDA	2h	4.54	2025-02-04 09:30:00	2025-02-05 13:30:00
NVDA	1h	4.08	2025-02-04 09:30:00	2025-02-05 09:30:00
NVDA	1h	3.58	2025-02-03 13:30:00	2025-02-05 09:30:00
TSLA	3h	5.51	2025-01-30 09:30:00	2025-01-31 09:30:00
ABNB	4h	5.0	2025-01-28 13:30:00	2025-01-29 09:30:00
ABNB	3h	4.53	2025-01-28 12:30:00	2025-01-29 09:30:00
ABNB	2h	3.76	2025-01-27 15:30:00	2025-01-29 09:30:00
AAPL	3h	4.16	2025-01-17 15:30:00	2025-01-27 09:30:00
AAPL	2h	3.68	2025-01-17 15:30:00	2025-01-27 09:30:00
AAPL	1h	3.16	2025-01-17 14:30:00	2025-01-27 09:30:00
AAPL	2h	4.24	2025-01-17 09:30:00	2025-01-27 09:30:00
AAPL	1h	4.04	2025-01-17 09:30:00	2025-01-27 09:30:00
MSFT	4h	5.24	2025-01-15 09:30:00	2025-01-17 09:30:00
ABNB	3h	4.61	2025-01-15 09:30:00	2025-01-15 12:30:00
SPY	4h	4.84	2025-01-15 09:30:00	2025-01-15 09:30:00
ABNB	2h	4.3	2025-01-15 09:30:00	2025-01-15 09:30:00
AMZN	2h	4.04	2025-01-15 09:30:00	2025-01-15 09:30:00
ABNB	1h	3.88	2025-01-15 09:30:00	2025-01-15 09:30:00
MSFT	3h	4.39	2025-01-14 15:30:00	2025-01-15 09:30:00
MSFT	2h	3.93	2025-01-14 15:30:00	2025-01-15 09:30:00
QQQ	2h	3.72	2025-01-14 15:30:00	2025-01-15 09:30:00
SPY	3h	4.25	2025-01-14 12:30:00	2025-01-15 09:30:00
QQQ	2h	3.71	2025-01-14 11:30:00	2025-01-15 09:30:00
MSFT	2h	3.66	2025-01-14 11:30:00	2025-01-15 09:30:00
AMZN	2h	4.08	2025-01-14 09:30:00	2025-01-15 09:30:00
SPY	3h	4.16	2025-01-13 15:30:00	2025-01-15 09:30:00
SPY	2h	3.68	2025-01-13 15:30:00	2025-01-15 09:30:00
MSFT	2h	3.67	2025-01-13 15:30:00	2025-01-15 09:30:00
