ticker	interval	score	signal_date	signal_price	breakthrough_date
贵州茅台 (600519.SS)	1h	3.0	2025-06-12 11:30:00	1471.49	
长城汽车 (601633.SS)	1h	3.17	2025-06-11 14:30:00	22.27	
中国联通 (600050.SS)	1h	3.14	2025-06-11 14:30:00	5.32	
昆仑万维 (300418.SZ)	1h	3.2	2025-06-11 13:30:00	33.86	2025-06-12 09:30:00
长城汽车 (601633.SS)	4h	4.7	2025-06-11 13:30:00	22.27	
阿特斯 (688472.SS)	4h	4.7	2025-06-11 13:30:00	8.75	
今世缘 (603369.SS)	4h	4.63	2025-06-11 13:30:00	42.03	
阿特斯 (688472.SS)	2h	3.81	2025-06-11 13:30:00	8.75	
昆仑万维 (300418.SZ)	2h	3.67	2025-06-11 13:30:00	33.91	
古井贡酒 (000596.SZ)	2h	3.55	2025-06-11 13:30:00	144.92	
阿特斯 (688472.SS)	1h	3.35	2025-06-11 13:30:00	8.76	
宝信软件 (600845.SS)	1h	3.27	2025-06-11 13:30:00	24.75	
时代电气 (688187.SS)	1h	3.24	2025-06-11 13:30:00	43.2	
荣盛石化 (002493.SZ)	1h	3.18	2025-06-11 13:30:00	8.48	
中航光电 (002179.SZ)	1h	3.09	2025-06-11 13:30:00	38.84	
金龙鱼 (300999.SZ)	3h	4.24	2025-06-11 12:30:00	30.12	
泸州老窖 (000568.SZ)	1h	3.6	2025-06-11 12:30:00	115.31	
石头科技 (688169.SS)	1h	3.16	2025-06-11 12:30:00	218.7	
长城汽车 (601633.SS)	1h	3.14	2025-06-11 12:30:00	22.28	
荣盛石化 (002493.SZ)	2h	3.76	2025-06-11 11:30:00	8.48	
长城汽车 (601633.SS)	2h	3.6	2025-06-11 11:30:00	22.28	
片仔癀 (600436.SS)	2h	3.54	2025-06-11 11:30:00	202.42	
东方雨虹 (002271.SZ)	1h	3.0	2025-06-11 11:30:00	11.04	
荣盛石化 (002493.SZ)	1h	3.0	2025-06-11 11:30:00	8.49	
京沪高铁 (601816.SS)	1h	3.0	2025-06-11 11:30:00	5.75	
云南白药 (000538.SZ)	1h	3.15	2025-06-11 10:30:00	56.75	2025-06-11 12:30:00
恒力石化 (600346.SS)	1h	3.35	2025-06-11 10:30:00	14.94	
古井贡酒 (000596.SZ)	1h	3.3	2025-06-11 10:30:00	145.15	
中航光电 (002179.SZ)	1h	3.25	2025-06-11 10:30:00	38.98	
卫星化学 (002648.SZ)	1h	3.18	2025-06-11 10:30:00	16.83	
拓普集团 (601689.SS)	1h	3.07	2025-06-11 09:30:00	47.92	2025-06-12 10:30:00
宇通客车 (600066.SS)	4h	5.07	2025-06-11 09:30:00	24.19	2025-06-12 09:30:00
宇通客车 (600066.SS)	3h	4.53	2025-06-11 09:30:00	24.19	2025-06-12 09:30:00
沪硅产业 (688126.SS)	1h	3.56	2025-06-11 09:30:00	18.22	2025-06-12 09:30:00
广汽集团 (601238.SS)	1h	3.31	2025-06-11 09:30:00	7.65	2025-06-11 13:30:00
新 和 成 (002001.SZ)	1h	3.22	2025-06-11 09:30:00	21.83	2025-06-11 12:30:00
云南白药 (000538.SZ)	2h	3.6	2025-06-11 09:30:00	56.75	2025-06-11 11:30:00
中国中铁 (601390.SS)	1h	3.32	2025-06-11 09:30:00	5.59	2025-06-11 10:30:00
宁德时代 (300750.SZ)	1h	4.36	2025-06-11 09:30:00	250.43	2025-06-11 09:30:00
华域汽车 (600741.SS)	1h	3.58	2025-06-11 09:30:00	18.09	2025-06-11 09:30:00
隆基绿能 (601012.SS)	1h	3.49	2025-06-11 09:30:00	14.59	2025-06-11 09:30:00
新 希 望 (000876.SZ)	1h	3.31	2025-06-11 09:30:00	9.65	2025-06-11 09:30:00
中国中车 (601766.SS)	1h	3.29	2025-06-11 09:30:00	7.2	2025-06-11 09:30:00
中国动力 (600482.SS)	1h	3.24	2025-06-11 09:30:00	21.69	2025-06-11 09:30:00
中国巨石 (600176.SS)	4h	5.28	2025-06-11 09:30:00	11.21	
中国中铁 (601390.SS)	4h	5.11	2025-06-11 09:30:00	5.6	
广汽集团 (601238.SS)	4h	5.08	2025-06-11 09:30:00	7.63	
特变电工 (600089.SS)	4h	5.06	2025-06-11 09:30:00	11.69	
东方盛虹 (000301.SZ)	4h	5.04	2025-06-11 09:30:00	8.39	
通威股份 (600438.SS)	4h	5.02	2025-06-11 09:30:00	16.13	
金龙鱼 (300999.SZ)	4h	4.92	2025-06-11 09:30:00	30.12	
中国巨石 (600176.SS)	3h	4.82	2025-06-11 09:30:00	11.25	
合盛硅业 (603260.SS)	4h	4.81	2025-06-11 09:30:00	47.12	
中国中铁 (601390.SS)	3h	4.54	2025-06-11 09:30:00	5.6	
通威股份 (600438.SS)	3h	4.5	2025-06-11 09:30:00	16.15	
中国巨石 (600176.SS)	2h	4.37	2025-06-11 09:30:00	11.25	
中国船舶 (600150.SS)	2h	4.33	2025-06-11 09:30:00	30.65	
中国中铁 (601390.SS)	2h	4.09	2025-06-11 09:30:00	5.6	
中国动力 (600482.SS)	2h	3.91	2025-06-11 09:30:00	21.66	
今世缘 (603369.SS)	2h	3.9	2025-06-11 09:30:00	42.08	
中国中车 (601766.SS)	2h	3.83	2025-06-11 09:30:00	7.18	
金龙鱼 (300999.SZ)	2h	3.82	2025-06-11 09:30:00	30.13	
中国船舶 (600150.SS)	1h	3.8	2025-06-11 09:30:00	30.59	
京沪高铁 (601816.SS)	1h	3.79	2025-06-11 09:30:00	5.76	
晶盛机电 (300316.SZ)	1h	3.7	2025-06-11 09:30:00	27.21	
长城汽车 (601633.SS)	1h	3.69	2025-06-11 09:30:00	22.29	
三峡能源 (600905.SS)	2h	3.68	2025-06-11 09:30:00	4.27	
金龙鱼 (300999.SZ)	1h	3.52	2025-06-11 09:30:00	30.14	
时代电气 (688187.SS)	1h	3.52	2025-06-11 09:30:00	43.22	
