ticker	interval	score	signal_date	signal_price	breakthrough_date
PHUN	5m	1.55	2025-06-23 15:45:00	2.88	
ALAB	5m	1.48	2025-06-23 15:40:00	86.37	
PHUN	15m	2.15	2025-06-23 15:15:00	2.9	
ALAB	5m	1.33	2025-06-23 14:55:00	87.54	
ALAB	10m	1.72	2025-06-23 14:50:00	87.54	
PHUN	15m	2.2	2025-06-23 14:30:00	2.9	
SH	5m	1.05	2025-06-23 14:20:00	41.33	
PHUN	15m	2.32	2025-06-23 14:00:00	2.91	
RDDT	5m	1.32	2025-06-23 13:55:00	135.54	2025-06-23 15:20:00
GOOGL	15m	2.22	2025-06-23 13:30:00	162.91	2025-06-23 15:45:00
GOOGL	10m	1.86	2025-06-23 13:30:00	163.18	2025-06-23 15:20:00
SOUN	30m	2.88	2025-06-23 13:30:00	9.36	2025-06-23 15:00:00
OPEN	30m	2.9	2025-06-23 13:30:00	0.53	
DJT	30m	2.82	2025-06-23 13:30:00	17.85	
SERV	30m	2.75	2025-06-23 13:30:00	10.32	
CLSK	30m	2.61	2025-06-23 13:30:00	8.65	
DUOL	10m	1.64	2025-06-23 13:30:00	463.34	
TEM	10m	1.89	2025-06-23 13:20:00	65.9	2025-06-23 14:00:00
PHUN	10m	1.84	2025-06-23 13:20:00	2.93	
CLSK	15m	2.44	2025-06-23 13:15:00	8.65	2025-06-23 14:30:00
JD	15m	2.19	2025-06-23 13:15:00	31.42	2025-06-23 14:00:00
OPEN	15m	2.31	2025-06-23 13:15:00	0.53	
PHUN	15m	2.27	2025-06-23 13:15:00	2.93	
TIGR	10m	1.63	2025-06-23 13:10:00	7.93	2025-06-23 15:20:00
GOOGL	5m	1.24	2025-06-23 13:10:00	162.65	2025-06-23 14:00:00
AMZN	10m	1.75	2025-06-23 13:10:00	208.69	2025-06-23 13:20:00
MCD	5m	1.21	2025-06-23 13:05:00	286.74	2025-06-23 13:10:00
BABA	30m	2.76	2025-06-23 13:00:00	112.14	2025-06-23 15:30:00
TIGR	15m	2.24	2025-06-23 13:00:00	7.94	2025-06-23 15:30:00
LULU	15m	2.27	2025-06-23 13:00:00	223.31	2025-06-23 14:15:00
JD	10m	1.7	2025-06-23 13:00:00	31.35	2025-06-23 14:00:00
TSM	15m	2.24	2025-06-23 13:00:00	208.93	2025-06-23 13:30:00
SMCI	5m	1.34	2025-06-23 13:00:00	42.06	2025-06-23 13:25:00
INTC	5m	1.24	2025-06-23 13:00:00	20.92	2025-06-23 13:25:00
JD	5m	1.19	2025-06-23 13:00:00	31.33	2025-06-23 13:25:00
BABA	5m	1.12	2025-06-23 13:00:00	111.78	2025-06-23 13:25:00
SOXL	10m	2.13	2025-06-23 13:00:00	20.99	2025-06-23 13:20:00
UPST	10m	1.88	2025-06-23 13:00:00	56.87	2025-06-23 13:20:00
TSM	10m	1.8	2025-06-23 13:00:00	208.86	2025-06-23 13:20:00
MSTR	15m	2.37	2025-06-23 13:00:00	366.64	2025-06-23 13:15:00
NVDA	15m	2.31	2025-06-23 13:00:00	143.84	2025-06-23 13:15:00
QCOM	15m	2.31	2025-06-23 13:00:00	151.26	2025-06-23 13:15:00
QQQ	10m	1.91	2025-06-23 13:00:00	527.78	2025-06-23 13:10:00
QCOM	10m	1.83	2025-06-23 13:00:00	151.02	2025-06-23 13:10:00
NVDA	10m	1.81	2025-06-23 13:00:00	143.74	2025-06-23 13:10:00
LUNR	30m	3.49	2025-06-23 13:00:00	9.87	
MARA	30m	3.47	2025-06-23 13:00:00	13.93	
ACHR	30m	3.29	2025-06-23 13:00:00	9.84	
TLRY	30m	3.12	2025-06-23 13:00:00	0.36	
SBUX	30m	2.98	2025-06-23 13:00:00	92.1	
RR	30m	2.97	2025-06-23 13:00:00	1.78	
LULU	30m	2.85	2025-06-23 13:00:00	223.83	
TIGR	30m	2.72	2025-06-23 13:00:00	7.93	
FUTU	15m	2.37	2025-06-23 13:00:00	112.72	
PHUN	10m	1.94	2025-06-23 13:00:00	2.92	
FUTU	10m	1.69	2025-06-23 13:00:00	112.5	
GOOGL	5m	1.42	2025-06-23 12:40:00	163.49	2025-06-23 14:00:00
SMCI	5m	1.47	2025-06-23 12:40:00	42.04	2025-06-23 13:25:00
INTC	5m	1.4	2025-06-23 12:40:00	20.92	2025-06-23 13:25:00
JD	5m	1.31	2025-06-23 12:40:00	31.36	2025-06-23 13:25:00
BABA	5m	1.26	2025-06-23 12:40:00	111.79	2025-06-23 13:25:00
MSTR	10m	1.89	2025-06-23 12:40:00	364.33	2025-06-23 13:20:00
NVDA	10m	1.88	2025-06-23 12:40:00	143.38	2025-06-23 13:10:00
SBUX	5m	1.22	2025-06-23 12:40:00	91.05	2025-06-23 13:10:00
AAPL	5m	1.27	2025-06-23 12:40:00	200.26	2025-06-23 13:05:00
AAL	5m	1.47	2025-06-23 12:40:00	10.4	2025-06-23 13:00:00
MSTR	5m	1.44	2025-06-23 12:40:00	363.45	2025-06-23 13:00:00
CLS	5m	1.37	2025-06-23 12:40:00	133.12	2025-06-23 13:00:00
ETHA	5m	1.66	2025-06-23 12:35:00	16.8	2025-06-23 13:20:00
ETH	5m	1.89	2025-06-23 12:35:00	20.92	2025-06-23 13:05:00
GME	5m	1.23	2025-06-23 11:55:00	22.86	2025-06-23 13:20:00
QCOM	5m	1.14	2025-06-23 11:45:00	151.36	2025-06-23 13:10:00
TLRY	15m	2.34	2025-06-23 11:15:00	0.36	2025-06-23 15:45:00
PHUN	10m	1.52	2025-06-23 11:10:00	3.0	
TIGR	5m	1.05	2025-06-23 11:05:00	8.02	2025-06-23 14:30:00
DELL	5m	1.07	2025-06-23 11:05:00	118.79	2025-06-23 13:25:00
BABA	30m	2.61	2025-06-23 11:00:00	112.44	2025-06-23 15:30:00
LUNR	15m	2.38	2025-06-23 11:00:00	10.12	2025-06-23 15:30:00
TLRY	10m	1.84	2025-06-23 11:00:00	0.36	2025-06-23 13:30:00
FUTU	5m	1.1	2025-06-23 11:00:00	114.15	2025-06-23 13:20:00
BTC	5m	1.09	2025-06-23 11:00:00	45.18	2025-06-23 13:05:00
MSTR	30m	2.9	2025-06-23 11:00:00	366.9	
SE	30m	2.63	2025-06-23 11:00:00	153.74	
TIGR	5m	1.32	2025-06-23 10:55:00	8.03	2025-06-23 14:30:00
LUNR	10m	1.69	2025-06-23 10:50:00	10.03	2025-06-23 14:30:00
BABA	10m	1.69	2025-06-23 10:50:00	112.29	2025-06-23 13:50:00
FUTU	5m	1.07	2025-06-23 10:50:00	114.11	2025-06-23 13:20:00
BTC	5m	1.05	2025-06-23 10:50:00	45.1	2025-06-23 13:05:00
DUOL	10m	1.65	2025-06-23 10:40:00	467.23	2025-06-23 11:00:00
LULU	15m	2.34	2025-06-23 10:30:00	225.87	2025-06-23 14:15:00
BABA	10m	1.62	2025-06-23 10:30:00	112.38	2025-06-23 13:50:00
SE	15m	2.37	2025-06-23 10:30:00	153.54	2025-06-23 13:30:00
OKLO	5m	1.36	2025-06-23 10:20:00	57.35	2025-06-23 13:25:00
GOOGL	15m	2.18	2025-06-23 10:15:00	166.26	2025-06-23 15:45:00
CLS	5m	1.28	2025-06-23 10:15:00	133.85	2025-06-23 11:05:00
BABA	10m	1.7	2025-06-23 10:10:00	112.44	2025-06-23 13:50:00
SE	10m	1.69	2025-06-23 10:10:00	153.02	2025-06-23 13:10:00
OKLO	5m	1.21	2025-06-23 10:05:00	57.72	2025-06-23 13:25:00
GOOGL	10m	1.79	2025-06-23 10:00:00	166.31	2025-06-23 15:20:00
MARA	15m	2.56	2025-06-23 10:00:00	14.36	2025-06-23 14:30:00
LUNR	10m	2.2	2025-06-23 10:00:00	10.11	2025-06-23 14:30:00
CLSK	10m	1.88	2025-06-23 10:00:00	8.93	2025-06-23 14:00:00
TLRY	10m	1.7	2025-06-23 10:00:00	0.36	2025-06-23 13:30:00
AAL	30m	3.02	2025-06-23 10:00:00	10.57	2025-06-23 13:00:00
AAL	15m	2.57	2025-06-23 10:00:00	10.55	2025-06-23 13:00:00
DIS	10m	1.67	2025-06-23 10:00:00	116.9	2025-06-23 13:00:00
U	10m	2.05	2025-06-23 10:00:00	23.08	2025-06-23 10:10:00
PHUN	5m	1.3	2025-06-23 10:00:00	3.01	2025-06-23 10:10:00
SERV	15m	2.69	2025-06-23 10:00:00	10.63	2025-06-23 10:00:00
AAL	10m	2.26	2025-06-23 10:00:00	10.6	2025-06-23 10:00:00
U	5m	1.44	2025-06-23 10:00:00	23.03	2025-06-23 10:00:00
OPEN	30m	3.7	2025-06-23 10:00:00	0.55	
SERV	30m	3.18	2025-06-23 10:00:00	10.62	
PHUN	15m	3.09	2025-06-23 10:00:00	3.05	
MARA	30m	3.01	2025-06-23 10:00:00	14.35	
RR	30m	2.79	2025-06-23 10:00:00	1.79	
RR	15m	2.4	2025-06-23 10:00:00	1.79	
PHUN	10m	2.36	2025-06-23 10:00:00	3.02	
ALAB	10m	1.93	2025-06-23 10:00:00	93.45	
IBIT	5m	1.39	2025-06-23 09:55:00	58.21	2025-06-23 13:05:00
BTC	5m	1.29	2025-06-23 09:55:00	45.38	2025-06-23 13:05:00
MSTR	5m	1.24	2025-06-23 09:55:00	367.21	2025-06-23 11:15:00
RDDT	5m	1.3	2025-06-23 09:55:00	137.79	2025-06-23 10:40:00
SE	5m	1.15	2025-06-23 09:55:00	152.97	2025-06-23 10:40:00
HOLO	5m	1.41	2025-06-23 09:55:00	4.6	2025-06-23 10:15:00
OKLO	5m	1.16	2025-06-23 09:50:00	57.82	2025-06-23 13:25:00
SOFI	10m	1.88	2025-06-23 09:50:00	15.17	2025-06-23 13:20:00
RR	10m	1.75	2025-06-23 09:50:00	1.78	2025-06-23 11:30:00
GOOGL	5m	1.2	2025-06-23 09:50:00	165.63	2025-06-23 10:40:00
MARA	10m	2.02	2025-06-23 09:50:00	14.19	2025-06-23 10:10:00
SERV	10m	2.18	2025-06-23 09:50:00	10.44	2025-06-23 10:00:00
FNGB	10m	1.94	2025-06-23 09:50:00	20.58	2025-06-23 10:00:00
NVDA	10m	1.72	2025-06-23 09:50:00	143.58	2025-06-23 10:00:00
SERV	5m	1.64	2025-06-23 09:50:00	10.45	2025-06-23 10:00:00
SOFI	5m	1.36	2025-06-23 09:50:00	15.16	2025-06-23 10:00:00
AAL	5m	1.33	2025-06-23 09:50:00	10.52	2025-06-23 10:00:00
MSTR	5m	1.46	2025-06-23 09:45:00	368.75	2025-06-23 11:15:00
OPEN	5m	1.79	2025-06-23 09:45:00	0.53	2025-06-23 10:10:00
RR	5m	1.27	2025-06-23 09:45:00	1.77	2025-06-23 10:05:00
AMZN	5m	1.18	2025-06-23 09:45:00	208.88	2025-06-23 10:00:00
OKLO	5m	1.68	2025-06-23 09:40:00	58.33	2025-06-23 13:25:00
GME	5m	1.32	2025-06-23 09:40:00	23.26	2025-06-23 13:20:00
CLS	5m	1.62	2025-06-23 09:40:00	134.25	2025-06-23 11:05:00
SE	5m	1.39	2025-06-23 09:40:00	153.05	2025-06-23 10:40:00
PHUN	5m	2.0	2025-06-23 09:40:00	3.01	2025-06-23 10:10:00
BILI	10m	1.71	2025-06-23 09:40:00	19.82	2025-06-23 10:00:00
SOFI	5m	1.58	2025-06-23 09:40:00	15.12	2025-06-23 10:00:00
NVDA	5m	1.29	2025-06-23 09:40:00	143.38	2025-06-23 10:00:00
BILI	5m	1.17	2025-06-23 09:40:00	19.79	2025-06-23 09:50:00
DUOL	5m	1.97	2025-06-23 09:40:00	468.83	2025-06-23 09:45:00
SNOW	5m	1.24	2025-06-23 09:40:00	211.17	2025-06-23 09:45:00
UPST	5m	1.63	2025-06-23 09:40:00	57.97	2025-06-23 09:40:00
SHOP	5m	1.35	2025-06-23 09:40:00	106.38	2025-06-23 09:40:00
APP	5m	1.48	2025-06-23 09:35:00	324.96	2025-06-23 09:40:00
DXYZ	15m	3.04	2025-06-23 09:30:00	37.82	2025-06-23 09:45:00
JD	5m	1.93	2025-06-23 09:30:00	31.51	2025-06-23 09:40:00
DXYZ	30m	5.68	2025-06-23 09:30:00	40.0	2025-06-23 09:30:00
DJT	10m	3.52	2025-06-23 09:30:00	18.52	2025-06-23 09:30:00
DJT	5m	3.34	2025-06-23 09:30:00	18.52	2025-06-23 09:30:00
INTC	10m	2.78	2025-06-23 09:30:00	21.34	2025-06-23 09:30:00
DJT	30m	3.92	2025-06-23 09:30:00	18.41	
FNGB	5m	2.06	2025-06-20 15:55:00	20.67	2025-06-23 10:00:00
RGTI	10m	2.22	2025-06-20 15:50:00	11.08	2025-06-23 14:10:00
TLRY	10m	2.64	2025-06-20 15:50:00	0.37	2025-06-23 13:30:00
ASTS	5m	1.99	2025-06-20 15:50:00	46.02	2025-06-23 09:55:00
XPEV	5m	2.34	2025-06-20 15:50:00	18.27	2025-06-20 15:55:00
PANW	10m	3.71	2025-06-20 15:50:00	199.24	2025-06-20 15:50:00
XPEV	10m	3.57	2025-06-20 15:50:00	18.33	2025-06-20 15:50:00
RIVN	5m	2.2	2025-06-20 15:50:00	13.56	2025-06-20 15:50:00
BABA	15m	3.14	2025-06-20 15:45:00	112.83	2025-06-23 14:00:00
ADBE	15m	3.57	2025-06-20 15:45:00	376.92	2025-06-23 09:45:00
BABA	5m	1.57	2025-06-20 15:45:00	112.85	2025-06-20 15:50:00
TSM	5m	1.55	2025-06-20 15:45:00	209.12	2025-06-20 15:50:00
MCD	5m	1.46	2025-06-20 15:45:00	286.35	2025-06-20 15:50:00
COST	15m	3.45	2025-06-20 15:45:00	980.28	2025-06-20 15:45:00
BABA	10m	2.07	2025-06-20 15:40:00	112.85	2025-06-23 13:50:00
META	10m	1.76	2025-06-20 15:40:00	682.35	2025-06-23 10:00:00
SMCI	5m	1.43	2025-06-20 15:40:00	44.35	2025-06-20 15:50:00
TIGR	5m	1.47	2025-06-20 15:35:00	8.02	2025-06-20 15:55:00
CAT	5m	1.49	2025-06-20 15:35:00	359.47	2025-06-20 15:45:00
AMZN	5m	1.26	2025-06-20 15:35:00	208.76	2025-06-20 15:40:00
BTC	30m	2.85	2025-06-20 15:30:00	45.76	2025-06-23 15:30:00
IBIT	30m	2.8	2025-06-20 15:30:00	58.69	2025-06-23 15:30:00
MSTR	15m	2.48	2025-06-20 15:30:00	368.95	2025-06-23 13:15:00
META	15m	2.23	2025-06-20 15:30:00	682.13	2025-06-23 10:15:00
QQQ	30m	2.88	2025-06-20 15:30:00	526.7	2025-06-23 10:00:00
TQQQ	30m	2.81	2025-06-20 15:30:00	72.45	2025-06-23 10:00:00
MCD	5m	1.36	2025-06-20 15:30:00	286.33	2025-06-20 15:50:00
SMCI	5m	1.26	2025-06-20 15:30:00	44.31	2025-06-20 15:50:00
MSTR	30m	3.09	2025-06-20 15:30:00	369.77	
META	5m	1.27	2025-06-20 15:25:00	681.99	2025-06-23 10:00:00
CRWD	10m	1.8	2025-06-20 15:20:00	479.64	2025-06-23 10:30:00
CRWD	5m	1.18	2025-06-20 15:20:00	479.08	2025-06-23 10:00:00
PANW	10m	1.78	2025-06-20 15:20:00	198.14	2025-06-20 15:50:00
SMCI	5m	1.22	2025-06-20 15:20:00	44.33	2025-06-20 15:50:00
VRT	10m	1.9	2025-06-20 15:20:00	118.56	2025-06-20 15:30:00
VRT	5m	1.39	2025-06-20 15:20:00	118.48	2025-06-20 15:25:00
FUTU	5m	1.31	2025-06-20 15:15:00	114.43	2025-06-23 09:55:00
ADBE	15m	2.24	2025-06-20 15:15:00	374.36	2025-06-23 09:45:00
JD	5m	1.43	2025-06-20 15:15:00	31.61	2025-06-23 09:40:00
DXYZ	5m	1.21	2025-06-20 15:15:00	37.9	2025-06-23 09:40:00
AA	15m	2.27	2025-06-20 15:15:00	27.94	2025-06-23 09:30:00
TIGR	5m	1.51	2025-06-20 15:15:00	8.02	2025-06-20 15:55:00
TLRY	5m	1.31	2025-06-20 15:10:00	0.37	2025-06-23 13:25:00
DXYZ	10m	1.72	2025-06-20 15:10:00	37.9	2025-06-23 09:40:00
ADBE	10m	1.75	2025-06-20 15:10:00	374.72	2025-06-20 15:50:00
PANW	5m	1.33	2025-06-20 15:10:00	198.13	2025-06-20 15:50:00
SHOP	5m	1.19	2025-06-20 15:10:00	106.07	2025-06-20 15:50:00
ADBE	5m	1.18	2025-06-20 15:10:00	374.45	2025-06-20 15:50:00
RDDT	5m	1.23	2025-06-20 15:10:00	138.98	2025-06-20 15:20:00
RGTI	5m	1.21	2025-06-20 15:05:00	11.1	2025-06-23 11:00:00
MARA	30m	2.71	2025-06-20 15:00:00	14.31	
TEM	30m	2.69	2025-06-20 15:00:00	67.85	
RR	30m	2.66	2025-06-20 15:00:00	1.8	
DIS	15m	2.29	2025-06-20 14:30:00	117.22	2025-06-23 13:15:00
TIGR	15m	2.09	2025-06-20 14:15:00	8.06	2025-06-23 15:30:00
TLRY	5m	1.4	2025-06-20 14:15:00	0.37	2025-06-23 13:25:00
META	15m	2.15	2025-06-20 14:15:00	684.72	2025-06-23 10:15:00
ADBE	15m	2.13	2025-06-20 14:15:00	375.32	2025-06-23 09:45:00
AA	15m	2.13	2025-06-20 14:15:00	28.02	2025-06-23 09:30:00
DJT	5m	1.24	2025-06-20 14:15:00	18.08	2025-06-23 09:30:00
TIGR	5m	1.1	2025-06-20 14:15:00	8.06	2025-06-20 15:55:00
AA	5m	1.18	2025-06-20 14:15:00	28.06	2025-06-20 15:30:00
META	10m	1.77	2025-06-20 14:10:00	685.46	2025-06-23 10:00:00
AA	10m	1.72	2025-06-20 14:10:00	28.06	2025-06-23 09:40:00
DJT	10m	1.79	2025-06-20 14:10:00	18.08	2025-06-23 09:30:00
MARA	15m	2.14	2025-06-20 14:00:00	14.31	2025-06-23 14:30:00
RGTI	10m	1.92	2025-06-20 14:00:00	11.25	2025-06-23 14:10:00
