ticker	date	intervals	signal_price	current_price	current_time	nx_1d	nx_30m
BABA	2025-06-23	1,2,3,4	113.09	113.09	2025-06-23 00:00:00	True	False
DJT	2025-06-23	1,2,3	17.91	17.89	2025-06-23 00:00:00	False	False
RR	2025-06-23	1,2,3	1.79	1.78	2025-06-23 00:00:00	True	False
CRM	2025-06-20	1,2,3,4	260.6	263.41	2025-06-23 00:00:00	False	False
DJT	2025-06-18	1,2,3	18.58	17.89	2025-06-23 00:00:00	False	False
RIVN	2025-06-18	1,2,3,4	13.79	13.65	2025-06-23 00:00:00	True	False
OPEN	2025-06-17	1,2,3,4	0.57	0.53	2025-06-23 00:00:00	False	False
ALAB	2025-06-16	1,2,3	96.21	85.95	2025-06-23 00:00:00	True	True
BABA	2025-06-16	2,3,4	116.51	113.09	2025-06-23 00:00:00	True	False
CRM	2025-06-16	2,3,4	263.8	263.41	2025-06-23 00:00:00	False	False
HOLO	2025-06-16	1,2,3	4.33	4.52	2025-06-23 00:00:00	False	False
QMCO	2025-06-16	1,2,3	10.38	8.19	2025-06-23 00:00:00	False	False
RIVN	2025-06-16	1,2,3,4	13.94	13.65	2025-06-23 00:00:00	True	False
OPEN	2025-06-11	1,2,3,4	0.62	0.53	2025-06-23 00:00:00	False	False
SH	2025-06-11	1,2,3,4	41.16	41.23	2025-06-23 00:00:00	False	False
SQQQ	2025-06-11	1,2,3	22.17	22.12	2025-06-23 00:00:00	False	False
HOLO	2025-06-10	1,2,3,4	4.85	4.52	2025-06-23 00:00:00	False	False
OPEN	2025-06-10	1,2,3	0.6	0.53	2025-06-23 00:00:00	False	False
SH	2025-06-10	1,2,3	41.19	41.23	2025-06-23 00:00:00	False	False
COIN	2025-06-09	1,2,3	254.48	307.59	2025-06-23 00:00:00	True	True
HOLO	2025-06-09	1,2,3,4	4.83	4.52	2025-06-23 00:00:00	False	False
SH	2025-06-09	1,2,3	41.28	41.23	2025-06-23 00:00:00	False	False
COIN	2025-06-06	1,2,3	251.9	307.59	2025-06-23 00:00:00	True	False
DJT	2025-06-06	1,2,4	20.89	17.89	2025-06-23 00:00:00	False	False
DUO	2025-06-06	1,2,3,4	3.2	2.36	2025-06-23 00:00:00	False	False
SOUN	2025-06-06	1,2,3	9.91	9.49	2025-06-23 00:00:00	False	False
TLRY	2025-06-06	1,3,4	0.4	0.36	2025-06-23 00:00:00	False	False
SH	2025-06-05	1,2,3	41.74	41.23	2025-06-23 00:00:00	False	False
SQQQ	2025-06-05	1,2,3	23.03	22.12	2025-06-23 00:00:00	False	False
HOLO	2025-06-04	2,3,4	5.65	4.52	2025-06-23 00:00:00	False	False
JD	2025-06-02	1,3,4	32.67	31.59	2025-06-23 00:00:00	False	True
JD	2025-05-29	1,3,4	32.99	31.59	2025-06-23 00:00:00	False	True
HOLO	2025-05-27	1,2,3	5.78	4.52	2025-06-23 00:00:00	False	False
LLY	2025-05-27	1,2,3,4	727.28	770.64	2025-06-23 00:00:00	False	True
LLY	2025-05-15	1,2,3	735.4	770.64	2025-06-23 00:00:00	False	
OPEN	2025-05-14	1,2,3,4	0.75	0.53	2025-06-23 00:00:00	False	
TLRY	2025-05-12	2,3,4	0.45	0.36	2025-06-23 00:00:00	False	
TLRY	2025-05-08	2,3,4	0.44	0.36	2025-06-23 00:00:00	False	
SQQQ	2025-05-05	1,2,3	28.84	22.12	2025-06-23 00:00:00	True	
SQQQ	2025-05-02	1,2,3	28.46	22.12	2025-06-23 00:00:00	True	
MLGO	2025-05-01	1,2,3	4.87	0.65	2025-06-23 00:00:00	False	
SQQQ	2025-05-01	1,2,3	30.01	22.12	2025-06-23 00:00:00	True	
JD	2025-04-28	1,2,3,4	32.51	31.59	2025-06-23 00:00:00	False	
JD	2025-04-25	1,2,3	32.54	31.59	2025-06-23 00:00:00	False	
HIMS	2025-04-23	1,2,3	27.05	41.98	2025-06-23 00:00:00	False	
QUBT	2025-04-23	1,2,3,4	6.47	17.5	2025-06-23 00:00:00	False	
AAL	2025-04-22	2,3,4	9.31	10.9	2025-06-23 00:00:00	False	
AMZN	2025-04-22	1,2,3,4	176.58	208.47	2025-06-23 00:00:00	False	
CRM	2025-04-22	2,3,4	243.38	263.41	2025-06-23 00:00:00	False	
HIMS	2025-04-22	1,2,3	26.38	41.98	2025-06-23 00:00:00	False	
META	2025-04-22	1,2,3,4	494.75	698.53	2025-06-23 00:00:00	False	
QBTS	2025-04-22	1,2,3,4	6.26	14.94	2025-06-23 00:00:00	True	
QMCO	2025-04-22	1,2,3	9.92	8.19	2025-06-23 00:00:00	False	
OPEN	2025-04-17	1,2,3	0.94	0.53	2025-06-23 00:00:00	False	
SOL	2025-04-17	1,2,3	1.23	1.88	2025-06-23 00:00:00	False	
OPEN	2025-04-16	1,2,3	0.95	0.53	2025-06-23 00:00:00	False	
SOL	2025-04-16	1,2,3	1.19	1.88	2025-06-23 00:00:00	False	
SOL	2025-04-15	1,2,3	1.29	1.88	2025-06-23 00:00:00	False	
CLSK	2025-04-09	1,2,3	7.11	8.85	2025-06-23 00:00:00	False	
NBIS	2025-04-09	1,2,3	21.15	47.48	2025-06-23 00:00:00	False	
RR	2025-04-09	2,3,4	1.9	1.78	2025-06-23 00:00:00	True	
SOUN	2025-04-09	1,2,3	8.62	9.49	2025-06-23 00:00:00	False	
MSTR	2025-04-08	1,2,3	278.76	367.18	2025-06-23 00:00:00	False	
HIMS	2025-04-07	1,2,3	27.38	41.98	2025-06-23 00:00:00	False	
