ticker	date	score	signal_price	nx_1d
AMH	2025-06-13	3	36.38	True
GDDY	2025-06-13	3	176.83	False
GO	2025-06-13	4	13.55	False
TJX	2025-06-13	3	124.78	True
VMC	2025-06-13	4	263.27	True
WAT	2025-06-13	3	348.19	False
AFL	2025-06-12	4	102.62	False
ALLE	2025-06-12	4	138.58	True
BJ	2025-06-12	3	108.8	True
BRBR	2025-06-12	4	60.1	False
CAG	2025-06-12	3	22.27	False
CLX	2025-06-12	4	126.74	False
CNP	2025-06-12	3	36.19	True
EG	2025-06-12	3	339.8	False
FRPT	2025-06-12	3	77.27	False
PPC	2025-06-12	4	45.75	True
SAM	2025-06-12	3	214.43	False
SLM	2025-06-12	3	31.57	True
STZ	2025-06-12	4	169.73	False
TSN	2025-06-12	3	55.47	False
VMC	2025-06-12	3	265.56	True
AGO	2025-06-11	4	84.01	False
CCI	2025-06-11	3	99.41	True
FRPT	2025-06-11	3	77.35	False
LAZ	2025-06-11	4	43.81	False
OKTA	2025-06-11	3	101.43	True
OPEN	2025-06-11	4	0.62	False
SLM	2025-06-11	3	31.67	True
SQQQ	2025-06-11	3	22.17	False
STZ	2025-06-11	3	169.03	False
WIMI	2025-06-11	3	2.53	False
BRBR	2025-06-10	4	61.08	False
CCI	2025-06-10	3	100.37	True
CLX	2025-06-10	4	127.89	False
ELS	2025-06-10	3	63.49	False
FRPT	2025-06-10	3	78.94	False
HOLO	2025-06-10	4	4.85	False
JNPR	2025-06-10	4	35.92	False
OPEN	2025-06-10	3	0.6	False
ORLY	2025-06-10	4	91.78	True
POOL	2025-06-10	3	306.95	False
VTR	2025-06-10	4	63.37	False
CLX	2025-06-09	4	127.94	False
CNA	2025-06-09	3	46.48	True
COIN	2025-06-09	3	254.48	True
ELS	2025-06-09	3	62.56	False
HOLO	2025-06-09	4	4.83	False
MAA	2025-06-09	4	151.08	False
QDEL	2025-06-09	4	30.33	False
WIMI	2025-06-09	3	2.62	False
CI	2025-06-06	3	311.98	True
CNA	2025-06-06	3	47.12	True
COIN	2025-06-06	3	251.86	True
DJT	2025-06-06	3	20.89	False
DUO	2025-06-06	4	3.2	False
HR	2025-06-06	3	14.27	False
IVZ	2025-06-06	3	14.35	False
JNPR	2025-06-06	3	35.9	False
KDP	2025-06-06	4	32.77	False
LII	2025-06-06	3	552.1	False
NEU	2025-06-06	3	642.16	True
NSA	2025-06-06	3	33.58	False
ORI	2025-06-06	3	37.49	True
PB	2025-06-06	3	69.54	False
PFG	2025-06-06	3	76.71	False
PK	2025-06-06	3	10.22	False
PNFP	2025-06-06	3	107.28	False
REYN	2025-06-06	3	21.75	False
RHI	2025-06-06	3	43.87	False
STZ	2025-06-06	3	171.91	False
TLRY	2025-06-06	3	0.4	False
