ticker	date	score	signal_price	nx_1d
金龙鱼 (300999.SZ)	2025-06-11	4	30.12	False
宇通客车 (600066.SS)	2025-06-11	4	24.19	False
中国巨石 (600176.SS)	2025-06-11	4	11.21	False
片仔癀 (600436.SS)	2025-06-11	3	202.42	False
中国中铁 (601390.SS)	2025-06-11	4	5.59	False
长城汽车 (601633.SS)	2025-06-11	3	22.27	False
阿特斯 (688472.SS)	2025-06-11	3	8.75	False
宇通客车 (600066.SS)	2025-06-10	4	24.09	False
建设银行 (601939.SS)	2025-06-10	3	9.03	True
中科曙光 (603019.SS)	2025-06-10	4	68.09	False
徐工机械 (000425.SZ)	2025-06-09	4	8.01	False
金龙鱼 (300999.SZ)	2025-06-09	4	30.31	False
宇通客车 (600066.SS)	2025-06-09	3	24.25	False
片仔癀 (600436.SS)	2025-06-09	3	203.41	False
建设银行 (601939.SS)	2025-06-09	3	8.95	True
中联重科 (000157.SZ)	2025-06-06	3	7.05	False
徐工机械 (000425.SZ)	2025-06-06	4	8.03	False
北新建材 (000786.SZ)	2025-06-06	3	28.18	False
三一重工 (600031.SS)	2025-06-06	3	18.48	True
宇通客车 (600066.SS)	2025-06-06	3	24.3	False
海南机场 (600515.SS)	2025-06-06	3	3.45	False
建设银行 (601939.SS)	2025-06-06	3	8.99	True
古井贡酒 (000596.SZ)	2025-06-05	4	149.95	False
恒立液压 (601100.SS)	2025-06-05	3	69.17	False
长城汽车 (601633.SS)	2025-06-05	3	22.54	False
潞安环能 (601699.SS)	2025-06-05	4	10.76	False
今世缘 (603369.SS)	2025-06-05	3	43.63	False
万  科Ａ (000002.SZ)	2025-06-04	4	6.61	False
中联重科 (000157.SZ)	2025-06-04	3	7.07	False
北新建材 (000786.SZ)	2025-06-04	4	28.33	False
盐湖股份 (000792.SZ)	2025-06-04	3	15.96	False
晶盛机电 (300316.SZ)	2025-06-04	3	27.17	False
润泽科技 (300442.SZ)	2025-06-04	3	43.76	False
国电南瑞 (600406.SS)	2025-06-04	4	21.87	False
海螺水泥 (600585.SS)	2025-06-04	3	22.98	False
宝信软件 (600845.SS)	2025-06-04	3	25.26	False
恒立液压 (601100.SS)	2025-06-04	3	67.0	False
潞安环能 (601699.SS)	2025-06-04	4	10.91	False
今世缘 (603369.SS)	2025-06-04	3	44.05	False
福斯特 (603806.SS)	2025-06-04	3	12.17	False
晶科能源 (688223.SS)	2025-06-04	3	5.15	False
阿特斯 (688472.SS)	2025-06-04	4	8.91	False
紫光国微 (002049.SZ)	2025-06-03	3	64.0	False
宝信软件 (600845.SS)	2025-06-03	4	25.09	False
招商证券 (600999.SS)	2025-06-03	3	16.29	False
首创证券 (601136.SS)	2025-06-03	3	18.83	False
今世缘 (603369.SS)	2025-06-03	3	43.84	False
国电南瑞 (600406.SS)	2025-05-30	3	22.27	False
恒立液压 (601100.SS)	2025-05-30	4	68.18	False
东方雨虹 (002271.SZ)	2025-05-29	4	11.04	False
洋河股份 (002304.SZ)	2025-05-29	3	66.01	False
北方华创 (002371.SZ)	2025-05-29	4	425.24	True
芒果超媒 (300413.SZ)	2025-05-29	3	22.34	False
圣邦股份 (300661.SZ)	2025-05-29	4	93.38	True
卓胜微 (300782.SZ)	2025-05-29	3	71.22	False
海螺水泥 (600585.SS)	2025-05-29	3	23.12	False
宝信软件 (600845.SS)	2025-05-29	3	25.49	False
招商证券 (600999.SS)	2025-05-29	3	16.31	False
恒立液压 (601100.SS)	2025-05-29	4	68.65	True
今世缘 (603369.SS)	2025-05-29	3	44.54	False
中国通号 (688009.SS)	2025-05-29	4	5.07	False
中微公司 (688012.SS)	2025-05-29	4	175.8	False
传音控股 (688036.SS)	2025-05-29	4	74.4	False
金山办公 (688111.SS)	2025-05-29	3	284.45	False
天合光能 (688599.SS)	2025-05-29	3	13.51	False
潍柴动力 (000338.SZ)	2025-05-28	3	15.01	True
一汽解放 (000800.SZ)	2025-05-28	3	7.23	False
龙佰集团 (002601.SZ)	2025-05-28	3	16.39	False
中国交建 (601800.SS)	2025-05-28	4	8.76	False
中国通号 (688009.SS)	2025-05-28	3	5.04	False
传音控股 (688036.SS)	2025-05-28	4	73.19	False
万  科Ａ (000002.SZ)	2025-05-27	3	6.67	False
泸州老窖 (000568.SZ)	2025-05-27	4	119.18	False
招商蛇口 (001979.SZ)	2025-05-27	4	8.71	False
东方雨虹 (002271.SZ)	2025-05-27	3	11.13	False
卓胜微 (300782.SZ)	2025-05-27	4	70.48	False
保利发展 (600048.SS)	2025-05-27	4	8.1	False
中国通号 (688009.SS)	2025-05-27	3	5.05	False
新 希 望 (000876.SZ)	2025-05-26	4	9.55	True
紫光股份 (000938.SZ)	2025-05-26	3	24.08	False
紫光国微 (002049.SZ)	2025-05-26	4	64.46	False
北方华创 (002371.SZ)	2025-05-26	4	432.52	True
卓胜微 (300782.SZ)	2025-05-26	4	70.99	False
传音控股 (688036.SS)	2025-05-26	4	75.02	False
泸州老窖 (000568.SZ)	2025-05-23	3	122.94	False
北方华创 (002371.SZ)	2025-05-23	3	425.67	True
晶澳科技 (002459.SZ)	2025-05-23	3	9.81	False
合盛硅业 (603260.SS)	2025-05-23	4	50.57	False
传音控股 (688036.SS)	2025-05-23	4	75.61	False
三环集团 (300408.SZ)	2025-05-22	4	33.63	False
中信特钢 (000708.SZ)	2025-05-21	3	11.39	False
盐湖股份 (000792.SZ)	2025-05-21	3	16.03	False
山西焦煤 (000983.SZ)	2025-05-21	4	6.4	False
海螺水泥 (600585.SS)	2025-05-21	4	23.76	False
合盛硅业 (603260.SS)	2025-05-21	4	50.98	False
纳思达 (002180.SZ)	2025-05-20	3	22.12	False
泰格医药 (300347.SZ)	2025-05-20	3	45.52	False
润泽科技 (300442.SZ)	2025-05-20	3	45.32	False
卓胜微 (300782.SZ)	2025-05-20	3	72.9	False
海螺水泥 (600585.SS)	2025-05-20	3	23.54	False
青岛啤酒 (600600.SS)	2025-05-20	3	73.12	False
中国中免 (601888.SS)	2025-05-20	4	62.06	False
龙源电力 (001289.SZ)	2025-05-19	3	16.94	True
中国中免 (601888.SS)	2025-05-16	4	62.86	False
科伦药业 (002422.SZ)	2025-05-15	3	34.91	True
科伦药业 (002422.SZ)	2025-05-14	4	33.9	True
中国中免 (601888.SS)	2025-05-14	4	62.58	False
科伦药业 (002422.SZ)	2025-05-13	3	33.89	True
三环集团 (300408.SZ)	2025-05-12	4	34.14	False
华大九天 (301269.SZ)	2025-05-12	4	118.37	True
华大九天 (301269.SZ)	2025-05-09	4	120.02	True
招商公路 (001965.SZ)	2025-05-08	4	12.91	True
招商公路 (001965.SZ)	2025-05-07	4	12.82	True
五 粮 液 (000858.SZ)	2025-05-06	4	129.2	False
山西焦煤 (000983.SZ)	2025-05-06	3	6.45	False
东方雨虹 (002271.SZ)	2025-05-06	3	11.35	False
兖矿能源 (600188.SS)	2025-05-06	3	12.44	False
招商证券 (600999.SS)	2025-05-06	3	16.59	False
中信建投 (601066.SS)	2025-05-06	3	23.41	False
首创证券 (601136.SS)	2025-05-06	4	19.29	False
潞安环能 (601699.SS)	2025-05-06	3	10.98	False
恩捷股份 (002812.SZ)	2025-04-30	3	27.52	False
润泽科技 (300442.SZ)	2025-04-30	3	47.79	False
华鲁恒升 (600426.SS)	2025-04-30	3	20.3	False
宝信软件 (600845.SS)	2025-04-30	3	26.74	False
金山办公 (688111.SS)	2025-04-30	3	292.76	False
晶盛机电 (300316.SZ)	2025-04-29	4	27.55	False
宝钢股份 (600019.SS)	2025-04-25	4	6.61	False
传音控股 (688036.SS)	2025-04-24	3	81.97	False
华域汽车 (600741.SS)	2025-04-23	3	16.37	False
恒立液压 (601100.SS)	2025-04-18	4	69.06	True
巨化股份 (600160.SS)	2025-04-11	3	23.58	True
北新建材 (000786.SZ)	2025-04-09	4	29.36	False
芒果超媒 (300413.SZ)	2025-04-09	3	27.75	False
润泽科技 (300442.SZ)	2025-04-09	4	51.57	True
中国联通 (600050.SS)	2025-04-09	4	5.46	True
中国卫通 (601698.SS)	2025-04-09	3	19.16	False
海光信息 (688041.SS)	2025-04-09	4	139.66	True
金山办公 (688111.SS)	2025-04-09	4	301.76	False
寒武纪 (688256.SS)	2025-04-09	4	609.6	True
古井贡酒 (000596.SZ)	2025-04-08	3	169.01	False
北新建材 (000786.SZ)	2025-04-08	3	29.0	False
招商蛇口 (001979.SZ)	2025-04-08	4	9.39	False
上海莱士 (002252.SZ)	2025-04-08	3	6.97	False
海大集团 (002311.SZ)	2025-04-08	3	50.2	True
中国联通 (600050.SS)	2025-04-08	3	5.34	True
北方稀土 (600111.SS)	2025-04-08	3	23.52	True
巨化股份 (600160.SS)	2025-04-08	3	23.63	True
北方稀土 (600111.SS)	2025-04-03	3	22.84	True
