ticker	date	intervals	signal_price	current_price	current_time	nx_1h
AAL	2025-06-23	5,10,15,30	10.4	10.9	2025-06-23 00:00:00	False
AAPL	2025-06-23	5,10,15,30	200.26	201.5	2025-06-23 00:00:00	False
APP	2025-06-23	5,10,15	324.96	335.4	2025-06-23 00:00:00	False
BABA	2025-06-23	5,10,15,30	112.14	113.09	2025-06-23 00:00:00	False
BILI	2025-06-23	5,10,15	19.82	19.91	2025-06-23 00:00:00	True
CLSK	2025-06-23	10,15,30	8.65	8.85	2025-06-23 00:00:00	False
DIS	2025-06-23	5,10,15	116.9	117.75	2025-06-23 00:00:00	True
DJT	2025-06-23	5,10,15,30	17.85	17.89	2025-06-23 00:00:00	False
DXYZ	2025-06-23	5,10,15,30	37.82	39.43	2025-06-23 00:00:00	False
FUTU	2025-06-23	5,10,15	112.72	112.75	2025-06-23 00:00:00	True
GOOGL	2025-06-23	5,10,15	162.91	165.19	2025-06-23 00:00:00	False
HOLO	2025-06-23	5,10,15,30	4.6	4.52	2025-06-23 00:00:00	False
JD	2025-06-23	5,10,15	31.42	31.59	2025-06-23 00:00:00	False
LULU	2025-06-23	5,10,15,30	223.31	225.56	2025-06-23 00:00:00	False
LUNR	2025-06-23	5,10,15,30	9.87	10.0	2025-06-23 00:00:00	False
MARA	2025-06-23	5,10,15,30	13.93	14.18	2025-06-23 00:00:00	False
MCD	2025-06-23	5,10,15	286.74	289.52	2025-06-23 00:00:00	False
MSTR	2025-06-23	5,10,15,30	366.64	367.18	2025-06-23 00:00:00	False
NVDA	2025-06-23	5,10,15	143.84	144.17	2025-06-23 00:00:00	True
OKLO	2025-06-23	5,10,15	57.35	55.11	2025-06-23 00:00:00	True
OPEN	2025-06-23	5,15,30	0.53	0.53	2025-06-23 00:00:00	False
PHUN	2025-06-23	5,10,15,30	2.88	2.86	2025-06-23 00:00:00	False
QCOM	2025-06-23	5,10,15,30	151.26	153.14	2025-06-23 00:00:00	False
QQQ	2025-06-23	5,10,15,30	527.78	531.65	2025-06-23 00:00:00	True
RR	2025-06-23	5,10,15,30	1.78	1.78	2025-06-23 00:00:00	False
SE	2025-06-23	5,10,15,30	153.74	153.52	2025-06-23 00:00:00	False
SERV	2025-06-23	5,10,15,30	10.32	10.26	2025-06-23 00:00:00	False
SHOP	2025-06-23	5,10,15,30	106.38	109.98	2025-06-23 00:00:00	True
SOUN	2025-06-23	10,15,30	9.36	9.49	2025-06-23 00:00:00	False
SOXL	2025-06-23	5,10,15	20.99	21.58	2025-06-23 00:00:00	True
TEM	2025-06-23	5,10,15,30	65.9	65.65	2025-06-23 00:00:00	True
TIGR	2025-06-23	5,10,15,30	7.93	8.03	2025-06-23 00:00:00	False
TLRY	2025-06-23	5,10,15,30	0.36	0.36	2025-06-23 00:00:00	False
TSM	2025-06-23	5,10,15	208.93	210.32	2025-06-23 00:00:00	True
U	2025-06-23	5,10,30	23.08	23.3	2025-06-23 00:00:00	False
AA	2025-06-20	5,10,15	27.94	28.71	2025-06-23 00:00:00	True
ADBE	2025-06-20	5,10,15,30	376.92	380.12	2025-06-23 00:00:00	False
APP	2025-06-20	5,10,15,30	323.54	335.4	2025-06-23 00:00:00	False
ASML	2025-06-20	5,10,15,30	764.88	779.72	2025-06-23 00:00:00	False
BABA	2025-06-20	5,10,15	112.83	113.09	2025-06-23 00:00:00	False
BILI	2025-06-20	5,10,15	19.79	19.91	2025-06-23 00:00:00	True
BTC	2025-06-20	5,10,30	45.76	45.74	2025-06-23 00:00:00	False
COST	2025-06-20	5,10,15,30	980.28	1004.48	2025-06-23 00:00:00	False
DIS	2025-06-20	5,10,15	117.22	117.75	2025-06-23 00:00:00	True
DJT	2025-06-20	5,10,15	18.08	17.89	2025-06-23 00:00:00	False
DUOL	2025-06-20	5,10,15	467.6	448.54	2025-06-23 00:00:00	False
DXYZ	2025-06-20	5,10,15	37.9	39.43	2025-06-23 00:00:00	False
IBIT	2025-06-20	5,10,30	58.69	58.67	2025-06-23 00:00:00	False
LI	2025-06-20	5,10,15	25.99	28.08	2025-06-23 00:00:00	False
LULU	2025-06-20	5,10,15,30	228.65	225.56	2025-06-23 00:00:00	False
MARA	2025-06-20	5,10,15,30	14.31	14.18	2025-06-23 00:00:00	False
MCD	2025-06-20	5,10,15	286.35	289.52	2025-06-23 00:00:00	False
META	2025-06-20	5,10,15	682.35	698.53	2025-06-23 00:00:00	True
MSTR	2025-06-20	5,10,15,30	368.95	367.18	2025-06-23 00:00:00	False
NBIS	2025-06-20	5,10,30	48.51	47.48	2025-06-23 00:00:00	True
PHUN	2025-06-20	5,10,15,30	3.05	2.86	2025-06-23 00:00:00	False
PLTR	2025-06-20	5,10,30	138.49	139.92	2025-06-23 00:00:00	True
PYPL	2025-06-20	5,15,30	69.94	72.01	2025-06-23 00:00:00	False
QCOM	2025-06-20	5,10,15,30	153.59	153.14	2025-06-23 00:00:00	False
QMCO	2025-06-20	5,10,15,30	9.98	8.19	2025-06-23 00:00:00	False
QQQ	2025-06-20	5,10,15,30	526.7	531.65	2025-06-23 00:00:00	True
RGTI	2025-06-20	5,10,15,30	11.08	10.79	2025-06-23 00:00:00	False
RR	2025-06-20	5,10,15,30	1.8	1.78	2025-06-23 00:00:00	False
SE	2025-06-20	5,10,30	154.19	153.52	2025-06-23 00:00:00	False
SERV	2025-06-20	5,10,15,30	10.63	10.26	2025-06-23 00:00:00	False
SHOP	2025-06-20	5,10,15,30	106.07	109.98	2025-06-23 00:00:00	False
SOUN	2025-06-20	10,15,30	9.33	9.49	2025-06-23 00:00:00	False
SOXL	2025-06-20	5,10,15	22.15	21.58	2025-06-23 00:00:00	True
SPY	2025-06-20	5,10,15	594.04	600.15	2025-06-23 00:00:00	True
TEM	2025-06-20	5,10,15,30	67.85	65.65	2025-06-23 00:00:00	True
TIGR	2025-06-20	5,10,15,30	8.02	8.03	2025-06-23 00:00:00	False
TLRY	2025-06-20	5,10,15,30	0.37	0.36	2025-06-23 00:00:00	False
TQQQ	2025-06-20	5,10,15,30	72.45	74.7	2025-06-23 00:00:00	True
TSM	2025-06-20	5,10,15	209.12	210.32	2025-06-23 00:00:00	True
XIACY	2025-06-20	5,10,15	34.35	35.0	2025-06-23 00:00:00	True
XPEV	2025-06-20	5,10,15,30	18.27	19.17	2025-06-23 00:00:00	False
AAPL	2025-06-18	10,15,30	196.25	201.5	2025-06-23 00:00:00	False
ADBE	2025-06-18	5,10,15,30	380.52	380.12	2025-06-23 00:00:00	False
APP	2025-06-18	5,15,30	340.9	335.4	2025-06-23 00:00:00	False
ASML	2025-06-18	5,10,15,30	761.53	779.72	2025-06-23 00:00:00	True
AVGO	2025-06-18	5,10,15	251.4	253.77	2025-06-23 00:00:00	True
BA	2025-06-18	5,10,15	197.82	201.31	2025-06-23 00:00:00	False
COST	2025-06-18	5,10,15,30	977.54	1004.48	2025-06-23 00:00:00	False
CRM	2025-06-18	5,15,30	259.55	263.41	2025-06-23 00:00:00	False
DIS	2025-06-18	5,10,15	117.87	117.75	2025-06-23 00:00:00	True
DJT	2025-06-18	5,10,15	18.58	17.89	2025-06-23 00:00:00	False
ETH	2025-06-18	10,15,30	23.57	21.81	2025-06-23 00:00:00	False
ETHA	2025-06-18	10,15,30	18.95	17.52	2025-06-23 00:00:00	False
HOLO	2025-06-18	5,10,15,30	4.36	4.52	2025-06-23 00:00:00	False
LI	2025-06-18	5,10,15	26.42	28.08	2025-06-23 00:00:00	False
LLY	2025-06-18	5,10,15	786.86	770.64	2025-06-23 00:00:00	True
LULU	2025-06-18	5,10,15,30	231.49	225.56	2025-06-23 00:00:00	False
LUNR	2025-06-18	5,10,15,30	10.17	10.0	2025-06-23 00:00:00	False
MARA	2025-06-18	5,15,30	14.68	14.18	2025-06-23 00:00:00	False
MCD	2025-06-18	5,10,15,30	289.56	289.52	2025-06-23 00:00:00	False
META	2025-06-18	5,10,15	697.17	698.53	2025-06-23 00:00:00	True
NBIS	2025-06-18	5,10,15	48.16	47.48	2025-06-23 00:00:00	True
OKLO	2025-06-18	5,10,15	61.05	55.11	2025-06-23 00:00:00	True
PYPL	2025-06-18	5,15,30	68.58	72.01	2025-06-23 00:00:00	False
QCOM	2025-06-18	5,10,15,30	153.67	153.14	2025-06-23 00:00:00	True
QMCO	2025-06-18	5,10,15,30	9.71	8.19	2025-06-23 00:00:00	False
QQQ	2025-06-18	5,10,15	529.76	531.65	2025-06-23 00:00:00	True
RGTI	2025-06-18	5,10,15	11.37	10.79	2025-06-23 00:00:00	False
RR	2025-06-18	5,10,15,30	1.9	1.78	2025-06-23 00:00:00	False
SERV	2025-06-18	5,10,15,30	10.75	10.26	2025-06-23 00:00:00	False
SHOP	2025-06-18	5,10,15,30	106.52	109.98	2025-06-23 00:00:00	False
SOXL	2025-06-18	5,10,15	21.62	21.58	2025-06-23 00:00:00	True
TEM	2025-06-18	5,10,15	69.0	65.65	2025-06-23 00:00:00	True
TIGR	2025-06-18	5,10,15,30	8.35	8.03	2025-06-23 00:00:00	False
TLRY	2025-06-18	5,10,15	0.38	0.36	2025-06-23 00:00:00	False
TQQQ	2025-06-18	5,10,15	73.79	74.7	2025-06-23 00:00:00	True
TSM	2025-06-18	5,10,15	213.73	210.32	2025-06-23 00:00:00	True
U	2025-06-18	10,15,30	23.87	23.3	2025-06-23 00:00:00	False
XPEV	2025-06-18	5,10,15,30	18.64	19.17	2025-06-23 00:00:00	False
AMD	2025-06-17	5,10,15	127.04	129.58	2025-06-23 00:00:00	True
APP	2025-06-17	5,10,15,30	362.68	335.4	2025-06-23 00:00:00	False
ASML	2025-06-17	5,10,15	759.71	779.72	2025-06-23 00:00:00	True
AVGO	2025-06-17	5,10,15	249.16	253.77	2025-06-23 00:00:00	True
BA	2025-06-17	5,10,15	201.36	201.31	2025-06-23 00:00:00	False
BABA	2025-06-17	5,10,15	115.7	113.09	2025-06-23 00:00:00	False
COST	2025-06-17	5,10,15,30	979.0	1004.48	2025-06-23 00:00:00	False
DIS	2025-06-17	5,10,15	117.74	117.75	2025-06-23 00:00:00	True
DJT	2025-06-17	5,10,15,30	18.57	17.89	2025-06-23 00:00:00	False
