ticker	date	score	signal_price	nx_1h
山东矿机 (002526.SZ)	2025-06-13	3	3.84	True
三一重工 (600031.SS)	2025-06-13	4	17.77	False
中国联通 (600050.SS)	2025-06-13	3	5.26	False
山西汾酒 (600809.SS)	2025-06-13	3	170.74	False
伊利股份 (600887.SS)	2025-06-13	4	28.03	False
中国移动 (600941.SS)	2025-06-13	4	112.07	False
中国神华 (601088.SS)	2025-06-13	3	39.12	False
中国中铁 (601390.SS)	2025-06-13	3	5.54	False
海天味业 (603288.SS)	2025-06-13	4	40.73	False
韦尔股份 (603501.SS)	2025-06-13	4	125.5	False
金山办公 (688111.SS)	2025-06-13	3	269.81	False
寒武纪 (688256.SS)	2025-06-13	3	602.92	False
中芯国际 (688981.SS)	2025-06-13	4	81.85	False
神剑股份 (002361.SZ)	2025-06-12	4	6.06	False
山东矿机 (002526.SZ)	2025-06-12	3	3.92	True
三一重工 (600031.SS)	2025-06-12	4	17.83	False
中国联通 (600050.SS)	2025-06-12	3	5.28	False
通威股份 (600438.SS)	2025-06-12	4	15.93	False
贵州茅台 (600519.SS)	2025-06-12	4	1471.05	False
山西汾酒 (600809.SS)	2025-06-12	4	173.76	False
伊利股份 (600887.SS)	2025-06-12	4	28.2	False
中国移动 (600941.SS)	2025-06-12	4	111.62	False
长城汽车 (601633.SS)	2025-06-12	3	22.14	False
中国电信 (601728.SS)	2025-06-12	3	7.64	False
中国核电 (601985.SS)	2025-06-12	3	9.3	False
海天味业 (603288.SS)	2025-06-12	4	41.26	False
韦尔股份 (603501.SS)	2025-06-12	4	125.85	False
中微公司 (688012.SS)	2025-06-12	3	167.09	False
金山办公 (688111.SS)	2025-06-12	3	275.01	False
中芯国际 (688981.SS)	2025-06-12	4	82.27	False
贵州茅台 (600519.SS)	2025-06-11	4	1482.03	False
伊利股份 (600887.SS)	2025-06-11	3	28.51	False
陕西煤业 (601225.SS)	2025-06-11	3	20.04	False
中国中铁 (601390.SS)	2025-06-11	3	5.58	False
海天味业 (603288.SS)	2025-06-11	3	41.77	False
三一重工 (600031.SS)	2025-06-10	3	18.16	False
山西汾酒 (600809.SS)	2025-06-10	4	177.21	False
伊利股份 (600887.SS)	2025-06-10	3	28.64	False
中国核电 (601985.SS)	2025-06-10	3	9.45	False
海天味业 (603288.SS)	2025-06-10	3	41.76	False
贵州茅台 (600519.SS)	2025-06-09	3	1489.0	False
陕西煤业 (601225.SS)	2025-06-09	3	20.08	False
中远海控 (601919.SS)	2025-06-09	3	15.92	False
中国银行 (601988.SS)	2025-06-09	3	5.41	False
海天味业 (603288.SS)	2025-06-09	3	42.14	False
神剑股份 (002361.SZ)	2025-06-06	4	6.11	False
爱朋医疗 (300753.SZ)	2025-06-06	3	24.62	True
通威股份 (600438.SS)	2025-06-06	3	16.09	False
贵州茅台 (600519.SS)	2025-06-06	3	1506.4	False
赛力斯 (601127.SS)	2025-06-06	4	133.15	False
陕西煤业 (601225.SS)	2025-06-06	3	20.05	False
三一重工 (600031.SS)	2025-06-05	4	18.23	False
贵州茅台 (600519.SS)	2025-06-05	3	1510.0	False
海尔智家 (600690.SS)	2025-06-05	3	24.74	False
伊利股份 (600887.SS)	2025-06-05	3	30.61	True
赛力斯 (601127.SS)	2025-06-05	4	134.0	True
中国中车 (601766.SS)	2025-06-05	3	7.16	False
中国中免 (601888.SS)	2025-06-05	3	61.3	False
中远海控 (601919.SS)	2025-06-05	3	15.9	True
中国核电 (601985.SS)	2025-06-05	4	9.46	False
博苑股份 (301617.SZ)	2025-06-04	3	35.29	False
三一重工 (600031.SS)	2025-06-04	4	18.3	False
招商银行 (600036.SS)	2025-06-04	3	44.0	True
国电南瑞 (600406.SS)	2025-06-04	4	21.83	False
山西汾酒 (600809.SS)	2025-06-04	4	179.0	False
赛力斯 (601127.SS)	2025-06-04	4	134.09	True
陕西煤业 (601225.SS)	2025-06-04	3	20.12	True
中国中车 (601766.SS)	2025-06-04	3	7.18	False
中国核电 (601985.SS)	2025-06-04	4	9.53	True
韦尔股份 (603501.SS)	2025-06-04	4	124.78	False
盐湖股份 (000792.SZ)	2025-06-03	4	15.84	False
华明装备 (002270.SZ)	2025-06-03	4	15.26	False
博苑股份 (301617.SZ)	2025-06-03	3	35.35	False
中国联通 (600050.SS)	2025-06-03	4	5.32	False
万华化学 (600309.SS)	2025-06-03	4	54.13	False
贵州茅台 (600519.SS)	2025-06-03	4	1514.69	False
伊利股份 (600887.SS)	2025-06-03	3	30.3	True
隆基绿能 (601012.SS)	2025-06-03	3	14.34	False
长城汽车 (601633.SS)	2025-06-03	4	22.4	False
滨化股份 (601678.SS)	2025-06-03	3	4.13	False
中国中车 (601766.SS)	2025-06-03	3	7.21	False
中国核电 (601985.SS)	2025-06-03	4	9.49	True
中国银行 (601988.SS)	2025-06-03	3	5.52	False
韦尔股份 (603501.SS)	2025-06-03	4	124.54	False
坤彩科技 (603826.SS)	2025-06-03	3	19.27	False
金山办公 (688111.SS)	2025-06-03	3	279.02	False
盐湖股份 (000792.SZ)	2025-05-30	4	15.87	False
中文在线 (300364.SZ)	2025-05-30	4	20.4	False
博苑股份 (301617.SZ)	2025-05-30	4	35.1	False
中信证券 (600030.SS)	2025-05-30	3	25.55	False
招商银行 (600036.SS)	2025-05-30	4	43.64	True
中国船舶 (600150.SS)	2025-05-30	4	30.72	False
国电南瑞 (600406.SS)	2025-05-30	3	22.05	False
通威股份 (600438.SS)	2025-05-30	3	16.25	False
贵州茅台 (600519.SS)	2025-05-30	4	1527.95	False
隆基绿能 (601012.SS)	2025-05-30	3	14.42	False
中国平安 (601318.SS)	2025-05-30	3	53.35	True
交通银行 (601328.SS)	2025-05-30	4	7.55	False
长城汽车 (601633.SS)	2025-05-30	3	22.56	False
中国建筑 (601668.SS)	2025-05-30	3	5.63	True
紫金矿业 (601899.SS)	2025-05-30	3	17.77	False
中国银行 (601988.SS)	2025-05-30	3	5.51	False
洛阳钼业 (603993.SS)	2025-05-30	4	7.2	False
寒武纪 (688256.SS)	2025-05-30	4	595.55	False
盐湖股份 (000792.SZ)	2025-05-29	4	15.89	False
爱朋医疗 (300753.SZ)	2025-05-29	3	22.83	True
军信股份 (301109.SZ)	2025-05-29	3	20.77	True
博苑股份 (301617.SZ)	2025-05-29	4	35.85	False
招商银行 (600036.SS)	2025-05-29	4	43.7	True
中国船舶 (600150.SS)	2025-05-29	4	30.69	False
贵州茅台 (600519.SS)	2025-05-29	4	1543.0	False
兴业银行 (601166.SS)	2025-05-29	3	22.61	True
交通银行 (601328.SS)	2025-05-29	3	7.58	False
邮储银行 (601658.SS)	2025-05-29	3	5.29	True
滨化股份 (601678.SS)	2025-05-29	3	4.19	False
金山办公 (688111.SS)	2025-05-29	3	278.31	False
美锦能源 (000723.SZ)	2025-05-28	3	4.19	False
中文在线 (300364.SZ)	2025-05-28	4	20.26	False
爱朋医疗 (300753.SZ)	2025-05-28	4	22.5	False
博苑股份 (301617.SZ)	2025-05-28	4	35.7	False
中信证券 (600030.SS)	2025-05-28	3	25.45	False
招商银行 (600036.SS)	2025-05-28	4	43.7	True
中国船舶 (600150.SS)	2025-05-28	3	30.6	True
万华化学 (600309.SS)	2025-05-28	3	54.95	False
通威股份 (600438.SS)	2025-05-28	4	16.92	False
贵州茅台 (600519.SS)	2025-05-28	4	1540.0	False
山西汾酒 (600809.SS)	2025-05-28	3	189.19	False
中国平安 (601318.SS)	2025-05-28	3	53.44	True
中国中铁 (601390.SS)	2025-05-28	3	5.55	False
工商银行 (601398.SS)	2025-05-28	3	7.04	False
邮储银行 (601658.SS)	2025-05-28	3	5.31	True
中国建筑 (601668.SS)	2025-05-28	3	5.62	True
中微公司 (688012.SS)	2025-05-28	4	171.07	False
金山办公 (688111.SS)	2025-05-28	4	277.2	False
美锦能源 (000723.SZ)	2025-05-27	3	4.16	False
山东矿机 (002526.SZ)	2025-05-27	3	3.63	False
中文在线 (300364.SZ)	2025-05-27	4	20.57	False
爱朋医疗 (300753.SZ)	2025-05-27	4	22.54	False
军信股份 (301109.SZ)	2025-05-27	4	20.67	True
博苑股份 (301617.SZ)	2025-05-27	4	36.32	False
中信证券 (600030.SS)	2025-05-27	3	25.56	False
招商银行 (600036.SS)	2025-05-27	3	43.78	True
中国船舶 (600150.SS)	2025-05-27	3	30.8	True
万华化学 (600309.SS)	2025-05-27	4	55.0	False
通威股份 (600438.SS)	2025-05-27	3	16.92	False
贵州茅台 (600519.SS)	2025-05-27	3	1545.03	False
中国中铁 (601390.SS)	2025-05-27	3	5.56	False
中国石油 (601857.SS)	2025-05-27	3	8.18	True
中微公司 (688012.SS)	2025-05-27	3	173.85	False
中芯国际 (688981.SS)	2025-05-27	3	83.3	False
美锦能源 (000723.SZ)	2025-05-26	3	4.17	False
神剑股份 (002361.SZ)	2025-05-26	4	6.17	True
爱朋医疗 (300753.SZ)	2025-05-26	3	22.93	True
军信股份 (301109.SZ)	2025-05-26	4	20.77	True
中信证券 (600030.SS)	2025-05-26	3	25.57	False
万华化学 (600309.SS)	2025-05-26	3	55.43	False
山西汾酒 (600809.SS)	2025-05-26	4	192.63	False
中国中铁 (601390.SS)	2025-05-26	3	5.57	False
工商银行 (601398.SS)	2025-05-26	3	7.05	False
中国人寿 (601628.SS)	2025-05-26	3	38.65	True
坤彩科技 (603826.SS)	2025-05-26	3	19.51	False
中微公司 (688012.SS)	2025-05-26	3	174.92	False
