ticker	interval	score	signal_date	signal_price	breakthrough_date
SMCI	5m	1.76	2025-07-29 15:55:00	58.63	
RGTI	5m	1.74	2025-07-29 15:55:00	14.48	
BILI	10m	2.68	2025-07-29 15:50:00	22.44	
BILI	5m	2.03	2025-07-29 15:50:00	22.47	
BABA	5m	1.59	2025-07-29 15:50:00	119.26	
SOUN	5m	1.42	2025-07-29 15:50:00	10.7	
BA	15m	2.57	2025-07-29 15:45:00	226.28	
RGTI	5m	1.62	2025-07-29 15:45:00	14.55	
JD	5m	1.48	2025-07-29 15:45:00	32.15	
SPY	5m	1.46	2025-07-29 15:45:00	635.09	
TLRY	5m	1.39	2025-07-29 15:45:00	0.58	
PLTR	5m	1.38	2025-07-29 15:45:00	156.24	
PLTR	10m	2.1	2025-07-29 15:40:00	156.24	
BA	10m	1.96	2025-07-29 15:40:00	226.51	
BA	5m	1.4	2025-07-29 15:40:00	226.1	
SBUX	30m	3.24	2025-07-29 15:30:00	92.95	
UPST	5m	1.34	2025-07-29 15:25:00	81.23	
AAPL	5m	1.3	2025-07-29 15:15:00	211.93	
META	5m	1.27	2025-07-29 15:05:00	707.57	
BA	10m	1.85	2025-07-29 15:00:00	227.23	
BA	5m	1.33	2025-07-29 15:00:00	226.7	
SBUX	10m	2.29	2025-07-29 14:50:00	92.36	2025-07-29 15:40:00
SBUX	5m	1.42	2025-07-29 14:50:00	92.0	2025-07-29 15:10:00
AAL	5m	1.13	2025-07-29 14:50:00	11.47	
SBUX	15m	2.6	2025-07-29 14:45:00	92.36	2025-07-29 15:45:00
LULU	15m	2.18	2025-07-29 14:45:00	215.4	
BA	5m	1.13	2025-07-29 14:45:00	227.09	
MSFT	5m	1.3	2025-07-29 14:40:00	511.91	2025-07-29 15:10:00
LULU	10m	1.67	2025-07-29 14:40:00	215.16	
AAL	5m	1.15	2025-07-29 14:40:00	11.47	
META	5m	1.28	2025-07-29 14:35:00	708.94	
SBUX	5m	1.23	2025-07-29 14:30:00	92.17	2025-07-29 15:10:00
U	30m	2.84	2025-07-29 14:30:00	32.62	
META	10m	1.74	2025-07-29 14:30:00	708.94	
SPY	10m	1.67	2025-07-29 14:30:00	635.74	
SPY	5m	1.18	2025-07-29 14:30:00	635.59	
BA	5m	1.12	2025-07-29 14:25:00	227.48	
LULU	10m	1.62	2025-07-29 14:20:00	215.19	
LULU	5m	1.19	2025-07-29 14:15:00	215.09	2025-07-29 15:00:00
SPY	5m	1.17	2025-07-29 14:15:00	635.66	
SPY	10m	1.66	2025-07-29 14:10:00	635.66	
META	5m	1.15	2025-07-29 14:10:00	709.09	
MARA	30m	2.7	2025-07-29 14:00:00	16.75	
BILI	10m	1.65	2025-07-29 14:00:00	22.49	
PANW	5m	1.24	2025-07-29 14:00:00	195.17	
