ticker	date	intervals	signal_price	current_price	current_time	nx_1d	nx_30m
SQQQ	2025-07-29	1,2,3	18.13	18.17	2025-07-29 00:00:00	False	False
COST	2025-07-28	1,2,4	933.99	934.57	2025-07-29 00:00:00	False	False
SH	2025-07-28	2,3,4	38.78	38.82	2025-07-29 00:00:00	False	False
SQQQ	2025-07-28	1,2,3	18.16	18.17	2025-07-29 00:00:00	False	False
COST	2025-07-25	1,2,4	936.7	934.57	2025-07-29 00:00:00	False	False
CRWD	2025-07-25	1,2,3	469.43	465.51	2025-07-29 00:00:00	True	False
LULU	2025-07-25	1,2,3	219.39	214.04	2025-07-29 00:00:00	False	False
SQQQ	2025-07-25	1,2,3	18.25	18.17	2025-07-29 00:00:00	False	False
SH	2025-07-21	1,2,3	39.17	38.82	2025-07-29 00:00:00	False	False
XIACY	2025-07-18	1,2,3	36.4	34.78	2025-07-29 00:00:00	True	False
ADBE	2025-07-17	1,2,3,4	365.68	370.7	2025-07-29 00:00:00	False	False
LULU	2025-07-17	2,3,4	232.13	214.04	2025-07-29 00:00:00	False	False
RIVN	2025-07-17	1,2,3,4	13.05	13.06	2025-07-29 00:00:00	False	False
ADBE	2025-07-16	1,2,3	363.51	370.7	2025-07-29 00:00:00	False	False
RR	2025-07-16	1,2,3,4	1.85	1.9	2025-07-29 00:00:00	False	False
JD	2025-07-15	1,2,3	31.93	32.22	2025-07-29 00:00:00	False	False
SERV	2025-07-14	1,2,3,4	10.68	10.34	2025-07-29 00:00:00	True	False
XPEV	2025-07-14	1,2,3,4	17.45	18.4	2025-07-29 00:00:00	False	False
XPEV	2025-07-11	1,2,3	17.4	18.4	2025-07-29 00:00:00	False	False
SE	2025-07-10	1,2,3	149.73	160.46	2025-07-29 00:00:00	True	False
SERV	2025-07-09	2,3,4	10.65	10.34	2025-07-29 00:00:00	True	False
RIVN	2025-07-08	2,3,4	13.16	13.06	2025-07-29 00:00:00	True	False
LI	2025-07-07	1,2,3,4	26.82	27.38	2025-07-29 00:00:00	True	False
COST	2025-07-03	1,2,3	985.83	934.57	2025-07-29 00:00:00	True	False
DUO	2025-07-02	1,2,3,4	2.22	2.08	2025-07-29 00:00:00	False	False
DUO	2025-07-01	1,2,3	2.08	2.08	2025-07-29 00:00:00	False	False
XPEV	2025-07-01	1,2,3,4	18.39	18.4	2025-07-29 00:00:00	True	False
OPEN	2025-06-26	1,2,3,4	0.54	2.05	2025-07-29 00:00:00	False	False
