ticker	date	intervals	signal_price	current_price	current_time	nx_1h
AA	2025-07-29	5,10,15,30	30.44	30.44	2025-07-29 00:00:00	True
AAL	2025-07-29	5,10,15	11.47	11.42	2025-07-29 00:00:00	False
AAOI	2025-07-29	5,10,15	24.69	24.11	2025-07-29 00:00:00	False
ASTS	2025-07-29	5,10,15,30	52.36	53.09	2025-07-29 00:00:00	True
BA	2025-07-29	5,10,15	226.28	226.08	2025-07-29 00:00:00	True
BILI	2025-07-29	5,10,15,30	22.44	22.44	2025-07-29 00:00:00	False
COIN	2025-07-29	5,10,15,30	369.83	371.44	2025-07-29 00:00:00	False
COST	2025-07-29	5,15,30	932.64	934.57	2025-07-29 00:00:00	False
DIS	2025-07-29	5,10,15	119.78	119.91	2025-07-29 00:00:00	False
GME	2025-07-29	5,10,15,30	22.66	22.55	2025-07-29 00:00:00	False
HIMS	2025-07-29	5,10,15	57.77	60.27	2025-07-29 00:00:00	True
HOLO	2025-07-29	5,10,15,30	4.78	4.67	2025-07-29 00:00:00	False
INTC	2025-07-29	5,10,15	20.44	20.41	2025-07-29 00:00:00	False
JD	2025-07-29	5,10,15	32.15	32.22	2025-07-29 00:00:00	False
LULU	2025-07-29	5,10,15,30	215.4	214.04	2025-07-29 00:00:00	False
MARA	2025-07-29	10,15,30	16.75	16.61	2025-07-29 00:00:00	False
MSTR	2025-07-29	10,15,30	397.48	394.66	2025-07-29 00:00:00	False
OPEN	2025-07-29	5,10,15,30	2.06	2.05	2025-07-29 00:00:00	True
PLTR	2025-07-29	5,10,15	156.24	156.24	2025-07-29 00:00:00	True
QBTS	2025-07-29	5,10,15	17.82	17.67	2025-07-29 00:00:00	True
QUBT	2025-07-29	5,10,15,30	15.28	15.37	2025-07-29 00:00:00	False
RGTI	2025-07-29	5,10,15,30	14.48	14.47	2025-07-29 00:00:00	True
RKLB	2025-07-29	5,10,15,30	43.4	43.79	2025-07-29 00:00:00	True
SBUX	2025-07-29	5,10,15,30	92.95	92.96	2025-07-29 00:00:00	False
SH	2025-07-29	5,10,15	38.7	38.82	2025-07-29 00:00:00	False
SQQQ	2025-07-29	5,10,15,30	18.16	18.17	2025-07-29 00:00:00	False
TSM	2025-07-29	5,10,15	241.54	241.33	2025-07-29 00:00:00	True
U	2025-07-29	5,10,15,30	32.62	32.54	2025-07-29 00:00:00	True
AA	2025-07-28	5,10,15	30.57	30.44	2025-07-29 00:00:00	True
AAL	2025-07-28	5,10,15	11.48	11.42	2025-07-29 00:00:00	False
AAOI	2025-07-28	5,10,15	24.97	24.11	2025-07-29 00:00:00	False
ASTS	2025-07-28	5,10,15	54.45	53.09	2025-07-29 00:00:00	True
BILI	2025-07-28	5,10,15,30	22.67	22.44	2025-07-29 00:00:00	False
COST	2025-07-28	5,15,30	933.99	934.57	2025-07-29 00:00:00	False
DJT	2025-07-28	5,15,30	18.83	17.81	2025-07-29 00:00:00	True
DUO	2025-07-28	5,10,15	2.16	2.08	2025-07-29 00:00:00	False
GME	2025-07-28	5,10,15,30	23.16	22.55	2025-07-29 00:00:00	False
HOLO	2025-07-28	5,10,15,30	5.14	4.67	2025-07-29 00:00:00	False
JD	2025-07-28	5,10,15	33.12	32.22	2025-07-29 00:00:00	True
LI	2025-07-28	5,10,15	29.19	27.38	2025-07-29 00:00:00	True
MLGO	2025-07-28	5,15,30	11.73	10.01	2025-07-29 00:00:00	False
OPFI	2025-07-28	5,10,15,30	10.91	10.88	2025-07-29 00:00:00	False
QBTS	2025-07-28	5,10,15	17.91	17.67	2025-07-29 00:00:00	True
QMCO	2025-07-28	5,10,15	8.61	7.88	2025-07-29 00:00:00	False
QUBT	2025-07-28	5,10,15,30	16.1	15.37	2025-07-29 00:00:00	False
RGTI	2025-07-28	5,10,15,30	15.56	14.47	2025-07-29 00:00:00	True
RR	2025-07-28	5,10,15	1.98	1.9	2025-07-29 00:00:00	True
SH	2025-07-28	5,10,15	38.67	38.82	2025-07-29 00:00:00	False
