ticker,interval,signal_date,signal_price,score,breakthrough_date
QQQ,5m,2025-05-29 14:30:00,518.82,1.26,2025-05-29 15:45:00
QQQ,5m,2025-06-05 14:20:00,527.57,1.26,2025-06-06 09:30:00
QQQ,5m,2025-06-10 11:40:00,531.34,1.33,2025-06-10 11:50:00
QQQ,5m,2025-06-13 14:50:00,527.25,1.32,2025-06-16 09:30:00
QQQ,5m,2025-06-18 15:10:00,529.95,1.43,2025-06-20 09:30:00
QQQ,5m,2025-06-18 15:35:00,529.76,1.16,2025-06-20 09:30:00
QQQ,5m,2025-06-20 13:50:00,526.29,1.24,2025-06-20 14:15:00
QQQ,10m,2025-06-13 15:00:00,527.64,1.83,2025-06-16 09:30:00
QQQ,10m,2025-06-13 15:30:00,527.2,1.82,2025-06-16 09:30:00
QQQ,10m,2025-06-13 15:50:00,526.94,2.06,2025-06-16 09:30:00
QQQ,10m,2025-06-18 15:10:00,529.73,1.93,2025-06-20 09:30:00
QQQ,10m,2025-06-18 15:30:00,529.76,1.79,2025-06-20 09:30:00
QQQ,10m,2025-06-20 09:30:00,533.32,2.15,2025-06-20 09:30:00
QQQ,10m,2025-06-20 11:30:00,528.43,1.69,
QQQ,10m,2025-06-20 12:00:00,527.37,1.63,
QQQ,10m,2025-06-20 12:20:00,527.22,1.58,
QQQ,10m,2025-06-20 13:50:00,526.64,1.71,
QQQ,15m,2025-06-16 09:30:00,532.1,2.48,2025-06-16 09:30:00
QQQ,15m,2025-06-18 15:30:00,530.24,2.33,2025-06-20 09:30:00
QQQ,15m,2025-06-20 09:30:00,533.2,2.64,2025-06-20 09:30:00
QQQ,30m,2025-06-20 09:30:00,530.86,3.02,
QQQ,30m,2025-06-20 12:30:00,527.73,2.64,
QQQ,30m,2025-06-20 14:00:00,527.59,2.78,
QQQ,30m,2025-06-20 15:30:00,526.7,2.88,
SPY,5m,2025-05-21 15:30:00,583.46,1.41,2025-05-22 10:00:00
SPY,5m,2025-05-30 10:00:00,588.32,1.26,2025-05-30 10:10:00
SPY,5m,2025-06-05 14:20:00,595.32,1.22,2025-06-06 09:30:00
SPY,5m,2025-06-11 15:20:00,600.89,1.16,2025-06-12 10:05:00
SPY,5m,2025-06-11 15:35:00,600.58,1.21,2025-06-12 10:05:00
SPY,5m,2025-06-13 14:50:00,597.08,1.23,2025-06-16 09:30:00
SPY,5m,2025-06-20 13:50:00,593.72,1.19,2025-06-20 14:15:00
SPY,10m,2025-05-23 10:40:00,578.45,1.59,2025-05-23 13:10:00
SPY,10m,2025-05-23 11:10:00,577.67,1.59,2025-05-23 13:10:00
SPY,10m,2025-05-30 10:00:00,588.78,1.83,2025-05-30 10:10:00
SPY,10m,2025-06-13 15:00:00,597.48,1.78,2025-06-16 09:30:00
SPY,10m,2025-06-13 15:50:00,596.94,2.19,2025-06-16 09:30:00
SPY,10m,2025-06-18 15:30:00,598.17,1.8,
SPY,10m,2025-06-20 09:30:00,599.14,2.15,
SPY,10m,2025-06-20 13:50:00,594.04,1.64,
SPY,15m,2025-06-18 15:30:00,598.76,2.36,
SPY,15m,2025-06-20 09:30:00,599.34,2.63,
SH,5m,2025-05-22 15:15:00,42.11,1.1,2025-05-22 15:40:00
SH,5m,2025-05-22 15:35:00,42.13,1.29,2025-05-22 15:40:00
SH,5m,2025-05-28 09:45:00,41.76,1.49,2025-05-28 10:10:00
SH,5m,2025-06-03 09:55:00,41.72,1.09,2025-06-03 13:55:00
SH,5m,2025-06-03 10:30:00,41.65,1.14,2025-06-03 13:55:00
SH,5m,2025-06-03 12:40:00,41.45,1.04,2025-06-03 13:55:00
SH,5m,2025-06-04 10:00:00,41.43,1.64,2025-06-04 10:05:00
SH,5m,2025-06-04 11:15:00,41.38,1.12,2025-06-04 11:40:00
SH,5m,2025-06-10 10:55:00,41.18,1.06,2025-06-10 11:30:00
SH,5m,2025-06-10 11:05:00,41.18,1.17,2025-06-10 11:30:00
SH,5m,2025-06-10 13:00:00,41.13,1.16,2025-06-10 13:45:00
SH,5m,2025-06-10 13:15:00,41.11,1.13,2025-06-10 13:45:00
SH,5m,2025-06-12 13:45:00,41.06,1.14,2025-06-12 14:30:00
SH,10m,2025-05-28 13:30:00,41.87,1.58,2025-05-28 13:30:00
SH,10m,2025-06-04 14:30:00,41.38,1.59,2025-06-04 15:40:00
SH,10m,2025-06-05 12:10:00,41.37,1.6,2025-06-05 12:40:00
SH,10m,2025-06-09 14:10:00,41.19,1.74,2025-06-09 15:40:00
SH,10m,2025-06-09 14:30:00,41.21,1.74,2025-06-09 15:40:00
SH,10m,2025-06-10 11:20:00,41.18,1.86,2025-06-10 11:30:00
SH,10m,2025-06-10 13:20:00,41.12,1.57,2025-06-10 14:00:00
SH,10m,2025-06-10 15:30:00,41.12,1.7,2025-06-11 12:10:00
SH,15m,2025-06-05 12:30:00,41.42,2.05,2025-06-05 12:45:00
SH,15m,2025-06-06 11:15:00,41.37,2.18,2025-06-09 15:45:00
SH,15m,2025-06-06 12:15:00,41.34,2.76,2025-06-09 15:45:00
SH,15m,2025-06-09 14:30:00,41.21,2.1,2025-06-09 15:45:00
SH,15m,2025-06-09 15:00:00,41.21,2.07,2025-06-09 15:45:00
SH,15m,2025-06-10 11:15:00,41.18,2.36,2025-06-10 14:00:00
SH,15m,2025-06-10 13:15:00,41.12,2.13,2025-06-10 14:00:00
SH,15m,2025-06-10 15:30:00,41.12,2.14,2025-06-11 13:45:00
SH,30m,2025-06-03 14:30:00,41.45,2.59,2025-06-05 09:30:00
SH,30m,2025-06-04 10:30:00,41.38,2.59,2025-06-05 09:30:00
SH,30m,2025-06-06 12:30:00,41.41,2.64,2025-06-11 14:00:00
SH,30m,2025-06-06 15:30:00,41.31,2.74,2025-06-11 14:00:00
SH,30m,2025-06-09 10:30:00,41.29,2.78,2025-06-11 14:00:00
SH,30m,2025-06-09 15:00:00,41.22,2.57,2025-06-11 14:00:00
SH,30m,2025-06-10 13:30:00,41.17,2.66,2025-06-11 14:00:00
SH,1h,2025-04-25 09:30:00,45.15,3.42,2025-04-30 09:30:00
SH,1h,2025-04-25 14:30:00,44.73,3.05,2025-04-30 09:30:00
SH,1h,2025-05-01 15:30:00,44.07,3.37,2025-05-06 09:30:00
SH,1h,2025-05-02 15:30:00,43.44,3.16,2025-05-06 09:30:00
SH,1h,2025-05-08 15:30:00,43.6,3.39,2025-05-21 09:30:00
SH,1h,2025-05-28 14:30:00,41.88,3.32,2025-05-30 11:30:00
SH,1h,2025-05-29 11:30:00,41.92,3.38,2025-05-30 11:30:00
SH,1h,2025-06-04 11:30:00,41.49,3.11,2025-06-05 14:30:00
SH,1h,2025-06-04 14:30:00,41.42,3.13,2025-06-05 14:30:00
SH,1h,2025-06-09 10:30:00,41.31,3.22,2025-06-13 09:30:00
SH,1h,2025-06-09 14:30:00,41.22,3.06,2025-06-13 09:30:00
SH,1h,2025-06-10 13:30:00,41.19,3.34,2025-06-13 09:30:00
SH,2h,2025-05-01 15:30:00,44.07,3.8,2025-05-21 11:30:00
SH,2h,2025-05-05 09:30:00,43.58,3.86,2025-05-21 11:30:00
SH,2h,2025-06-04 15:30:00,41.5,3.64,2025-06-13 13:30:00
SH,2h,2025-06-05 11:30:00,41.46,3.74,2025-06-13 13:30:00
SH,2h,2025-06-09 15:30:00,41.28,3.64,2025-06-13 13:30:00
SH,3h,2025-06-05 12:30:00,41.74,4.58,2025-06-13 12:30:00
SH,3h,2025-06-09 15:30:00,41.28,4.11,2025-06-13 12:30:00
SH,3h,2025-06-11 12:30:00,41.24,4.49,2025-06-13 12:30:00
SH,4h,2025-06-11 13:30:00,41.16,4.87,2025-06-20 09:30:00
SH,1d,2024-10-01 00:00:00,42.77,5.66,2024-10-31 00:00:00
SH,1d,2024-10-21 00:00:00,41.83,5.17,2024-10-31 00:00:00
