ticker	interval	score	signal_date	signal_price	breakthrough_date
OXY	10m	2.27	2025-07-29 15:50:00	45.48	
SH	5m	1.45	2025-07-29 15:45:00	38.83	
SH	10m	1.75	2025-07-29 15:40:00	38.83	
VST	15m	2.5	2025-07-29 15:30:00	196.85	
AFRM	5m	1.21	2025-07-29 15:15:00	67.93	2025-07-29 15:50:00
MU	15m	2.45	2025-07-29 15:15:00	112.21	
QCOM	15m	2.39	2025-07-29 15:15:00	162.92	
MU	5m	1.36	2025-07-29 15:15:00	112.72	
QCOM	10m	1.75	2025-07-29 15:10:00	163.22	2025-07-29 15:30:00
MU	30m	2.88	2025-07-29 15:00:00	112.21	
MU	5m	1.31	2025-07-29 15:00:00	112.72	
SH	10m	1.59	2025-07-29 14:30:00	38.79	2025-07-29 14:40:00
QCOM	5m	1.11	2025-07-29 14:15:00	162.88	2025-07-29 15:40:00
GOOGL	15m	2.13	2025-07-29 14:15:00	195.11	
SH	10m	1.56	2025-07-29 14:10:00	38.8	2025-07-29 14:40:00
AAL	10m	1.8	2025-07-29 13:50:00	11.53	
WMT	5m	1.24	2025-07-29 13:35:00	98.54	2025-07-29 15:15:00
WMT	10m	1.73	2025-07-29 13:30:00	98.54	2025-07-29 15:10:00
WMT	15m	2.23	2025-07-29 13:30:00	98.39	2025-07-29 15:00:00
ADBE	30m	2.92	2025-07-29 13:30:00	373.51	
WMT	30m	2.83	2025-07-29 13:30:00	98.14	
GOOGL	15m	2.12	2025-07-29 13:30:00	194.82	
ONC	5m	1.13	2025-07-29 13:20:00	306.21	
MCD	5m	1.19	2025-07-29 12:55:00	301.37	2025-07-29 13:00:00
ADBE	5m	1.1	2025-07-29 12:50:00	375.31	
MCD	5m	1.12	2025-07-29 12:45:00	301.55	2025-07-29 13:00:00
WMT	10m	1.64	2025-07-29 12:10:00	98.24	2025-07-29 15:10:00
MU	30m	2.63	2025-07-29 12:00:00	111.72	2025-07-29 12:30:00
WMT	5m	1.26	2025-07-29 11:55:00	98.29	2025-07-29 12:35:00
WMT	5m	1.18	2025-07-29 11:35:00	98.19	2025-07-29 12:35:00
GOOGL	5m	1.26	2025-07-29 11:25:00	193.18	2025-07-29 11:30:00
MCD	5m	1.23	2025-07-29 11:15:00	301.02	2025-07-29 12:10:00
GOOGL	5m	1.15	2025-07-29 11:10:00	193.3	2025-07-29 11:30:00
AFRM	30m	3.29	2025-07-29 11:00:00	66.75	2025-07-29 13:00:00
SNOW	5m	1.26	2025-07-29 11:00:00	219.71	2025-07-29 13:00:00
MU	30m	3.06	2025-07-29 11:00:00	111.32	2025-07-29 11:30:00
NVDA	30m	3.06	2025-07-29 11:00:00	175.86	2025-07-29 11:30:00
TQQQ	30m	3.02	2025-07-29 11:00:00	89.48	2025-07-29 11:30:00
QQQ	30m	2.87	2025-07-29 11:00:00	567.54	2025-07-29 11:30:00
UPST	30m	3.36	2025-07-29 11:00:00	81.56	
DELL	30m	2.97	2025-07-29 11:00:00	132.99	
PANW	30m	2.95	2025-07-29 11:00:00	205.7	
UPST	15m	2.36	2025-07-29 11:00:00	82.79	
PANW	15m	2.25	2025-07-29 11:00:00	206.57	
SE	10m	1.87	2025-07-29 10:50:00	159.98	2025-07-29 13:10:00
SOXL	10m	2.1	2025-07-29 10:50:00	27.57	2025-07-29 13:00:00
QCOM	10m	1.65	2025-07-29 10:50:00	162.28	2025-07-29 11:50:00
PANW	10m	1.65	2025-07-29 10:50:00	207.11	
SE	15m	2.37	2025-07-29 10:45:00	159.98	2025-07-29 14:00:00
SOXL	15m	2.5	2025-07-29 10:45:00	27.57	2025-07-29 13:00:00
SMCI	15m	2.61	2025-07-29 10:45:00	60.12	2025-07-29 11:45:00
AVGO	15m	2.39	2025-07-29 10:45:00	298.0	2025-07-29 11:45:00
ALAB	5m	1.29	2025-07-29 10:40:00	123.03	2025-07-29 13:10:00
SMCI	10m	1.78	2025-07-29 10:40:00	60.93	2025-07-29 11:50:00
SMCI	5m	1.27	2025-07-29 10:40:00	60.89	
ETHA	10m	1.75	2025-07-29 10:30:00	28.8	2025-07-29 13:20:00
QCOM	15m	2.24	2025-07-29 10:30:00	162.28	2025-07-29 11:45:00
QCOM	5m	1.11	2025-07-29 10:30:00	162.8	2025-07-29 10:45:00
CRM	30m	2.72	2025-07-29 10:30:00	269.54	
SPY	15m	2.19	2025-07-29 10:30:00	637.2	
SPY	10m	1.66	2025-07-29 10:30:00	637.5	
SMCI	5m	1.23	2025-07-29 10:30:00	60.9	
PANW	10m	1.78	2025-07-29 10:20:00	206.65	
AFRM	15m	2.29	2025-07-29 10:15:00	68.07	2025-07-29 13:15:00
SOXL	5m	1.17	2025-07-29 10:15:00	27.85	2025-07-29 13:00:00
PANW	15m	2.48	2025-07-29 10:15:00	206.65	
CRM	15m	2.4	2025-07-29 10:15:00	269.9	
SMCI	5m	1.2	2025-07-29 10:10:00	60.34	
MCD	5m	1.1	2025-07-29 10:05:00	300.3	2025-07-29 12:10:00
ETHA	10m	2.04	2025-07-29 10:00:00	28.8	2025-07-29 10:20:00
ETH	10m	2.0	2025-07-29 10:00:00	35.83	2025-07-29 10:20:00
ETHA	5m	1.35	2025-07-29 10:00:00	28.9	2025-07-29 10:20:00
ETH	5m	1.3	2025-07-29 10:00:00	35.97	2025-07-29 10:20:00
IBIT	5m	1.24	2025-07-29 10:00:00	67.26	2025-07-29 10:20:00
BTC	5m	1.14	2025-07-29 10:00:00	52.44	2025-07-29 10:20:00
IBIT	15m	2.44	2025-07-29 10:00:00	67.14	2025-07-29 10:15:00
IBIT	10m	1.94	2025-07-29 10:00:00	67.12	2025-07-29 10:10:00
APP	30m	3.25	2025-07-29 10:00:00	366.15	
CRWD	15m	2.65	2025-07-29 10:00:00	471.51	
SMCI	5m	1.48	2025-07-29 10:00:00	60.2	
SE	5m	1.24	2025-07-29 09:55:00	160.43	2025-07-29 10:00:00
CRWD	10m	2.14	2025-07-29 09:50:00	473.95	2025-07-29 15:00:00
SE	10m	1.66	2025-07-29 09:50:00	160.43	2025-07-29 10:00:00
MARA	5m	1.33	2025-07-29 09:45:00	17.11	2025-07-29 13:10:00
OKLO	15m	2.81	2025-07-29 09:45:00	75.1	
SMCI	5m	1.44	2025-07-29 09:40:00	60.06	
MCD	5m	1.18	2025-07-29 09:35:00	299.81	2025-07-29 12:10:00
OXY	5m	1.82	2025-07-29 09:30:00	45.35	2025-07-29 13:40:00
