ticker	date	intervals	signal_price	current_price	current_time	nx_1d
ADBE	2025-07-29	1,2,3	370.7	370.7	2025-07-29 00:00:00	False
NVDA	2025-07-29	1,2,3	175.82	175.51	2025-07-29 00:00:00	True
PLTR	2025-07-29	1,2,3,4	156.86	156.24	2025-07-29 00:00:00	True
QQQ	2025-07-29	1,2,3	567.4	567.26	2025-07-29 00:00:00	True
TQQQ	2025-07-29	1,2,3,4	89.36	89.38	2025-07-29 00:00:00	True
CAT	2025-07-28	1,2,3,4	433.15	430.05	2025-07-29 00:00:00	True
MSFT	2025-07-28	1,2,3	512.12	512.57	2025-07-29 00:00:00	True
PLTR	2025-07-28	1,2,3,4	157.82	156.24	2025-07-29 00:00:00	True
QQQ	2025-07-28	1,2,3	567.47	567.26	2025-07-29 00:00:00	True
TQQQ	2025-07-28	1,2,3	89.5	89.38	2025-07-29 00:00:00	True
UPST	2025-07-28	1,2,3,4	81.28	80.43	2025-07-29 00:00:00	True
AA	2025-07-25	2,3,4	30.53	30.44	2025-07-29 00:00:00	True
ASTS	2025-07-25	1,3,4	54.99	53.09	2025-07-29 00:00:00	True
NVDA	2025-07-25	1,2,3	173.49	175.51	2025-07-29 00:00:00	True
QQQ	2025-07-25	1,2,3	566.39	567.26	2025-07-29 00:00:00	True
TQQQ	2025-07-25	1,2,3	88.94	89.38	2025-07-29 00:00:00	True
UPST	2025-07-25	1,2,3	83.5	80.43	2025-07-29 00:00:00	True
AAPL	2025-07-24	2,3,4	213.76	211.27	2025-07-29 00:00:00	False
CLS	2025-07-24	1,2,3	164.0	202.0	2025-07-29 00:00:00	True
QQQ	2025-07-24	1,3,4	565.09	567.26	2025-07-29 00:00:00	True
TIGR	2025-07-24	1,2,3	10.98	9.82	2025-07-29 00:00:00	True
TLRY	2025-07-24	2,3,4	0.71	0.58	2025-07-29 00:00:00	False
AMZN	2025-07-23	2,3,4	228.27	231.01	2025-07-29 00:00:00	True
ASTS	2025-07-23	2,3,4	56.75	53.09	2025-07-29 00:00:00	True
OKLO	2025-07-23	1,3,4	64.27	71.01	2025-07-29 00:00:00	True
TIGR	2025-07-23	1,2,3	10.88	9.82	2025-07-29 00:00:00	True
AMZN	2025-07-22	2,3,4	227.52	231.01	2025-07-29 00:00:00	True
ASTS	2025-07-22	1,2,3,4	55.38	53.09	2025-07-29 00:00:00	True
AVGO	2025-07-22	1,2,3,4	279.45	297.42	2025-07-29 00:00:00	True
QQQ	2025-07-22	2,3,4	560.1	567.26	2025-07-29 00:00:00	True
TIGR	2025-07-22	1,2,3	10.98	9.82	2025-07-29 00:00:00	True
TQQQ	2025-07-22	2,3,4	86.18	89.38	2025-07-29 00:00:00	True
ASTS	2025-07-21	1,2,3	56.65	53.09	2025-07-29 00:00:00	True
AVGO	2025-07-21	1,3,4	288.2	297.42	2025-07-29 00:00:00	True
SPY	2025-07-21	1,2,3	628.73	635.26	2025-07-29 00:00:00	True
TIGR	2025-07-21	1,2,3	10.42	9.82	2025-07-29 00:00:00	True
VRT	2025-07-21	2,3,4	127.63	142.7	2025-07-29 00:00:00	True
AMD	2025-07-18	2,3,4	157.54	177.44	2025-07-29 00:00:00	True
AVGO	2025-07-18	1,2,3,4	283.08	297.42	2025-07-29 00:00:00	True
CAT	2025-07-18	1,2,3	415.0	430.05	2025-07-29 00:00:00	True
GOOGL	2025-07-18	1,2,3	184.74	195.75	2025-07-29 00:00:00	True
COIN	2025-07-17	1,3,4	405.33	371.44	2025-07-29 00:00:00	True
GOOGL	2025-07-17	1,2,3	183.64	195.75	2025-07-29 00:00:00	True
AMZN	2025-07-16	1,2,3,4	223.03	231.01	2025-07-29 00:00:00	True
AVGO	2025-07-16	1,2,3	279.58	297.42	2025-07-29 00:00:00	True
COIN	2025-07-16	1,2,3,4	398.14	371.44	2025-07-29 00:00:00	True
GOOGL	2025-07-16	1,2,3	182.91	195.75	2025-07-29 00:00:00	True
AAOI	2025-07-15	1,2,3	28.57	24.11	2025-07-29 00:00:00	True
AMZN	2025-07-15	1,2,3	226.3	231.01	2025-07-29 00:00:00	True
COIN	2025-07-15	1,2,3,4	392.89	371.44	2025-07-29 00:00:00	True
MSFT	2025-07-15	1,2,3	505.63	512.57	2025-07-29 00:00:00	True
SOXL	2025-07-15	1,2,3,4	27.3	27.03	2025-07-29 00:00:00	True
NVDA	2025-07-14	1,2,3,4	165.08	175.51	2025-07-29 00:00:00	True
AA	2025-07-11	2,3,4	30.75	30.44	2025-07-29 00:00:00	False
CAT	2025-07-11	1,2,3,4	404.56	430.05	2025-07-29 00:00:00	True
CLSK	2025-07-11	1,2,3	12.52	11.73	2025-07-29 00:00:00	True
DELL	2025-07-11	1,2,3,4	126.51	133.51	2025-07-29 00:00:00	True
MSFT	2025-07-11	1,2,3	503.17	512.57	2025-07-29 00:00:00	True
NVDA	2025-07-11	1,2,3	164.88	175.51	2025-07-29 00:00:00	True
SMCI	2025-07-11	1,2,3,4	49.94	58.63	2025-07-29 00:00:00	True
SOXL	2025-07-11	1,2,3,4	27.26	27.03	2025-07-29 00:00:00	True
SPY	2025-07-11	1,2,4	623.39	635.26	2025-07-29 00:00:00	True
TIGR	2025-07-11	1,2,3	10.19	9.82	2025-07-29 00:00:00	True
VST	2025-07-11	1,2,3	196.64	198.0	2025-07-29 00:00:00	True
CLS	2025-07-10	1,2,3	157.87	202.0	2025-07-29 00:00:00	True
CRWD	2025-07-10	1,2,3	496.02	465.51	2025-07-29 00:00:00	True
MSFT	2025-07-10	1,2,3	501.52	512.57	2025-07-29 00:00:00	True
PANW	2025-07-10	2,3,4	197.05	193.84	2025-07-29 00:00:00	True
RKLB	2025-07-10	1,2,3,4	39.07	43.79	2025-07-29 00:00:00	True
SBUX	2025-07-10	1,2,3	95.13	92.96	2025-07-29 00:00:00	True
VST	2025-07-10	1,2,3	195.81	198.0	2025-07-29 00:00:00	True
BILI	2025-07-09	2,3,4	21.72	22.44	2025-07-29 00:00:00	True
CRM	2025-07-09	1,2,3,4	270.05	267.39	2025-07-29 00:00:00	False
RKLB	2025-07-09	1,2,3,4	38.39	43.79	2025-07-29 00:00:00	True
SBUX	2025-07-09	1,2,3	94.94	92.96	2025-07-29 00:00:00	True
SNOW	2025-07-09	1,2,3	222.11	218.76	2025-07-29 00:00:00	True
SOXL	2025-07-09	1,2,4	26.62	27.03	2025-07-29 00:00:00	True
AFRM	2025-07-08	1,2,3,4	67.75	67.96	2025-07-29 00:00:00	True
AMZN	2025-07-08	1,2,3,4	220.56	231.01	2025-07-29 00:00:00	True
AMZN	2025-07-07	1,3,4	222.95	231.01	2025-07-29 00:00:00	True
AVGO	2025-07-07	1,2,4	274.39	297.42	2025-07-29 00:00:00	True
CAT	2025-07-07	1,3,4	391.67	430.05	2025-07-29 00:00:00	True
HOLO	2025-07-07	1,2,3	4.96	4.67	2025-07-29 00:00:00	False
QCOM	2025-07-07	2,3,4	158.99	162.08	2025-07-29 00:00:00	True
QQQ	2025-07-07	1,2,3	551.17	567.26	2025-07-29 00:00:00	True
SOXL	2025-07-07	1,2,4	25.21	27.03	2025-07-29 00:00:00	True
TQQQ	2025-07-07	1,2,3	82.51	89.38	2025-07-29 00:00:00	True
TSM	2025-07-07	2,3,4	228.89	241.33	2025-07-29 00:00:00	True
RDDT	2025-07-03	1,2,3	157.37	144.85	2025-07-29 00:00:00	True
XYZ	2025-07-03	1,2,3	69.0	78.18	2025-07-29 00:00:00	True
AMZN	2025-07-02	2,3,4	219.88	231.01	2025-07-29 00:00:00	True
AVGO	2025-07-02	1,2,3,4	269.9	297.42	2025-07-29 00:00:00	True
DIS	2025-07-02	1,2,3,4	122.64	119.91	2025-07-29 00:00:00	True
INTC	2025-07-02	1,3,4	22.15	20.41	2025-07-29 00:00:00	True
AFRM	2025-07-01	2,3,4	67.51	67.96	2025-07-29 00:00:00	True
AVGO	2025-07-01	1,2,3,4	265.87	297.42	2025-07-29 00:00:00	True
BILI	2025-07-01	1,2,3,4	21.34	22.44	2025-07-29 00:00:00	True
DIS	2025-07-01	1,2,3	123.46	119.91	2025-07-29 00:00:00	True
META	2025-07-01	2,3,4	715.57	700.0	2025-07-29 00:00:00	True
NBIS	2025-07-01	2,3,4	51.35	50.4	2025-07-29 00:00:00	True
RDDT	2025-07-01	1,2,3	149.27	144.85	2025-07-29 00:00:00	True
SHOP	2025-07-01	1,2,3	114.11	124.85	2025-07-29 00:00:00	True
AVGO	2025-06-30	1,2,3	273.92	297.42	2025-07-29 00:00:00	True
SOXL	2025-06-30	1,2,3,4	25.02	27.03	2025-07-29 00:00:00	True
TSM	2025-06-30	1,2,3,4	226.46	241.33	2025-07-29 00:00:00	True
VST	2025-06-30	2,3,4	193.76	198.0	2025-07-29 00:00:00	True
DELL	2025-06-27	1,2,3	123.65	133.51	2025-07-29 00:00:00	True
FUTU	2025-06-27	1,2,4	121.73	155.23	2025-07-29 00:00:00	True
PLTR	2025-06-27	1,2,3,4	140.06	156.24	2025-07-29 00:00:00	True
SOXL	2025-06-27	1,2,3	24.73	27.03	2025-07-29 00:00:00	True
MU	2025-06-26	1,2,3,4	124.35	111.96	2025-07-29 00:00:00	True
PANW	2025-06-26	1,2,3,4	202.34	193.84	2025-07-29 00:00:00	True
SOL	2025-06-26	2,3,4	1.89	1.91	2025-07-29 00:00:00	True
DELL	2025-06-25	1,2,3	120.48	133.51	2025-07-29 00:00:00	True
MU	2025-06-25	1,2,3	126.84	111.96	2025-07-29 00:00:00	True
SOL	2025-06-25	1,2,3,4	1.87	1.91	2025-07-29 00:00:00	True
VST	2025-06-25	1,2,3,4	186.35	198.0	2025-07-29 00:00:00	True
DELL	2025-06-24	1,2,3	120.6	133.51	2025-07-29 00:00:00	True
PANW	2025-06-24	1,2,3,4	201.62	193.84	2025-07-29 00:00:00	True
SOL	2025-06-24	1,2,3	1.87	1.91	2025-07-29 00:00:00	True
VST	2025-06-24	1,2,3	186.15	198.0	2025-07-29 00:00:00	True
CLS	2025-06-23	1,2,4	134.04	202.0	2025-07-29 00:00:00	True
SOFI	2025-06-23	1,2,3	15.07	22.4	2025-07-29 00:00:00	True
MRVL	2025-06-20	1,2,4	73.51	76.34	2025-07-29 00:00:00	False
CRWD	2025-06-18	1,2,3,4	485.89	465.51	2025-07-29 00:00:00	True
PANW	2025-06-18	1,2,3,4	199.73	193.84	2025-07-29 00:00:00	True
BILI	2025-06-17	1,2,3	20.77	22.44	2025-07-29 00:00:00	True
MRVL	2025-06-17	1,2,4	69.99	76.34	2025-07-29 00:00:00	False
MU	2025-06-17	1,2,3	120.35	111.96	2025-07-29 00:00:00	True
PLTR	2025-06-17	1,2,3,4	137.41	156.24	2025-07-29 00:00:00	True
OKLO	2025-06-16	2,3,4	65.44	71.01	2025-07-29 00:00:00	True
TSM	2025-06-16	2,3,4	215.62	241.33	2025-07-29 00:00:00	True
OKLO	2025-06-13	2,3,4	63.62	71.01	2025-07-29 00:00:00	True
PLTR	2025-06-13	1,2,3	137.31	156.24	2025-07-29 00:00:00	True
PYPL	2025-06-13	1,2,3,4	71.63	71.45	2025-07-29 00:00:00	True
SOXL	2025-06-13	2,3,4	20.59	27.03	2025-07-29 00:00:00	False
TSM	2025-06-13	2,3,4	212.53	241.33	2025-07-29 00:00:00	True
CAT	2025-06-12	2,3,4	361.07	430.05	2025-07-29 00:00:00	True
GOOGL	2025-06-12	2,3,4	176.19	195.75	2025-07-29 00:00:00	True
MARA	2025-06-12	2,3,4	15.82	16.61	2025-07-29 00:00:00	True
MU	2025-06-12	1,2,3	116.04	111.96	2025-07-29 00:00:00	True
PYPL	2025-06-12	1,2,3	74.81	71.45	2025-07-29 00:00:00	True
BA	2025-06-11	1,2,3,4	214.69	226.08	2025-07-29 00:00:00	True
META	2025-06-11	2,3,4	700.61	700.0	2025-07-29 00:00:00	True
MSFT	2025-06-11	1,2,3,4	471.85	512.57	2025-07-29 00:00:00	True
PYPL	2025-06-11	1,2,3	74.47	71.45	2025-07-29 00:00:00	True
QQQ	2025-06-11	1,2,3,4	532.45	567.26	2025-07-29 00:00:00	True
SOXL	2025-06-11	1,2,3	21.28	27.03	2025-07-29 00:00:00	False
SPY	2025-06-11	1,2,3,4	601.41	635.26	2025-07-29 00:00:00	True
TQQQ	2025-06-11	1,2,3	74.86	89.38	2025-07-29 00:00:00	True
BA	2025-06-10	1,2,3,4	215.83	226.08	2025-07-29 00:00:00	True
CLS	2025-06-10	1,2,3	119.01	202.0	2025-07-29 00:00:00	True
LI	2025-06-10	1,3,4	28.91	27.38	2025-07-29 00:00:00	True
MSFT	2025-06-10	1,2,3,4	469.5	512.57	2025-07-29 00:00:00	True
ONC	2025-06-10	1,2,3	263.41	305.74	2025-07-29 00:00:00	True
RKLB	2025-06-10	2,3,4	28.02	43.79	2025-07-29 00:00:00	True
SOL	2025-06-10	2,3,4	1.77	1.91	2025-07-29 00:00:00	True
SPY	2025-06-10	1,2,3	600.92	635.26	2025-07-29 00:00:00	True
FNGB	2025-06-09	2,3,4	21.43	25.29	2025-07-29 00:00:00	True
META	2025-06-09	2,3,4	694.08	700.0	2025-07-29 00:00:00	True
NVDA	2025-06-09	1,2,3,4	142.23	175.51	2025-07-29 00:00:00	True
OPFI	2025-06-09	1,2,3,4	13.71	10.88	2025-07-29 00:00:00	True
PANW	2025-06-09	1,2,4	196.28	193.84	2025-07-29 00:00:00	True
QQQ	2025-06-09	1,2,3,4	530.68	567.26	2025-07-29 00:00:00	True
SBUX	2025-06-09	1,2,3,4	89.57	92.96	2025-07-29 00:00:00	False
SOXL	2025-06-09	1,2,3	20.56	27.03	2025-07-29 00:00:00	False
SPY	2025-06-09	1,2,3,4	599.55	635.26	2025-07-29 00:00:00	True
VRT	2025-06-09	1,2,3,4	112.79	142.7	2025-07-29 00:00:00	True
APP	2025-06-06	2,3,4	417.77	361.63	2025-07-29 00:00:00	True
AVGO	2025-06-06	2,3,4	249.55	297.42	2025-07-29 00:00:00	True
