ticker	date	intervals	signal_price	current_price	current_time	nx_1h
AFRM	2025-07-29	5,10,15,30	67.93	67.96	2025-07-29 00:00:00	True
ALAB	2025-07-29	5,10,15,30	123.03	118.41	2025-07-29 00:00:00	True
APP	2025-07-29	5,10,15,30	366.15	361.63	2025-07-29 00:00:00	True
AVGO	2025-07-29	5,10,15,30	298.0	297.42	2025-07-29 00:00:00	True
BA	2025-07-29	5,10,15,30	234.54	226.08	2025-07-29 00:00:00	True
CRM	2025-07-29	10,15,30	269.54	267.39	2025-07-29 00:00:00	True
CRWD	2025-07-29	5,10,15	471.51	465.51	2025-07-29 00:00:00	False
DELL	2025-07-29	5,10,15,30	132.99	133.51	2025-07-29 00:00:00	True
GOOGL	2025-07-29	5,10,15	195.11	195.75	2025-07-29 00:00:00	True
IBIT	2025-07-29	5,10,15	67.26	66.71	2025-07-29 00:00:00	True
MU	2025-07-29	5,15,30	112.21	111.96	2025-07-29 00:00:00	False
NVDA	2025-07-29	5,10,15,30	175.86	175.51	2025-07-29 00:00:00	True
OKLO	2025-07-29	5,10,15	75.1	71.01	2025-07-29 00:00:00	True
OXY	2025-07-29	5,10,15,30	45.48	45.46	2025-07-29 00:00:00	True
PANW	2025-07-29	10,15,30	205.7	193.84	2025-07-29 00:00:00	True
QCOM	2025-07-29	5,10,15	162.92	162.08	2025-07-29 00:00:00	True
QQQ	2025-07-29	5,10,15,30	567.54	567.26	2025-07-29 00:00:00	True
SE	2025-07-29	5,10,15	159.98	160.46	2025-07-29 00:00:00	True
SMCI	2025-07-29	5,10,15	60.12	58.63	2025-07-29 00:00:00	True
SOXL	2025-07-29	5,10,15	27.57	27.03	2025-07-29 00:00:00	True
SPY	2025-07-29	5,10,15	637.2	635.26	2025-07-29 00:00:00	True
TQQQ	2025-07-29	5,10,15,30	89.48	89.38	2025-07-29 00:00:00	True
WMT	2025-07-29	5,10,15,30	98.54	98.33	2025-07-29 00:00:00	True
ALAB	2025-07-28	5,10,15,30	122.4	118.41	2025-07-29 00:00:00	True
APP	2025-07-28	5,10,15,30	367.65	361.63	2025-07-29 00:00:00	True
AVGO	2025-07-28	5,10,15,30	294.14	297.42	2025-07-29 00:00:00	True
BA	2025-07-28	5,10,15	235.42	226.08	2025-07-29 00:00:00	True
CAT	2025-07-28	5,10,15,30	434.28	430.05	2025-07-29 00:00:00	True
CLS	2025-07-28	5,10,15,30	172.26	202.0	2025-07-29 00:00:00	True
CRWD	2025-07-28	5,10,15	470.65	465.51	2025-07-29 00:00:00	False
DELL	2025-07-28	5,10,15,30	133.06	133.51	2025-07-29 00:00:00	True
LLY	2025-07-28	5,10,15,30	814.41	762.95	2025-07-29 00:00:00	True
META	2025-07-28	5,15,30	718.48	700.0	2025-07-29 00:00:00	True
NBIS	2025-07-28	5,10,15	52.36	50.4	2025-07-29 00:00:00	True
NVDA	2025-07-28	5,10,15,30	175.99	175.51	2025-07-29 00:00:00	True
OXY	2025-07-28	5,10,15,30	45.41	45.46	2025-07-29 00:00:00	True
PYPL	2025-07-28	5,10,15	78.57	71.45	2025-07-29 00:00:00	True
QQQ	2025-07-28	5,10,15,30	568.26	567.26	2025-07-29 00:00:00	True
SE	2025-07-28	5,10,15	160.28	160.46	2025-07-29 00:00:00	True
SMCI	2025-07-28	5,10,15	59.02	58.63	2025-07-29 00:00:00	True
SPY	2025-07-28	5,10,15	637.68	635.26	2025-07-29 00:00:00	True
TQQQ	2025-07-28	5,10,15,30	89.83	89.38	2025-07-29 00:00:00	True
VRT	2025-07-28	5,10,15	139.56	142.7	2025-07-29 00:00:00	True
WMT	2025-07-28	5,10,15,30	97.75	98.33	2025-07-29 00:00:00	True
XYZ	2025-07-28	5,10,15,30	81.22	78.18	2025-07-29 00:00:00	True
ALAB	2025-07-25	5,10,15,30	122.15	118.41	2025-07-29 00:00:00	True
AMD	2025-07-25	5,10,15	166.68	177.44	2025-07-29 00:00:00	True
AVGO	2025-07-25	5,10,15,30	291.09	297.42	2025-07-29 00:00:00	True
CAT	2025-07-25	5,10,15	433.72	430.05	2025-07-29 00:00:00	True
CLS	2025-07-25	5,10,15	167.21	202.0	2025-07-29 00:00:00	True
CRM	2025-07-25	5,10,15,30	269.49	267.39	2025-07-29 00:00:00	True
DELL	2025-07-25	5,10,30	131.21	133.51	2025-07-29 00:00:00	True
GOOGL	2025-07-25	10,15,30	193.26	195.75	2025-07-29 00:00:00	True
HIMS	2025-07-25	5,10,15	56.71	60.27	2025-07-29 00:00:00	True
LLY	2025-07-25	5,10,15	808.86	762.95	2025-07-29 00:00:00	True
META	2025-07-25	5,10,15,30	716.36	700.0	2025-07-29 00:00:00	True
MRVL	2025-07-25	5,10,15	74.21	76.34	2025-07-29 00:00:00	True
MSFT	2025-07-25	5,10,15,30	513.77	512.57	2025-07-29 00:00:00	True
NVDA	2025-07-25	5,10,30	174.23	175.51	2025-07-29 00:00:00	True
OPFI	2025-07-25	5,10,15	11.21	10.88	2025-07-29 00:00:00	False
OXY	2025-07-25	5,10,15,30	44.83	45.46	2025-07-29 00:00:00	True
QCOM	2025-07-25	5,15,30	158.87	162.08	2025-07-29 00:00:00	True
QQQ	2025-07-25	5,10,15,30	566.91	567.26	2025-07-29 00:00:00	True
SMCI	2025-07-25	5,10,15	53.42	58.63	2025-07-29 00:00:00	True
SOL	2025-07-25	10,15,30	1.92	1.91	2025-07-29 00:00:00	True
SPY	2025-07-25	5,10,15	637.2	635.26	2025-07-29 00:00:00	True
TEM	2025-07-25	5,10,15	64.48	58.29	2025-07-29 00:00:00	True
TQQQ	2025-07-25	5,10,15,30	89.2	89.38	2025-07-29 00:00:00	True
TSM	2025-07-25	5,10,15	245.84	241.33	2025-07-29 00:00:00	True
UPST	2025-07-25	5,10,15	83.53	80.43	2025-07-29 00:00:00	True
VRT	2025-07-25	5,10,15	137.46	142.7	2025-07-29 00:00:00	True
WMT	2025-07-25	5,10,30	97.49	98.33	2025-07-29 00:00:00	True
XYZ	2025-07-25	5,15,30	80.84	78.18	2025-07-29 00:00:00	True
AA	2025-07-24	5,10,15	31.86	30.44	2025-07-29 00:00:00	True
AAPL	2025-07-24	5,10,15,30	214.68	211.27	2025-07-29 00:00:00	True
ALAB	2025-07-24	5,10,15,30	120.7	118.41	2025-07-29 00:00:00	True
AMD	2025-07-24	5,10,15	159.7	177.44	2025-07-29 00:00:00	True
APP	2025-07-24	5,10,15	361.65	361.63	2025-07-29 00:00:00	True
ASTS	2025-07-24	5,10,15,30	60.0	53.09	2025-07-29 00:00:00	True
BABA	2025-07-24	5,15,30	122.17	119.36	2025-07-29 00:00:00	True
GOOGL	2025-07-24	5,10,15,30	193.1	195.75	2025-07-29 00:00:00	True
LLY	2025-07-24	5,10,15	807.62	762.95	2025-07-29 00:00:00	True
META	2025-07-24	5,10,15,30	717.89	700.0	2025-07-29 00:00:00	True
MRVL	2025-07-24	5,10,15	73.13	76.34	2025-07-29 00:00:00	True
NBIS	2025-07-24	5,10,15	52.16	50.4	2025-07-29 00:00:00	True
OPFI	2025-07-24	5,10,15	11.46	10.88	2025-07-29 00:00:00	False
OXY	2025-07-24	5,10,15	44.62	45.46	2025-07-29 00:00:00	True
QCOM	2025-07-24	5,15,30	157.75	162.08	2025-07-29 00:00:00	True
RKLB	2025-07-24	5,10,15	48.75	43.79	2025-07-29 00:00:00	True
SMCI	2025-07-24	5,10,15	52.77	58.63	2025-07-29 00:00:00	True
SPY	2025-07-24	5,10,15	635.66	635.26	2025-07-29 00:00:00	True
